,time,previousStopArrivalTime,previousStopLeaveTime,nextStopTimetableVisitTime,delayAtStopStopSequence,previousStopStopSequence,nextStopStopSequence,delay,oldDelay
0,1527033599,1527032025,1527032025,1527033840,1.0,1.0,2.0,0.0,0.0
133,1527033619,1527032025,1527032025,1527033840,1.0,1.0,2.0,0.0,0.0
134,1527033629,1527032025,1527032025,1527033840,1.0,1.0,2.0,0.0,0.0
178,1527033639,1527032025,1527032025,1527033840,1.0,1.0,2.0,0.0,0.0
224,1527033649,1527032025,1527032025,1527033840,1.0,1.0,2.0,0.0,0.0
315,1527033664,1527032025,1527032025,1527033840,1.0,1.0,2.0,0.0,0.0
316,1527033674,1527032025,1527032025,1527033840,1.0,1.0,2.0,0.0,0.0
361,1527033689,1527032025,1527032025,1527033840,1.0,1.0,2.0,0.0,0.0
453,1527033699,1527032025,1527032025,1527033840,1.0,1.0,2.0,0.0,0.0
454,1527033709,1527032025,1527032025,1527033840,1.0,1.0,2.0,0.0,0.0
500,1527033719,1527032025,1527032025,1527033840,1.0,1.0,2.0,0.0,0.0
588,1527033729,1527032025,1527032025,1527033840,1.0,1.0,2.0,0.0,0.0
589,1527033744,1527032025,1527032025,1527033840,1.0,1.0,2.0,0.0,0.0
628,1527033749,1527032025,1527032025,1527033840,1.0,1.0,2.0,0.0,0.0
712,1527033769,1527032025,1527032025,1527033840,1.0,1.0,2.0,0.0,0.0
781,1527033774,1527032025,1527032025,1527033840,1.0,1.0,2.0,0.0,0.0
782,1527033789,1527033789,1527033789,1527033840,2.0,1.0,2.0,0.0,0.0
823,1527033796,1527033796,1527033796,1527033840,2.0,35.0,2.0,0.0,0.0
862,1527033809,1527033809,1527033809,1527033900,2.0,1.0,3.0,-31.0,-31.0
942,1527033819,1527033809,1527033819,1527033900,2.0,1.0,3.0,-31.0,-31.0
943,1527033834,1527033809,1527033819,1527033900,3.0,2.0,3.0,-31.0,-31.0
1021,1527033844,1527033809,1527033819,1527033900,3.0,2.0,3.0,-31.0,-31.0
1059,1527033854,1527033854,1527033854,1527033960,3.0,2.0,4.0,-46.0,-46.0
1098,1527033864,1527033854,1527033864,1527033960,3.0,2.0,4.0,-46.0,-46.0
