learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,4.875,1.3092129801710447E-4,1000.0,31.94792734168061,46.70074326371672,1000.0,1.03835472E8
2000.0,13.1875,6.113463312956609E-4,1000.0,27.908096696752132,42.328418026218905,2000.0,2.23406776E8
3000.0,29.375,9.158684947114025E-4,1000.0,27.46240346275213,39.17664699491804,3000.0,7.2717928E7
4000.0,37.96875,0.0012060223112348469,1000.0,28.796856393243793,40.100357647535915,4000.0,1.30511248E8
5000.0,48.171875,0.0017484379858231278,1000.0,36.26710156134321,49.94856276581699,5000.0,2.05495064E8
6000.0,62.125,0.002884816774231796,1000.0,34.040072124922524,58.05233989448403,6000.0,3.14813976E8
7000.0,81.8125,0.00436981378595293,1000.0,31.603583878831373,48.772609763459485,7000.0,2.91566336E8
8000.0,97.515625,0.004932458629935152,1000.0,39.78727720455361,152.8713958086584,8000.0,1.38500272E8
9000.0,110.25,0.005168497831360178,1000.0,47.18368252709439,253.69233796007262,9000.0,7.1648792E7
10000.0,117.78125,0.005452581542291834,1000.0,39.193426409530005,54.46632621601843,10000.0,1.45808096E8
11000.0,127.6875,0.006062970469130151,1000.0,35.97824497329315,54.61138479162422,11000.0,2.38176952E8
12000.0,143.9375,0.00682675448437092,1000.0,41.79228506071245,252.7289341862525,12000.0,1.81685208E8
13000.0,157.640625,0.007334791344862121,1000.0,100.18686716769771,602.4411400341955,13000.0,1.43310488E8
14000.0,167.65625,0.007947260087207218,1000.0,66.57730309798933,371.20102980932535,14000.0,2.36378648E8
15000.0,181.171875,0.009128267140638652,1000.0,38.96025497589431,118.0639131587286,15000.0,3.37768176E8
16000.0,198.375,0.010398650055350218,1000.0,60.884533682208975,152.26158849955763,16000.0,2.85449752E8
17000.0,212.25,0.011835568846888944,1000.0,33.91050379849264,85.16737325154125,17000.0,4.0031476E8
18000.0,233.84375,0.014479951820103452,1000.0,45.06114269514668,123.54368195364195,18000.0,4.73367736E8
19000.0,256.109375,0.017863140243668266,1000.0,28.46976953265199,43.61155885736992,19000.0,5.87345528E8
20000.0,282.9375,0.022290018374818223,1000.0,45.91832731479694,565.5990258662634,20000.0,6.37836864E8
21000.0,311.640625,0.02742474477941869,1000.0,32.02852980865817,62.447719513553665,21000.0,6.91497312E8
22000.0,340.65625,0.033434907269838735,1000.0,29.80455023185275,48.439468487640625,22000.0,8.00675712E8
23000.0,377.546875,0.042050416859468295,1000.0,29.58583239618377,52.49239918238027,23000.0,9.02749648E8
24000.0,430.390625,0.04338886328445774,1000.0,54.91288642520635,121.20559985501981,24000.0,9.7906096E7
25000.0,438.109375,0.04377427265795026,1000.0,55.27782022231798,109.50965960718129,25000.0,1.93009048E8
26000.0,449.078125,0.044586613611803244,1000.0,47.227857180227204,98.13203563613824,26000.0,2.86275104E8
27000.0,462.3125,0.04595327248690108,1000.0,39.44081609625256,70.59889493214337,27000.0,3.99171072E8
28000.0,481.609375,0.048490049455657665,1000.0,35.634425839649126,60.43436395040591,28000.0,5.0815672E8
29000.0,504.796875,0.052203470814436326,1000.0,32.190607038362124,59.85317383224384,29000.0,6.19045648E8
30000.0,531.09375,0.0571946092978922,1000.0,30.14242661790808,44.659123746438596,30000.0,7.3366508E8
31000.0,566.890625,0.06499917670120746,1000.0,26.928515357483384,38.15561514060329,31000.0,8.42764224E8
32000.0,607.078125,0.07483462566969039,1000.0,30.43153463864759,63.314443277084656,32000.0,9.4603144E8
