learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,2.40625,4.5730967928345E-5,1000.0,31.589844738525517,46.1948008790747,1000.0,7.348744E7
2000.0,7.15625,2.1534386103869315E-4,1000.0,27.930529149143787,42.332458613727994,2000.0,1.38028136E8
3000.0,16.0,3.219735894041757E-4,1000.0,26.76020035264114,38.69605602258259,3000.0,4.6606256E7
4000.0,20.640625,4.1063661114700765E-4,1000.0,28.574068534229937,39.84441076949395,4000.0,7.3853048E7
5000.0,25.875,5.7510618065458E-4,1000.0,35.94328740360808,49.78309553349563,5000.0,1.21457152E8
6000.0,32.71875,9.065544258272792E-4,1000.0,33.883696244964504,57.555598707878225,6000.0,1.87207808E8
7000.0,44.453125,0.0014322733886527,1000.0,30.972644875353748,47.82899087719388,7000.0,1.73179328E8
8000.0,53.875,0.0016121351077324814,1000.0,38.74584469611098,151.26474996243144,8000.0,7.3791064E7
9000.0,59.890625,0.001667830094455793,1000.0,46.21689855332275,245.20351492857148,9000.0,3.5788024E7
10000.0,63.390625,0.0017384833500707624,1000.0,36.89938381391361,54.051507467743185,10000.0,7.803088E7
11000.0,68.21875,0.0018957316537529952,1000.0,35.63488985968687,53.383286098156844,11000.0,1.25895392E8
12000.0,76.515625,0.002125770782262811,1000.0,41.23606811074545,254.85160518450292,12000.0,1.07174024E8
13000.0,84.234375,0.002323695264769614,1000.0,98.27873342074679,595.7844532614134,13000.0,9.9118544E7
14000.0,90.84375,0.002590383174376458,1000.0,63.076440699685826,370.44536190893587,14000.0,1.5597152E8
15000.0,98.578125,0.0030079192858667933,1000.0,37.209035543900356,100.57839005600819,15000.0,2.08675368E8
16000.0,109.09375,0.003662474964286148,1000.0,48.29172848702231,84.64024990288614,16000.0,2.40610112E8
17000.0,119.75,0.004511067777089515,1000.0,32.365854862439456,85.6564603488703,17000.0,3.07820344E8
18000.0,132.5625,0.005696673555551872,1000.0,44.30954135066129,128.45028985256627,18000.0,3.57691648E8
