learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.046875,2.1634817433853946E-9,1000.0,0.5247971491391029,0.655321145420835,1000.0,178408.0
2000.0,0.078125,3.607613810648521E-9,1000.0,0.49639849529759666,0.6213480947069578,2000.0,178632.0
3000.0,0.09375,4.329679844280084E-9,1000.0,0.4980298347715956,0.6164597251150161,3000.0,178632.0
4000.0,0.109375,5.051745877911648E-9,1000.0,0.47922106040789914,0.6045106194518103,4000.0,178632.0
5000.0,0.125,5.773811911543211E-9,1000.0,0.46166481009382654,0.575590179087314,5000.0,178632.0
6000.0,0.15625,7.217943978806337E-9,1000.0,0.4513068800510096,0.5611183591274201,6000.0,178632.0
7000.0,0.171875,7.9400100124379E-9,1000.0,0.43817583675030786,0.5496229785044383,7000.0,178632.0
8000.0,0.1875,8.662076046069463E-9,1000.0,0.4417105356620644,0.5475499566689602,8000.0,178632.0
9000.0,0.203125,9.384142079701026E-9,1000.0,0.4315828280455105,0.5410388266950981,9000.0,178632.0
10000.0,0.21875,1.010620811333259E-8,1000.0,0.42211237095350457,0.5316359282065292,10000.0,178632.0
11000.0,0.234375,1.0828274146964153E-8,1000.0,0.4063625640545394,0.5105090962101604,11000.0,178632.0
12000.0,0.25,1.1550340180595716E-8,1000.0,0.4052111899209282,0.5066463880270958,12000.0,178632.0
13000.0,0.265625,1.227240621422728E-8,1000.0,0.4074582558494812,0.5060773781748668,13000.0,178632.0
14000.0,0.28125,1.2994472247858843E-8,1000.0,0.4117951936880196,0.5166462623967816,14000.0,178632.0
15000.0,0.296875,1.3716538281490406E-8,1000.0,0.38362585198395616,0.4839032689757376,15000.0,178632.0
16000.0,0.3125,1.4438604315121969E-8,1000.0,0.3967201513491451,0.4982835542365103,16000.0,178632.0
17000.0,0.328125,1.516067034875353E-8,1000.0,0.38722644999133354,0.48067853777515895,17000.0,178632.0
18000.0,0.34375,1.5882736382385092E-8,1000.0,0.37646724280077837,0.4685926735384273,18000.0,178632.0
19000.0,0.359375,1.6604802416016654E-8,1000.0,0.3866092332409055,0.4762173996669756,19000.0,178632.0
20000.0,0.375,1.7326868449648215E-8,1000.0,0.3702640566249413,0.46838973044123017,20000.0,178632.0
21000.0,0.390625,1.8048934483279777E-8,1000.0,0.3742917708167592,0.47160445951810287,21000.0,178632.0
22000.0,0.40625,1.877100051691134E-8,1000.0,0.3687335972439887,0.46374892654654304,22000.0,178632.0
23000.0,0.40625,1.877100051691134E-8,1000.0,0.35293434553251957,0.43828562869397797,23000.0,178632.0
24000.0,0.40625,1.877100051691134E-8,1000.0,0.36621671172973813,0.45947316796156445,24000.0,178632.0
25000.0,0.421875,1.94930665505429E-8,1000.0,0.351126759772822,0.4418775005208715,25000.0,178632.0
26000.0,0.4375,2.0215132584174462E-8,1000.0,0.36712470823469023,0.45154201522441056,26000.0,178632.0
27000.0,0.453125,2.0937198617806023E-8,1000.0,0.3616250472755692,0.4504481199083603,27000.0,178632.0
28000.0,0.453125,2.0937198617806023E-8,1000.0,0.3500403246899256,0.43673580597715383,28000.0,178632.0
29000.0,0.46875,2.1659264651437585E-8,1000.0,0.3610337098047481,0.44839353490420747,29000.0,178632.0
30000.0,0.46875,2.1659264651437585E-8,1000.0,0.33987530478825156,0.4309935383798914,30000.0,178632.0
31000.0,0.484375,2.2381330685069147E-8,1000.0,0.34052561058021685,0.4259769046930803,31000.0,178632.0
32000.0,0.484375,2.2381330685069147E-8,1000.0,0.3452842740077171,0.43427835834292516,32000.0,178632.0
33000.0,0.5,2.3103396718700708E-8,1000.0,0.3332668278085884,0.4185044895060783,33000.0,178632.0
34000.0,0.5,2.3103396718700708E-8,1000.0,0.3183084941518013,0.40663937347715545,34000.0,178632.0
35000.0,0.515625,2.3824557299829173E-8,1000.0,0.33307922687584973,0.4216292766274684,35000.0,178408.0
36000.0,0.53125,2.4546623333460735E-8,1000.0,0.3294468084131346,0.4131766114422049,36000.0,178632.0
37000.0,0.53125,2.4546623333460735E-8,1000.0,0.32899392316573045,0.415626698524626,37000.0,178632.0
38000.0,0.546875,2.5268689367092297E-8,1000.0,0.3238191091508893,0.40308052020342255,38000.0,178632.0
39000.0,0.546875,2.5268689367092297E-8,1000.0,0.316131371995607,0.39405143840631074,39000.0,178632.0
