learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.46875,8.711940608918667E-8,1000.0,0.2668521323113518,0.42183958787028863,1000.0,744232.0
2000.0,0.75,1.4136254321783782E-7,1000.0,0.14292659835918467,0.1794014434977184,2000.0,745512.0
3000.0,0.96875,2.1376207263933287E-7,1000.0,0.1261890668378158,0.16002146395379085,3000.0,1279872.0
4000.0,1.25,3.0969935728030075E-7,1000.0,0.1223143421170341,0.15212506654951427,4000.0,1318552.0
5000.0,1.515625,4.6678343399738274E-7,1000.0,0.11720446357275117,0.15047943667645466,5000.0,2285944.0
6000.0,1.71875,5.939589916831917E-7,1000.0,0.11724419756381105,0.14759301964225585,6000.0,2420152.0
7000.0,1.890625,7.020837963662214E-7,1000.0,0.11385896965846011,0.14141818057678715,7000.0,2431728.0
8000.0,2.078125,8.203051078857647E-7,1000.0,0.11552771595765482,0.14747399507318829,8000.0,2437232.0
9000.0,2.25,9.278134611021314E-7,1000.0,0.11809979498425101,0.15011604318132848,9000.0,2417864.0
10000.0,2.4375,1.0463828544339372E-6,1000.0,0.1083566082076126,0.137636673792571,10000.0,2444408.0
11000.0,2.609375,1.1785809248168435E-6,1000.0,0.11051084603576938,0.1409228176771999,11000.0,2973136.0
12000.0,2.78125,1.3037330225213535E-6,1000.0,0.10637013204686102,0.13485691541683092,12000.0,2814672.0
13000.0,2.9375,1.424331534912603E-6,1000.0,0.10501228281685455,0.13140429156034458,13000.0,2983488.0
14000.0,3.109375,1.5575615301107368E-6,1000.0,0.1088401185753528,0.13633695172178573,14000.0,2996344.0
15000.0,3.265625,1.6789998496986098E-6,1000.0,0.10504544459786792,0.13193179264992083,15000.0,3004264.0
16000.0,3.453125,1.824852725904849E-6,1000.0,0.10622728926330763,0.13400555075281947,16000.0,3006880.0
17000.0,3.609375,1.946496389185389E-6,1000.0,0.106814919249603,0.13417945173636725,17000.0,3009344.0
18000.0,3.75,2.056028073032697E-6,1000.0,0.10487702381440149,0.1296478913383774,18000.0,3010784.0
19000.0,3.90625,2.1777655153224867E-6,1000.0,0.10669388264991536,0.13302146707995904,19000.0,3011664.0
20000.0,4.09375,2.3309230649222933E-6,1000.0,0.10809264690682631,0.13686853408731461,20000.0,3157472.0
21000.0,4.265625,2.4880193005729884E-6,1000.0,0.10331475540572378,0.1282462141943913,21000.0,3533096.0
22000.0,4.4375,2.6418554221486885E-6,1000.0,0.10784047362652399,0.1363317160816166,22000.0,3459776.0
23000.0,4.625,2.813993713870231E-6,1000.0,0.10722249016995014,0.13506513709879542,23000.0,3548776.0
24000.0,4.8125,2.986792856568678E-6,1000.0,0.1073724545462457,0.13232686002665536,24000.0,3562400.0
25000.0,4.984375,3.1455068771416947E-6,1000.0,0.10406043416685654,0.13000863215874617,25000.0,3569480.0
26000.0,5.15625,3.3044670514451966E-6,1000.0,0.10178326105758069,0.12745899363013913,26000.0,3575016.0
27000.0,5.359375,3.4924476252247895E-6,1000.0,0.10055106219698359,0.12515965990689054,27000.0,3577272.0
28000.0,5.53125,3.651599884809306E-6,1000.0,0.10263839226619338,0.12758777180308564,28000.0,3579336.0
29000.0,5.6875,3.7963338804224306E-6,1000.0,0.10561724195953992,0.13230969042024546,29000.0,3580576.0
30000.0,5.859375,3.955592854051955E-6,1000.0,0.10189438407826054,0.12736283024988865,30000.0,3581736.0
31000.0,6.015625,4.100421275426117E-6,1000.0,0.09823504999088524,0.12358313940860191,31000.0,3582912.0
32000.0,6.203125,4.263077151133783E-6,1000.0,0.10612212813262926,0.13844981701727832,32000.0,3353288.0
33000.0,6.375,4.4345737357313435E-6,1000.0,0.0980967588440135,0.12524886031827084,33000.0,3856960.0
34000.0,6.59375,4.668736429367628E-6,1000.0,0.09733346698477773,0.12303811376810476,34000.0,4137824.0
35000.0,6.8125,4.86439656621466E-6,1000.0,0.09882045870557571,0.1291199685191886,35000.0,3457456.0
36000.0,6.984375,5.048164198847694E-6,1000.0,0.10272334855352636,0.12826037028311776,36000.0,4132936.0
37000.0,7.171875,5.226292834979378E-6,1000.0,0.10072002248404412,0.12710733938922247,37000.0,3672272.0
38000.0,7.359375,5.410864283072037E-6,1000.0,0.10051466485391006,0.12596987530945716,38000.0,3805096.0
39000.0,7.515625,5.572132488143526E-6,1000.0,0.10187077867820316,0.12764444309499848,39000.0,3989616.0
40000.0,7.703125,5.772495674642009E-6,1000.0,0.10340071275313036,0.12879085711707833,40000.0,4130656.0
41000.0,7.890625,5.973466937171502E-6,1000.0,0.10057238716856681,0.12509409727311688,41000.0,4143192.0
42000.0,8.0625,6.156772853703134E-6,1000.0,0.10391114028916436,0.130624765232431,42000.0,4122552.0
43000.0,8.25,6.357798443382812E-6,1000.0,0.09932175474146138,0.1244378772893986,43000.0,4144312.0
44000.0,8.421875,6.523872887353516E-6,1000.0,0.09683583838098396,0.12127861053211046,44000.0,3735016.0
45000.0,8.609375,6.724830180044389E-6,1000.0,0.09737345440144829,0.12095991450093956,45000.0,4142904.0
46000.0,8.796875,6.9501978254670065E-6,1000.0,0.09951933252914666,0.12715472749679782,46000.0,4646144.0
47000.0,8.984375,7.178366035481707E-6,1000.0,0.09987338146220569,0.1271621849376421,47000.0,4703880.0
48000.0,9.203125,7.444180179542551E-6,1000.0,0.10190625491196587,0.12607293070164013,48000.0,4697128.0
49000.0,9.40625,7.692080430893433E-6,1000.0,0.09509291011922705,0.11994329733263372,49000.0,4717544.0
50000.0,9.59375,7.921313065000706E-6,1000.0,0.09490879424234264,0.12059327543191009,50000.0,4725824.0
51000.0,9.796875,8.148180430806759E-6,1000.0,0.09790493588407392,0.12507160683032417,51000.0,4317288.0
52000.0,9.984375,8.36375599545944E-6,1000.0,0.10026291246631155,0.12601530353453858,52000.0,4444272.0
53000.0,10.1875,8.63889070589923E-6,1000.0,0.09902968232162518,0.12483393259945375,53000.0,5235816.0
54000.0,10.40625,8.908056382400293E-6,1000.0,0.09551525721451508,0.1189363280574203,54000.0,4756352.0
55000.0,10.609375,9.16068684697772E-6,1000.0,0.10477964984657057,0.1296916068504644,55000.0,4807560.0
56000.0,10.796875,9.414169568723686E-6,1000.0,0.09705643983574448,0.12233086143487013,56000.0,5225760.0
57000.0,11.0,9.690354410041535E-6,1000.0,0.09464204118732772,0.1197333685545381,57000.0,5255800.0
58000.0,11.203125,9.967252650919057E-6,1000.0,0.0967875672356557,0.12107863642559796,58000.0,5269376.0
59000.0,11.40625,1.0251794818840505E-5,1000.0,0.1014040630172622,0.13149434848027558,59000.0,5414840.0
