learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.109375,3.7697383150872254E-8,1000.0,0.48762931044241,0.6077881851156851,1000.0,1333736.0
2000.0,0.28125,1.638138201087713E-7,1000.0,0.46735669489232756,0.5765316142208948,2000.0,2836360.0
3000.0,0.40625,3.0572746052510206E-7,1000.0,0.4476336563215463,0.5635075323359238,3000.0,4388504.0
4000.0,0.546875,5.239529289408691E-7,1000.0,0.46095946332546,0.573301089899639,4000.0,5998536.0
5000.0,0.75,9.148849575366411E-7,1000.0,0.4217634842174033,0.5198077468667767,5000.0,7439440.0
6000.0,0.96875,1.4344978909422125E-6,1000.0,0.42501994256558595,0.5350849645853532,6000.0,9181936.0
7000.0,1.21875,2.147415491183185E-6,1000.0,0.432924621416117,0.5454027531550885,7000.0,1.1023048E7
8000.0,1.5625,3.197130249140577E-6,1000.0,0.4248313061541533,0.5315247567793615,8000.0,1.1804048E7
9000.0,2.15625,4.9531321726842886E-6,1000.0,0.44075348787377233,0.5474627888137021,9000.0,1.143204E7
10000.0,2.515625,6.178400977255983E-6,1000.0,0.42464829379499175,0.5336512906993068,10000.0,1.3179104E7
11000.0,2.90625,7.688368334331446E-6,1000.0,0.42850539369087304,0.5442586216866411,11000.0,1.494204E7
12000.0,3.328125,9.346446733818286E-6,1000.0,0.4283989178530742,0.5386953524515731,12000.0,1.5192304E7
13000.0,3.765625,1.1233027649319008E-5,1000.0,0.4469381042434951,0.5532186269394989,13000.0,1.6668624E7
14000.0,4.234375,1.3485822257482345E-5,1000.0,0.43613842168475003,0.5486917778563283,14000.0,1.8577304E7
15000.0,4.734375,1.6137644286370943E-5,1000.0,0.42859785200639994,0.5356661802161191,15000.0,2.050108E7
16000.0,5.53125,1.6579852154892354E-5,1000.0,0.45039070021819466,0.5743257333992927,16000.0,2145056.0
17000.0,5.609375,1.6649923507227667E-5,1000.0,0.4374797165463773,0.546074202038041,17000.0,3466992.0
18000.0,5.75,1.6820034814170665E-5,1000.0,0.41508486020747565,0.5270616046297025,18000.0,4675984.0
19000.0,5.890625,1.7036765509854176E-5,1000.0,0.42136058372249424,0.5277051062181581,19000.0,5957448.0
20000.0,6.09375,1.7407449098148695E-5,1000.0,0.4276934645204061,0.5425944375732039,20000.0,7054112.0
21000.0,6.3125,1.789444401058265E-5,1000.0,0.4165431828783855,0.5264134695520484,21000.0,8605552.0
22000.0,6.59375,1.858891262802192E-5,1000.0,0.4298978022803383,0.5342840656380567,22000.0,9544704.0
23000.0,6.90625,1.9483308262553893E-5,1000.0,0.4142246742822663,0.5240758418586933,23000.0,1.1063232E7
24000.0,7.21875,2.051000732333503E-5,1000.0,0.4366034538587333,0.542927203362157,24000.0,1.269976E7
25000.0,7.671875,2.2111998502320298E-5,1000.0,0.4110457115116807,0.5183178666924843,25000.0,1.3666096E7
26000.0,8.125,2.3897654933130574E-5,1000.0,0.41702226379458945,0.5215245452263686,26000.0,1.5232888E7
27000.0,8.5625,2.5646751940560837E-5,1000.0,0.4203800333912439,0.5250020565236571,27000.0,1.5453904E7
28000.0,9.046875,2.7755613070136555E-5,1000.0,0.43359618635972147,0.5407414973266942,28000.0,1.68294E7
29000.0,9.5,2.9900316504709836E-5,1000.0,0.46500448376962816,0.5864311302971861,29000.0,1.8295808E7
30000.0,10.03125,3.2633599120243966E-5,1000.0,0.4247892244929595,0.5254280882710479,30000.0,1.9887856E7
31000.0,10.59375,3.576100710132676E-5,1000.0,0.4316709785065342,0.5408528613627669,31000.0,2.1491384E7
32000.0,11.375,4.004687436261317E-5,1000.0,0.4323444172220483,0.5449489073324333,32000.0,2.1205624E7
33000.0,11.9375,4.3405883641551344E-5,1000.0,0.39859342865768654,0.507386713782838,33000.0,2.3082936E7
34000.0,12.703125,4.8295784638159795E-5,1000.0,0.39213983033678973,0.4920531413015764,34000.0,2.4688024E7
35000.0,13.515625,5.3896392411034955E-5,1000.0,0.4063813509283281,0.5161326472417773,35000.0,2.6644904E7
36000.0,14.4375,6.074524102991239E-5,1000.0,0.43032520631960286,0.5359501090973071,36000.0,2.8717584E7
37000.0,15.390625,6.775047685045541E-5,1000.0,0.4251317450876851,0.534946770718458,37000.0,2.8410264E7
38000.0,16.265625,7.461090394321621E-5,1000.0,0.4277782553512686,0.5382180866565159,38000.0,3.0307176E7
39000.0,17.25,8.281055368974596E-5,1000.0,0.4246978263612875,0.5329482461416296,39000.0,3.2198608E7
40000.0,18.203125,9.118643783343333E-5,1000.0,0.4256641880512668,0.5214503425398082,40000.0,3.3969032E7
41000.0,19.21875,1.0062958000667598E-4,1000.0,0.39790725339597416,0.5000675746229302,41000.0,3.5940616E7
42000.0,20.4375,1.124827141110371E-4,1000.0,0.4448616788691851,0.55637729547319,42000.0,3.7594208E7
43000.0,21.59375,1.2418102728487505E-4,1000.0,0.4233237033458896,0.5336264446200552,43000.0,3.9108744E7
