learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.0,0.0,1000.0,0.6410749630369142,0.7961469065069687,1000.0,178600.0
2000.0,0.03125,1.4438733665479555E-9,1000.0,0.64316571814462,0.792041289412424,2000.0,178600.0
3000.0,0.03125,1.4438733665479555E-9,1000.0,0.6402270260652716,0.8025421460779407,3000.0,178600.0
4000.0,0.046875,2.1658100498219332E-9,1000.0,0.6478568049059341,0.8141759755492662,4000.0,178600.0
5000.0,0.0625,2.887746733095911E-9,1000.0,0.6246979597340282,0.7754086647701548,5000.0,178600.0
6000.0,0.078125,3.6096834163698887E-9,1000.0,0.6325055439087077,0.794142858927003,6000.0,178600.0
7000.0,0.109375,5.053556782917845E-9,1000.0,0.6370855963780478,0.7982874723840405,7000.0,178600.0
8000.0,0.125,5.775493466191822E-9,1000.0,0.6347145314452769,0.7974212715469546,8000.0,178600.0
9000.0,0.140625,6.497430149465799E-9,1000.0,0.6397236932789686,0.8037469536272053,9000.0,178600.0
10000.0,0.15625,7.219366832739777E-9,1000.0,0.6212384113038154,0.7818089930060214,10000.0,178600.0
11000.0,0.171875,7.941303516013754E-9,1000.0,0.636063260736966,0.7997338233961565,11000.0,178600.0
12000.0,0.1875,8.663240199287731E-9,1000.0,0.6185379135046953,0.7760908247373105,12000.0,178600.0
13000.0,0.21875,1.0107113565835686E-8,1000.0,0.6451822379341857,0.8020601860475591,13000.0,178600.0
14000.0,0.21875,1.0107113565835686E-8,1000.0,0.6564576689253738,0.8222898854135552,14000.0,178600.0
15000.0,0.234375,1.0829050249109663E-8,1000.0,0.6212801188633229,0.7822005700341805,15000.0,178600.0
16000.0,0.25,1.155098693238364E-8,1000.0,0.638854414941652,0.8006357063885314,16000.0,178600.0
17000.0,0.265625,1.2272923615657618E-8,1000.0,0.621493439028332,0.7832601047907287,17000.0,178600.0
18000.0,0.28125,1.2994860298931595E-8,1000.0,0.6137167855190665,0.7652372177621082,18000.0,178600.0
19000.0,0.28125,1.2994860298931595E-8,1000.0,0.6303389449155701,0.7761716503484719,19000.0,178600.0
20000.0,0.28125,1.2994860298931595E-8,1000.0,0.6186044522734786,0.784583436564072,20000.0,178600.0
21000.0,0.296875,1.3716796982205573E-8,1000.0,0.6263028617611114,0.7848262295127849,21000.0,178600.0
22000.0,0.3125,1.443873366547955E-8,1000.0,0.6443171284754299,0.7983606522408687,22000.0,178600.0
23000.0,0.328125,1.5160670348753527E-8,1000.0,0.6042462323585197,0.7642423123736323,23000.0,178600.0
24000.0,0.34375,1.5882607032027505E-8,1000.0,0.6454613173013749,0.7998092133388345,24000.0,178600.0
25000.0,0.34375,1.5882607032027505E-8,1000.0,0.6152863193850455,0.7763244045335426,25000.0,178600.0
26000.0,0.34375,1.5882607032027505E-8,1000.0,0.6237400567963264,0.7735930416694959,26000.0,178600.0
27000.0,0.359375,1.6604543715301482E-8,1000.0,0.629357094772927,0.7879636478675716,27000.0,178600.0
28000.0,0.375,1.732648039857546E-8,1000.0,0.6343091191792186,0.7968887253825445,28000.0,178600.0
29000.0,0.375,1.732648039857546E-8,1000.0,0.663632895021783,0.8413036153279032,29000.0,178600.0
30000.0,0.375,1.732648039857546E-8,1000.0,0.6159525206275455,0.7718886723318308,30000.0,178600.0
31000.0,0.390625,1.8048417081849437E-8,1000.0,0.6323313847569462,0.7974114400289112,31000.0,178600.0
32000.0,0.40625,1.8770353765123414E-8,1000.0,0.6395819062864502,0.8165624685251814,32000.0,178600.0
33000.0,0.40625,1.8770353765123414E-8,1000.0,0.610721729893747,0.7790917461743634,33000.0,178600.0
34000.0,0.421875,1.949229044839739E-8,1000.0,0.6115725859826525,0.7632790020003628,34000.0,178600.0
35000.0,0.421875,1.949229044839739E-8,1000.0,0.6191021879890558,0.7821232920259907,35000.0,178600.0
36000.0,0.421875,1.949229044839739E-8,1000.0,0.6138991230117959,0.7755731983746964,36000.0,178600.0
37000.0,0.4375,2.021422713167137E-8,1000.0,0.6298412466120747,0.7946347824093645,37000.0,178600.0
38000.0,0.453125,2.0936163814945346E-8,1000.0,0.6299332608540643,0.7785568247994734,38000.0,178600.0
39000.0,0.453125,2.0936163814945346E-8,1000.0,0.6372159827758135,0.7954230251280031,39000.0,178600.0
40000.0,0.453125,2.0936163814945346E-8,1000.0,0.6249548655730446,0.777093629300367,40000.0,178600.0
41000.0,0.46875,2.1658100498219323E-8,1000.0,0.5876633516523151,0.7331607986047044,41000.0,178600.0
42000.0,0.484375,2.23800371814933E-8,1000.0,0.6675443905817322,0.824580562817155,42000.0,178600.0
43000.0,0.484375,2.23800371814933E-8,1000.0,0.6270180052370322,0.7900025234772805,43000.0,178600.0
44000.0,0.484375,2.23800371814933E-8,1000.0,0.6328879083668594,0.7931684845146445,44000.0,178600.0
45000.0,0.5,2.3101973864767278E-8,1000.0,0.611519775708705,0.7721965445282162,45000.0,178600.0
46000.0,0.5,2.3101973864767278E-8,1000.0,0.6566948551273442,0.8311095791449777,46000.0,178600.0
47000.0,0.515625,2.3823910548041255E-8,1000.0,0.6557085426140127,0.8162612972654462,47000.0,178600.0
48000.0,0.515625,2.3823910548041255E-8,1000.0,0.67182605969992,0.8390454738265711,48000.0,178600.0
49000.0,0.53125,2.4545847231315233E-8,1000.0,0.6444104757489351,0.8136313931600463,49000.0,178600.0
50000.0,0.53125,2.4545847231315233E-8,1000.0,0.67285966383416,0.8389534896772588,50000.0,178600.0
51000.0,0.546875,2.526778391458921E-8,1000.0,0.6690688609682073,0.8474712512452217,51000.0,178600.0
52000.0,0.546875,2.526778391458921E-8,1000.0,0.6320874443426446,0.7830432173894789,52000.0,178600.0
53000.0,0.5625,2.5989720597863187E-8,1000.0,0.6448408094126677,0.8059079324559582,53000.0,178600.0
54000.0,0.5625,2.5989720597863187E-8,1000.0,0.6164950563961288,0.7731709276526362,54000.0,178600.0
55000.0,0.578125,2.6710751828634068E-8,1000.0,0.6301665604970449,0.7845875476710947,55000.0,178376.0
56000.0,0.59375,2.7432688511908046E-8,1000.0,0.6367560280145138,0.7964602440291578,56000.0,178600.0
57000.0,0.59375,2.7432688511908046E-8,1000.0,0.6167890626661231,0.7709796862876419,57000.0,178600.0
58000.0,0.609375,2.8154625195182023E-8,1000.0,0.6348951694696207,0.7956232596284905,58000.0,178600.0
59000.0,0.609375,2.8154625195182023E-8,1000.0,0.6137300800061165,0.7698488436992249,59000.0,178600.0
60000.0,0.625,2.8876561878456E-8,1000.0,0.634401991297667,0.8024787052671064,60000.0,178600.0
61000.0,0.625,2.8876561878456E-8,1000.0,0.6298791210128925,0.7909472914454503,61000.0,178600.0
62000.0,0.640625,2.9598498561729978E-8,1000.0,0.6457086514890307,0.8064089415638822,62000.0,178600.0
63000.0,0.640625,2.9598498561729978E-8,1000.0,0.6044986626862205,0.7583956048938902,63000.0,178600.0
64000.0,0.65625,3.0320435245003955E-8,1000.0,0.6093020948416383,0.7657368933095351,64000.0,178600.0
65000.0,0.65625,3.0320435245003955E-8,1000.0,0.5797233462056391,0.7253217045973271,65000.0,178600.0
66000.0,0.671875,3.1042371928277936E-8,1000.0,0.6024430624303089,0.7567958018170206,66000.0,178600.0
67000.0,0.671875,3.1042371928277936E-8,1000.0,0.617391796850241,0.7695210683530571,67000.0,178600.0
68000.0,0.6875,3.1764308611551916E-8,1000.0,0.6324593627613667,0.7910985621022493,68000.0,178600.0
69000.0,0.6875,3.1764308611551916E-8,1000.0,0.6440430056981497,0.7966208818753312,69000.0,178600.0
70000.0,0.703125,3.24862452948259E-8,1000.0,0.6497608556459475,0.8116571720536605,70000.0,178600.0
71000.0,0.71875,3.320818197809988E-8,1000.0,0.6402749556376699,0.8119835218210868,71000.0,178600.0
72000.0,0.71875,3.320818197809988E-8,1000.0,0.669586407175037,0.8358660807235173,72000.0,178600.0
73000.0,0.734375,3.393011866137386E-8,1000.0,0.6217481224929909,0.7748980299707527,73000.0,178600.0
74000.0,0.734375,3.393011866137386E-8,1000.0,0.5825054910432315,0.7352557705423401,74000.0,178600.0
75000.0,0.734375,3.393011866137386E-8,1000.0,0.616601963539997,0.7751106296863448,75000.0,178600.0
76000.0,0.734375,3.393011866137386E-8,1000.0,0.6658005770488625,0.8334982704809997,76000.0,178600.0
77000.0,0.75,3.465205534464784E-8,1000.0,0.6703137302105264,0.8426225182483971,77000.0,178600.0
78000.0,0.75,3.465205534464784E-8,1000.0,0.6314468620400058,0.7925807516431258,78000.0,178600.0
79000.0,0.765625,3.537399202792182E-8,1000.0,0.6481492541962302,0.8076134485595272,79000.0,178600.0
80000.0,0.765625,3.537399202792182E-8,1000.0,0.629904196525327,0.7944132051796375,80000.0,178600.0
81000.0,0.78125,3.60959287111958E-8,1000.0,0.6579075631588369,0.8263114379213757,81000.0,178600.0
82000.0,0.78125,3.60959287111958E-8,1000.0,0.6442809810107236,0.7965396515291551,82000.0,178600.0
83000.0,0.796875,3.681786539446978E-8,1000.0,0.6278220916582795,0.7899478375198377,83000.0,178600.0
