learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,2.078125,3.060876550282248E-5,1000.0,30.012831657619042,44.27699703063544,1000.0,5.6960376E7
2000.0,6.53125,1.5672502751436291E-4,1000.0,27.532928577067782,39.7483527489098,2000.0,1.09473392E8
3000.0,14.515625,2.476214888156392E-4,1000.0,26.708807544211506,38.86308870425066,3000.0,4.4005648E7
4000.0,18.421875,3.2473146511215927E-4,1000.0,28.256923309367085,39.23612880282893,4000.0,7.6304984E7
5000.0,23.359375,4.673678738052129E-4,1000.0,35.79053271363503,49.03746866280479,5000.0,1.11667208E8
6000.0,29.84375,7.412048316715906E-4,1000.0,34.00772322243643,56.51458102138887,6000.0,1.63239896E8
7000.0,39.171875,0.0011457936193134326,1000.0,31.186401176177153,47.169226157868046,7000.0,1.67657064E8
8000.0,47.109375,0.0012790661934155246,1000.0,39.614313376313966,154.30287832540876,8000.0,6.49022E7
9000.0,52.53125,0.001341753134135312,1000.0,47.588619480527505,256.9238422623343,9000.0,4.4692016E7
10000.0,56.734375,0.0014209558393728607,1000.0,39.851227336464824,60.083911075295696,10000.0,7.2840024E7
11000.0,61.328125,0.0015556744742207227,1000.0,33.55710794183692,49.85459413224106,11000.0,1.13360744E8
12000.0,68.859375,0.001688699117124391,1000.0,44.19194015081987,254.40193645591566,12000.0,6.8275896E7
13000.0,74.0,0.0018024809056078083,1000.0,97.24195783425309,641.8534814674591,13000.0,8.555772E7
14000.0,79.125,0.001964748898139482,1000.0,64.50596676536257,406.82919059848086,14000.0,1.22388712E8
15000.0,85.765625,0.0022539859747242492,1000.0,38.04112512748572,121.58367046441843,15000.0,1.6836328E8
16000.0,93.09375,0.0026696687810666237,1000.0,44.15944709153192,65.72679173938535,16000.0,2.19266136E8
17000.0,103.015625,0.0033808093694905335,1000.0,31.567135386940503,85.08604444233026,17000.0,2.77053784E8
18000.0,114.65625,0.0043224057631192,1000.0,43.511830705392946,128.05325220304618,18000.0,3.12673344E8
19000.0,127.140625,0.005521005682886526,1000.0,28.79905847943816,44.3869921249726,19000.0,3.71116112E8
20000.0,145.4375,0.007194246820290572,1000.0,45.97030378326097,565.6334118783526,20000.0,3.53495576E8
21000.0,162.8125,0.008824807662943688,1000.0,33.030408558976035,63.59456674619196,21000.0,3.62755968E8
22000.0,180.21875,0.010671489264803111,1000.0,30.530965853998875,47.06835306569944,22000.0,4.1009944E8
23000.0,198.5,0.012806213802412257,1000.0,29.83834192913713,51.35979854743184,23000.0,4.51375856E8
24000.0,223.875,0.013174423525536744,1000.0,53.97963638088181,122.59979677250467,24000.0,5.6090792E7
25000.0,227.921875,0.013276828025797537,1000.0,48.72891283133146,98.92603586490218,25000.0,9.7814136E7
26000.0,233.5625,0.013485086337022948,1000.0,40.91787109429854,84.82781435072117,26000.0,1.42717584E8
27000.0,240.171875,0.013807657193392515,1000.0,37.10305021766297,66.42196061085143,27000.0,1.88654472E8
28000.0,248.828125,0.014335101707191723,1000.0,36.317270482409015,60.12340991056864,28000.0,2.35531696E8
29000.0,258.484375,0.01504168233109845,1000.0,32.62657068225036,60.29887271010017,29000.0,2.82849616E8
30000.0,269.421875,0.015982583073330007,1000.0,31.067430188613013,47.06450990482527,30000.0,3.3252792E8
31000.0,281.625,0.017188427969037242,1000.0,28.074670885661295,39.8946947596921,31000.0,3.81964288E8
32000.0,297.984375,0.018995997544940715,1000.0,31.075716381152326,63.51915166597543,32000.0,4.27101096E8
