learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.421875,9.272305760532618E-8,1000.0,21.354362987498213,39.35461853871668,1000.0,849584.0
2000.0,0.828125,1.820136094465852E-7,1000.0,23.49861502138979,48.07061604396866,2000.0,849600.0
3000.0,1.125,2.4726439733058216E-7,1000.0,18.70430042426974,32.4490103433636,3000.0,849600.0
4000.0,1.5625,3.434234531596303E-7,1000.0,22.14752974822778,57.782952462202566,4000.0,849600.0
5000.0,1.859375,4.086742410436273E-7,1000.0,18.922683294342445,30.396191659609183,5000.0,849600.0
6000.0,2.1875,4.807935329154134E-7,1000.0,18.483362496809416,32.4078859272685,6000.0,849600.0
7000.0,2.65625,5.838210927322508E-7,1000.0,19.793659691947767,32.15792557534403,7000.0,849600.0
8000.0,2.9375,6.456376286223531E-7,1000.0,22.53691538375262,34.60335305608943,8000.0,849600.0
9000.0,3.21875,7.074541645124555E-7,1000.0,24.5934235705041,40.408198043673266,9000.0,849600.0
10000.0,3.53125,7.761392043903471E-7,1000.0,28.24256324274313,44.67001430316446,10000.0,849600.0
11000.0,3.84375,8.448242442682386E-7,1000.0,24.508940627048062,36.88668254643794,11000.0,849600.0
12000.0,4.171875,9.169421779612701E-7,1000.0,24.126429371399,36.28017117978087,12000.0,849584.0
13000.0,4.453125,9.787587138513726E-7,1000.0,31.006218246193562,53.860148321705026,13000.0,849600.0
14000.0,4.734375,1.040575249741475E-6,1000.0,32.68565086977016,47.30740045291427,14000.0,849600.0
15000.0,5.03125,1.105826037625472E-6,1000.0,32.83230227939599,47.4157969326908,15000.0,849600.0
16000.0,5.328125,1.171076825509469E-6,1000.0,28.28014561408671,40.693381984000894,16000.0,849600.0
17000.0,5.640625,1.2397618653873605E-6,1000.0,31.704150605749934,48.75085673135077,17000.0,849600.0
18000.0,5.921875,1.3015784012774629E-6,1000.0,30.424246669006187,41.44555657896505,18000.0,849600.0
19000.0,6.21875,1.3668279603330626E-6,1000.0,24.10664261803774,35.84713376414024,19000.0,849584.0
20000.0,6.53125,1.4355130002109542E-6,1000.0,17.133897967754685,31.72679409527059,20000.0,849600.0
21000.0,6.828125,1.5007637880949512E-6,1000.0,13.640746735950774,31.085379649906205,21000.0,849600.0
22000.0,7.140625,1.5694488279728427E-6,1000.0,13.061036246822994,25.04900778082821,22000.0,849600.0
23000.0,7.453125,1.6381338678507342E-6,1000.0,15.393313094297813,32.5087849421098,23000.0,849600.0
24000.0,7.765625,1.7068189077286258E-6,1000.0,15.233414853391718,23.853602861522912,24000.0,849600.0
25000.0,8.046875,1.7686354436187282E-6,1000.0,15.425994221913074,25.780020273762418,25000.0,849600.0
26000.0,8.375,1.8407547354905143E-6,1000.0,16.879995917174828,28.821626712419988,26000.0,849600.0
27000.0,8.65625,1.9025712713806167E-6,1000.0,17.307737948263426,27.248645439822692,27000.0,849600.0
28000.0,8.96875,1.971256311258508E-6,1000.0,17.87180982733059,29.08991855501043,28000.0,849600.0
29000.0,9.265625,2.036507099142505E-6,1000.0,18.4820502345027,34.27878731173331,29000.0,849600.0
30000.0,9.609375,2.112060643008186E-6,1000.0,18.93607969385706,28.681122502542387,30000.0,849600.0
31000.0,9.921875,2.1807456828860774E-6,1000.0,20.6901971079598,41.752103890418454,31000.0,849600.0
32000.0,10.25,2.2528649747578635E-6,1000.0,18.597473545456246,28.704221829974358,32000.0,849600.0
33000.0,10.515625,2.3112472586540713E-6,1000.0,20.609400635077193,33.3890749492638,33000.0,849600.0
34000.0,10.8125,2.3764980465380683E-6,1000.0,19.861226224641637,31.25181070026416,34000.0,849600.0
35000.0,11.09375,2.4383134182749526E-6,1000.0,20.563462465840747,32.71546324150411,35000.0,849584.0
36000.0,11.40625,2.506998458152844E-6,1000.0,21.865876741272036,32.287983080559066,36000.0,849600.0
37000.0,11.671875,2.565380742049052E-6,1000.0,21.02147887663175,30.744761907540315,37000.0,849600.0
38000.0,11.953125,2.6271961137859363E-6,1000.0,20.741919759763782,29.02258270840131,38000.0,849584.0
39000.0,12.28125,2.6993154056577224E-6,1000.0,19.85093295957468,29.518819690511148,39000.0,849600.0
40000.0,12.5625,2.7611319415478248E-6,1000.0,18.668543629640013,28.2715361618155,40000.0,849600.0
41000.0,12.84375,2.822948477437927E-6,1000.0,14.715159031364387,28.239914748934055,41000.0,849600.0
42000.0,13.171875,2.8950677693097133E-6,1000.0,11.526539762986612,20.329727840669538,42000.0,849600.0
43000.0,13.453125,2.9568843051998156E-6,1000.0,11.79872831876698,22.389233895269456,43000.0,849600.0
44000.0,13.75,3.0221350930838126E-6,1000.0,11.839056677271653,20.125764922678727,44000.0,849600.0
45000.0,14.0,3.077083124986126E-6,1000.0,13.653173584900031,23.95035525975445,45000.0,849600.0
46000.0,14.28125,3.1388996608762282E-6,1000.0,12.478425458398576,19.251881922029504,46000.0,849600.0
47000.0,14.53125,3.1938476927785415E-6,1000.0,13.514647069923907,21.666844031956284,47000.0,849600.0
48000.0,14.828125,3.2590972518341413E-6,1000.0,14.383110337913084,27.73115125779268,48000.0,849584.0
49000.0,15.109375,3.3209137877242436E-6,1000.0,16.761971947391093,33.73256401002736,49000.0,849600.0
50000.0,15.390625,3.382730323614346E-6,1000.0,16.006527909248632,32.401337380178184,50000.0,849600.0
