learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.859375,1.475213179623501E-6,1000.0,19.86867119796652,38.13080143520724,1000.0,6636968.0
2000.0,1.84375,3.2595789202282E-6,1000.0,22.10016634773728,47.891981204303676,2000.0,7006896.0
3000.0,2.71875,5.970431278304507E-6,1000.0,18.198687438043542,32.63681051331391,3000.0,1.197568E7
4000.0,3.921875,9.969140648738377E-6,1000.0,20.939122660931407,57.46712550222822,4000.0,1.2847288E7
5000.0,4.953125,1.3786353261416985E-5,1000.0,18.316931369680418,30.542704814807642,5000.0,1.4308192E7
6000.0,6.171875,1.8873034213255676E-5,1000.0,17.915048168976515,32.56161365463164,6000.0,1.6133264E7
7000.0,7.515625,2.391664000848929E-5,1000.0,19.396249069091233,32.22593445716551,7000.0,1.4508584E7
8000.0,8.8125,2.6830232204196767E-5,1000.0,21.864515075707192,35.29859809805925,8000.0,8684264.0
9000.0,9.6875,2.938320986383284E-5,1000.0,23.681621908759666,38.85834359740639,9000.0,1.127824E7
10000.0,10.84375,3.213796722573332E-5,1000.0,26.60493284831584,43.381175787964565,10000.0,9209456.0
11000.0,11.703125,3.481419540346704E-5,1000.0,23.778785161471568,36.768471331651256,11000.0,1.203768E7
12000.0,12.640625,3.85990069157237E-5,1000.0,23.606954265841058,35.819189399812636,12000.0,1.5605416E7
13000.0,13.953125,4.379609421852769E-5,1000.0,29.217489948661125,53.66495187525563,13000.0,1.5306048E7
14000.0,15.15625,4.785814406608956E-5,1000.0,31.30522776665775,46.872148338224015,14000.0,1.3050792E7
15000.0,16.1875,5.168673026168512E-5,1000.0,30.802882307068764,46.521345028728405,15000.0,1.4350824E7
16000.0,17.234375,5.687605887134042E-5,1000.0,27.601669978379668,40.73115069185984,16000.0,1.9161024E7
17000.0,18.484375,6.262253905232582E-5,1000.0,30.39863920748416,48.67185923961361,17000.0,1.777028E7
18000.0,19.625,6.927730079041794E-5,1000.0,29.356494602506114,40.908809639959394,18000.0,2.255236E7
19000.0,21.0,7.894527170315593E-5,1000.0,24.164316002371258,35.08620698005554,19000.0,2.7179096E7
20000.0,22.90625,9.419908840855998E-5,1000.0,18.32045397308576,32.22350832141561,20000.0,3.0931504E7
21000.0,24.796875,1.1029250832507388E-4,1000.0,14.085025228093919,31.84920456610121,21000.0,3.2903744E7
22000.0,26.609375,1.2818350640979287E-4,1000.0,13.725398907703555,25.571583811159407,22000.0,3.8155656E7
23000.0,28.734375,1.4352191993061248E-4,1000.0,15.49308814045049,32.80049442111956,23000.0,2.7901264E7
24000.0,30.34375,1.51660840460358E-4,1000.0,15.269680592495314,24.128253875320578,24000.0,1.9548432E7
25000.0,31.671875,1.589717949456018E-4,1000.0,15.334471315354655,26.09458653470374,25000.0,2.1278328E7
26000.0,33.125,1.6460357065726486E-4,1000.0,16.81605769322523,29.285658783586552,26000.0,1.4981136E7
27000.0,34.296875,1.6909933878600392E-4,1000.0,17.616556622759585,27.910341406138333,27000.0,1.4829448E7
28000.0,35.4375,1.7458590513948972E-4,1000.0,17.992771421916338,29.233620515444947,28000.0,1.8593456E7
29000.0,36.765625,1.805905340329951E-4,1000.0,18.395495374923314,34.593566424276865,29000.0,1.7476304E7
30000.0,37.953125,1.8691473870098387E-4,1000.0,18.977295365179902,29.241332368279572,30000.0,2.0586128E7
31000.0,39.375,1.9199734692746363E-4,1000.0,20.79174904138421,43.01680949579892,31000.0,1.381744E7
32000.0,40.46875,1.9724000746565356E-4,1000.0,18.71144989646079,29.22470305396401,32000.0,1.852832E7
33000.0,41.796875,2.0349115033039E-4,1000.0,20.493412172639452,33.757620618680384,33000.0,1.8193776E7
34000.0,42.984375,2.0953962556733235E-4,1000.0,19.828238143781878,31.400479769839812,34000.0,1.9688592E7
35000.0,44.296875,2.1618888302732056E-4,1000.0,20.328253566694606,32.94348956112775,35000.0,1.9582864E7
36000.0,45.609375,2.2309933455997254E-4,1000.0,21.782638907109703,32.95619586038674,36000.0,2.0352112E7
37000.0,46.90625,2.3017157942781022E-4,1000.0,20.6718538832333,31.038087152291546,37000.0,2.107956E7
38000.0,48.140625,2.3737957704320762E-4,1000.0,20.589358094398957,29.33615660900194,38000.0,2.2571992E7
39000.0,49.40625,2.45862765037196E-4,1000.0,19.816856286072184,29.768930148816146,39000.0,2.5909344E7
40000.0,50.9375,2.577882300506139E-4,1000.0,18.65809146242257,27.97900143230047,40000.0,3.0104512E7
41000.0,52.640625,2.64991706612313E-4,1000.0,14.816199329100517,28.513834871180485,41000.0,1.6349256E7
42000.0,53.890625,2.7056441234890377E-4,1000.0,11.306470137408473,20.436273631985895,42000.0,1.7232904E7
43000.0,55.109375,2.7600747610752785E-4,1000.0,12.194984569225635,22.902356893458613,43000.0,1.7263592E7
44000.0,56.34375,2.810621529675296E-4,1000.0,12.178788898187273,20.460530180844987,44000.0,1.5828824E7
45000.0,57.53125,2.871414472206703E-4,1000.0,13.93156846828782,24.16032547551953,45000.0,1.9788912E7
46000.0,58.765625,2.953396960704898E-4,1000.0,12.53916562276916,19.371184901448373,46000.0,2.5672984E7
47000.0,60.375,3.066883414026557E-4,1000.0,13.439248354243999,21.682741159877466,47000.0,2.7257696E7
48000.0,62.09375,3.1579632111566354E-4,1000.0,14.750817506514341,28.318012006068724,48000.0,2.0483856E7
49000.0,63.421875,3.2167235505767175E-4,1000.0,17.56906096181913,34.4740589559925,49000.0,1.7102032E7
50000.0,64.734375,3.2765345104659603E-4,1000.0,15.797134852723795,32.560386238614626,50000.0,1.7615048E7
