learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.5625,4.5392545871436597E-7,1000.0,19.362053011560313,37.57299872759067,1000.0,3120808.0
2000.0,1.0625,7.936533074826002E-7,1000.0,22.336487589150174,48.35008874820987,2000.0,2626416.0
3000.0,1.390625,1.1701839199910561E-6,1000.0,17.615867272214537,32.20865902337053,3000.0,4435712.0
4000.0,1.828125,1.61926391431027E-6,1000.0,21.129844098232464,57.58792450874968,4000.0,3967784.0
5000.0,2.21875,2.133801042671419E-6,1000.0,18.112468630862693,30.3051099836286,5000.0,5091656.0
6000.0,2.65625,2.6433743187226353E-6,1000.0,18.200026788645168,32.86956146422417,6000.0,4502264.0
7000.0,3.125,3.152989180913816E-6,1000.0,18.70540387192995,31.45549895130979,7000.0,4202456.0
8000.0,3.609375,3.4426835999410184E-6,1000.0,21.265777255513967,34.75060907466175,8000.0,2311856.0
9000.0,3.90625,3.6584799979916875E-6,1000.0,24.071569204742033,40.28642854208091,9000.0,2809784.0
10000.0,4.28125,3.89217832384424E-6,1000.0,25.958845911248737,43.720218725833945,10000.0,2408632.0
11000.0,4.609375,4.282618724068419E-6,1000.0,23.255659213354143,36.09644421856279,11000.0,4599576.0
12000.0,4.9375,4.770887381811108E-6,1000.0,22.75426857553973,34.935214279486694,12000.0,5752040.0
13000.0,5.421875,5.061934126489278E-6,1000.0,29.681910700626762,53.900836811004304,13000.0,2322648.0
14000.0,5.71875,5.3068193503552006E-6,1000.0,31.29177797230677,47.617531546064875,14000.0,3188536.0
15000.0,6.078125,5.701820062111234E-6,1000.0,31.557541401819194,46.67053635566472,15000.0,4248352.0
16000.0,6.421875,6.284307293956063E-6,1000.0,27.160724585555585,40.10801101037263,16000.0,6550072.0
17000.0,6.890625,6.999862800714455E-6,1000.0,29.65527669596024,48.16222822069559,17000.0,5900712.0
18000.0,7.234375,7.638937644919172E-6,1000.0,28.18982071693783,39.58221458720433,18000.0,7186400.0
19000.0,7.671875,8.710010087169291E-6,1000.0,23.34286239914226,34.36197039910857,19000.0,9463312.0
20000.0,8.1875,1.0177689966642193E-5,1000.0,17.42857105440831,32.24677688215145,20000.0,1.10024E7
21000.0,8.734375,1.1457370516533652E-5,1000.0,13.456115502225554,31.40074670952505,21000.0,9044840.0
22000.0,9.171875,1.2556712996835509E-5,1000.0,13.019732613003475,24.879960848339056,22000.0,9713088.0
23000.0,9.75,1.333335876956375E-5,1000.0,15.367614907453948,33.03518879384991,23000.0,5192824.0
24000.0,10.125,1.392288207878462E-5,1000.0,14.919800964318062,23.865397684080847,24000.0,6076760.0
25000.0,10.515625,1.4680849304164035E-5,1000.0,15.148256944323567,25.914815163150713,25000.0,7500232.0
26000.0,11.0,1.4985890464029378E-5,1000.0,16.307342404064848,28.95426807271173,26000.0,2434328.0
27000.0,11.328125,1.5237617351683891E-5,1000.0,16.9906932291305,27.42721992396362,27000.0,2965464.0
28000.0,11.6875,1.5642067592125385E-5,1000.0,17.527533222673966,29.154580886921757,28000.0,4350304.0
29000.0,12.0625,1.6093866142909975E-5,1000.0,18.521392887386686,34.73882352112153,29000.0,4657104.0
30000.0,12.390625,1.6566555811247477E-5,1000.0,18.721162423800422,29.01502391120961,30000.0,5568512.0
31000.0,12.90625,1.699655151848371E-5,1000.0,20.64577749941687,43.39460928296961,31000.0,3223536.0
32000.0,13.234375,1.7350353688622516E-5,1000.0,18.54864643277418,29.082648334007267,32000.0,4167960.0
33000.0,13.609375,1.7859990475699308E-5,1000.0,20.62318302768142,34.11059827520216,33000.0,5253296.0
34000.0,13.984375,1.8378471722826365E-5,1000.0,19.59011924831079,31.600154789792565,34000.0,5344152.0
35000.0,14.34375,1.882766683896383E-5,1000.0,20.041432955915322,32.46917871276444,35000.0,4831584.0
36000.0,14.703125,1.9405742221149723E-5,1000.0,21.08365961188935,32.216328096870264,36000.0,6217832.0
37000.0,15.109375,2.0124900264717228E-5,1000.0,20.28436433292837,30.673864382037095,37000.0,6842792.0
38000.0,15.5,2.1038958608793718E-5,1000.0,20.141500235588154,29.10624954010183,38000.0,9045160.0
39000.0,16.0,2.2516066221416825E-5,1000.0,19.288631783128295,29.4521019565491,39000.0,1.141912E7
40000.0,16.515625,2.378671142246781E-5,1000.0,18.50980032761094,28.21468850791177,40000.0,9525608.0
41000.0,17.078125,2.4352104551831466E-5,1000.0,15.251827343303301,29.61181081239979,41000.0,3885352.0
42000.0,17.421875,2.4893945115359706E-5,1000.0,11.329912170414614,20.39803306058184,42000.0,6093000.0
43000.0,17.859375,2.5618906527395462E-5,1000.0,12.078624754607652,23.080415175603008,43000.0,6405296.0
44000.0,18.3125,2.6626245946519903E-5,1000.0,11.982983316485406,20.54980241175157,44000.0,8592992.0
45000.0,18.90625,2.7546986174355777E-5,1000.0,13.630062280007857,24.15361235546078,45000.0,5994264.0
46000.0,19.3125,2.8299708048709563E-5,1000.0,12.464790897190678,19.371803210419493,46000.0,7162152.0
47000.0,19.78125,2.895614494466119E-5,1000.0,13.100042725981192,21.666159283959505,47000.0,5413200.0
48000.0,20.234375,2.9426305069743345E-5,1000.0,14.243316688957007,28.07657886330535,48000.0,4010792.0
49000.0,20.6875,2.9725350387808348E-5,1000.0,17.31740498677244,34.69266194880192,49000.0,2551064.0
50000.0,21.03125,2.9965517460368573E-5,1000.0,16.08497653016642,33.527558385546584,50000.0,2700680.0
