learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.5625,4.6329922042787075E-7,1000.0,19.362053011560313,37.57299872759067,1000.0,3185224.0
2000.0,1.015625,7.787286691988508E-7,1000.0,22.336487589150174,48.35008874820987,2000.0,2690832.0
3000.0,1.359375,1.1789177208104068E-6,1000.0,17.615867272214537,32.20865902337053,3000.0,4500128.0
4000.0,1.875,1.7167831861620976E-6,1000.0,21.129844098232464,57.58792450874968,4000.0,4032200.0
5000.0,2.265625,2.237829871268736E-6,1000.0,18.112468630862693,30.3051099836286,5000.0,5156072.0
6000.0,2.796875,2.865450417933365E-6,1000.0,18.200026788645168,32.86956146422417,6000.0,4566680.0
7000.0,3.1875,3.2966074973551765E-6,1000.0,18.70540387192995,31.45549895130979,7000.0,4266560.0
8000.0,3.59375,3.546379739418626E-6,1000.0,21.265777255513967,34.75060907466175,8000.0,2376584.0
9000.0,3.953125,3.8135957503173915E-6,1000.0,24.071569204742033,40.28642854208091,9000.0,2874200.0
10000.0,4.3125,4.04351643131425E-6,1000.0,25.958845911248737,43.720218725833945,10000.0,2473048.0
11000.0,4.65625,4.458277641485135E-6,1000.0,23.255659213354143,36.09644421856279,11000.0,4663992.0
12000.0,5.0625,5.069570680562821E-6,1000.0,22.75426857553973,34.935214279486694,12000.0,5816456.0
13000.0,5.609375,5.407329364162353E-6,1000.0,29.681910700626762,53.900836811004304,13000.0,2387376.0
14000.0,5.9375,5.683433523194658E-6,1000.0,31.29177797230677,47.617531546064875,14000.0,3252640.0
15000.0,6.3125,6.101857353415755E-6,1000.0,31.557541401819194,46.67053635566472,15000.0,4313080.0
16000.0,6.6875,6.74354714444942E-6,1000.0,27.160724585555585,40.10801101037263,16000.0,6614488.0
17000.0,7.1875,7.515138584292598E-6,1000.0,29.65527669596024,48.16222822069559,17000.0,5965128.0
18000.0,7.578125,8.247869554907084E-6,1000.0,28.18982071693783,39.58221458720433,18000.0,7250816.0
19000.0,8.046875,9.403296474677822E-6,1000.0,23.34286239914226,34.36197039910857,19000.0,9528040.0
20000.0,8.625,1.105846442644381E-5,1000.0,17.42857105440831,32.24677688215145,20000.0,1.1066816E7
21000.0,9.1875,1.2384081039474245E-5,1000.0,13.456115502225554,31.40074670952505,21000.0,9109568.0
22000.0,9.6875,1.3648764320856169E-5,1000.0,13.019732613003475,24.879960848339056,22000.0,9777192.0
23000.0,10.265625,1.4435090900709233E-5,1000.0,15.367614907453948,33.03518879384991,23000.0,5257552.0
24000.0,10.6875,1.5105370742579303E-5,1000.0,14.919800964318062,23.865397684080847,24000.0,6141504.0
25000.0,11.09375,1.5900426595989203E-5,1000.0,15.148256944323567,25.914815163150713,25000.0,7564960.0
26000.0,11.625,1.6243840865273444E-5,1000.0,16.307342404064848,28.95426807271173,26000.0,2498744.0
27000.0,11.984375,1.6525530534434237E-5,1000.0,16.9906932291305,27.42721992396362,27000.0,3029880.0
28000.0,12.3125,1.690030570090231E-5,1000.0,17.527533222673966,29.154580886921757,28000.0,4415032.0
29000.0,12.6875,1.735835497836686E-5,1000.0,18.521392887386686,34.73882352112153,29000.0,4721536.0
30000.0,13.03125,1.785928208846599E-5,1000.0,18.721162423800422,29.01502391120961,30000.0,5632928.0
31000.0,13.453125,1.8218161130789667E-5,1000.0,20.64577749941687,43.39460928296961,31000.0,3288264.0
32000.0,13.78125,1.8577431328594686E-5,1000.0,18.54864643277418,29.082648334007267,32000.0,4232376.0
33000.0,14.140625,1.907182352927824E-5,1000.0,20.62318302768142,34.11059827520216,33000.0,5317728.0
34000.0,14.546875,1.9640281486014526E-5,1000.0,19.59011924831079,31.600154789792565,34000.0,5408880.0
35000.0,14.96875,2.0174627813200156E-5,1000.0,20.041432955915322,32.46917871276444,35000.0,4896000.0
36000.0,15.328125,2.07586919875919E-5,1000.0,21.08365961188935,32.216328096870264,36000.0,6282248.0
37000.0,15.734375,2.148465276049036E-5,1000.0,20.28436433292837,30.673864382037095,37000.0,6907520.0
38000.0,16.21875,2.2626154952579074E-5,1000.0,20.141500235588154,29.10624954010183,38000.0,9109560.0
39000.0,16.640625,2.3879494822014953E-5,1000.0,19.288631783128295,29.4521019565491,39000.0,1.1483848E7
40000.0,17.21875,2.531378937419504E-5,1000.0,18.50980032761094,28.21468850791177,40000.0,9590008.0
41000.0,17.765625,2.587263465910736E-5,1000.0,15.251827343303301,29.61181081239979,41000.0,3950080.0
42000.0,18.109375,2.642020363257163E-5,1000.0,11.329912170414614,20.39803306058184,42000.0,6157416.0
43000.0,18.5625,2.717860948501362E-5,1000.0,12.078624754607652,23.080415175603008,43000.0,6469728.0
44000.0,19.015625,2.819349998996283E-5,1000.0,11.982983316485406,20.54980241175157,44000.0,8657720.0
45000.0,19.546875,2.9026173190989846E-5,1000.0,13.630062280007857,24.15361235546078,45000.0,6058680.0
46000.0,19.9375,2.9756453780767822E-5,1000.0,12.464790897190678,19.371803210419493,46000.0,7226568.0
47000.0,20.375,3.0376417109639283E-5,1000.0,13.100042725981192,21.666159283959505,47000.0,5477600.0
48000.0,20.78125,3.08047099194179E-5,1000.0,14.243316688957007,28.07657886330535,48000.0,4075208.0
49000.0,21.140625,3.1047903078918656E-5,1000.0,17.31740498677244,34.69266194880192,49000.0,2615808.0
50000.0,21.515625,3.1316152696187295E-5,1000.0,16.08497653016642,33.527558385546584,50000.0,2765096.0
