learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.203125,1.669985552628835E-7,1000.0,19.636968003636763,37.68377636254159,1000.0,3177984.0
2000.0,0.5,5.502916368034979E-7,1000.0,21.613498221641862,47.501354349757904,2000.0,4990680.0
3000.0,0.796875,1.050324644893408E-6,1000.0,17.566916649010036,32.78672092405539,3000.0,6510696.0
4000.0,1.109375,1.7069426313456562E-6,1000.0,19.831688585605598,57.554787871806134,4000.0,8122040.0
5000.0,1.5625,2.8194383291217187E-6,1000.0,17.954174713453963,30.196155229532888,5000.0,9490360.0
6000.0,1.9375,3.853230446111411E-6,1000.0,18.17013164900603,32.41640963608483,6000.0,1.0656248E7
7000.0,2.46875,5.455176546497063E-6,1000.0,20.824469690260486,33.015817154785296,7000.0,1.1656048E7
8000.0,3.046875,7.33756887105604E-6,1000.0,21.314679156001606,35.01705570212023,8000.0,1.2586088E7
9000.0,3.546875,9.073633829959564E-6,1000.0,23.745349060533762,40.77237424482754,9000.0,1.3421416E7
10000.0,3.984375,1.0678818216547369E-5,1000.0,27.471287046409486,45.44773703108245,10000.0,1.4182384E7
11000.0,4.640625,1.3217654971716303E-5,1000.0,25.197003735536846,36.924010237675006,11000.0,1.495436E7
12000.0,5.265625,1.5761343982174163E-5,1000.0,24.39906145549898,35.969079653718914,12000.0,1.5732088E7
13000.0,5.828125,1.8133407445727948E-5,1000.0,29.370153082594033,53.73121270522403,13000.0,1.6300696E7
14000.0,6.4375,2.0803814178280944E-5,1000.0,31.45566234344271,47.326725088571,14000.0,1.6939288E7
15000.0,7.0625,2.3620750645123832E-5,1000.0,31.353260349868226,47.3564490726658,15000.0,1.7422056E7
16000.0,7.828125,2.7175505561495404E-5,1000.0,27.581070602940617,40.7244842252666,16000.0,1.7947168E7
17000.0,8.5,3.042403818754893E-5,1000.0,30.713554273753946,49.288890947482386,17000.0,1.8689648E7
18000.0,9.125,3.3573117915592674E-5,1000.0,30.94707487980924,41.613305503300715,18000.0,1.947628E7
19000.0,9.75,3.6858595008703155E-5,1000.0,25.35708614470088,36.331342862649066,19000.0,2.0319864E7
20000.0,10.453125,4.0593857734671066E-5,1000.0,19.893447178793956,33.55447255502257,20000.0,2.0534824E7
21000.0,11.15625,4.4356182657389173E-5,1000.0,15.389923150742387,32.0000977640477,21000.0,2.06836E7
22000.0,11.828125,4.798582939353461E-5,1000.0,14.86667076266973,26.09557301875628,22000.0,2.0882296E7
23000.0,12.65625,5.2547850613740994E-5,1000.0,15.775184409987457,32.90592071186918,23000.0,2.129432E7
24000.0,13.359375,5.650237141202928E-5,1000.0,15.829425085295568,24.51553831457671,24000.0,2.1740208E7
25000.0,14.140625,6.101124677419041E-5,1000.0,15.102762377245174,26.084533073136143,25000.0,2.2309024E7
26000.0,14.921875,6.561350501013092E-5,1000.0,16.127801668326548,29.156349238000207,26000.0,2.2771064E7
27000.0,15.6875,7.022443790143977E-5,1000.0,16.76977779364571,27.842698586655917,27000.0,2.3279576E7
28000.0,16.484375,7.506190983500953E-5,1000.0,17.883859852765504,29.50581342281604,28000.0,2.3465544E7
29000.0,17.296875,8.007111651952275E-5,1000.0,19.149120999443273,35.221734397210405,29000.0,2.3831312E7
30000.0,18.109375,8.514918454845125E-5,1000.0,19.36800733831423,29.111464006517505,30000.0,2.415892E7
31000.0,18.859375,8.991558638323718E-5,1000.0,20.386724078961592,42.17811048179214,31000.0,2.4565848E7
32000.0,19.765625,9.576300020045082E-5,1000.0,19.071772871178286,28.87317992329441,32000.0,2.4941248E7
33000.0,20.59375,1.0118962521018044E-4,1000.0,20.4988307302499,33.67573294089638,33000.0,2.5330064E7
