learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,1.078125,1.2567471518802144E-6,1000.0,19.547019273523773,37.53474025899692,1000.0,4507352.0
2000.0,2.640625,3.2552198778527476E-6,1000.0,21.957244505379027,47.78470318405432,2000.0,4944024.0
3000.0,4.171875,5.519273529191397E-6,1000.0,17.65548486213163,32.13779051065192,3000.0,5715352.0
4000.0,5.53125,7.551950434895438E-6,1000.0,21.93582978700361,58.09222787475426,4000.0,5780048.0
5000.0,7.34375,1.1700846338903323E-5,1000.0,18.217164814743636,30.582355496489676,5000.0,8848240.0
6000.0,8.921875,1.5081096207723019E-5,1000.0,17.78759364027194,32.30024625549493,6000.0,8279608.0
7000.0,10.34375,1.7054808364870643E-5,1000.0,18.89049433483096,31.84604027741816,7000.0,5365680.0
8000.0,11.640625,1.777033586727662E-5,1000.0,22.051836600053687,35.257312278071915,8000.0,2132704.0
9000.0,12.671875,1.868753668127788E-5,1000.0,24.44019933635816,40.32071909111011,9000.0,3437976.0
10000.0,13.84375,1.958025545011171E-5,1000.0,26.621670538317886,43.910956384622715,10000.0,2944664.0
11000.0,14.9375,2.1069299255032092E-5,1000.0,23.888050083566842,36.530132452854524,11000.0,5262496.0
12000.0,15.984375,2.3564808264685172E-5,1000.0,23.035234502429972,35.240794773521706,12000.0,9214392.0
13000.0,17.203125,2.4878557305783033E-5,1000.0,29.098249590826068,53.537494189496634,13000.0,4166776.0
14000.0,18.328125,2.589012263342738E-5,1000.0,31.36236466760236,47.61223525953235,14000.0,3475712.0
15000.0,19.5,2.7413033919098477E-5,1000.0,31.942531873883492,47.420655905820944,15000.0,5023376.0
16000.0,20.65625,2.9793734752780032E-5,1000.0,27.05580703176515,40.060324492954,16000.0,7958944.0
17000.0,21.921875,3.137746916359497E-5,1000.0,30.395803993959767,49.250054706274874,17000.0,4837040.0
18000.0,23.03125,3.378425753908232E-5,1000.0,28.8963200863858,40.15911452699539,18000.0,8386136.0
19000.0,24.265625,3.7402405384151884E-5,1000.0,23.82240157754072,35.08038748075348,19000.0,1.1330304E7
20000.0,25.578125,4.179439148477589E-5,1000.0,17.361952479988325,32.17483188706003,20000.0,1.2934928E7
21000.0,27.046875,4.613745922041643E-5,1000.0,13.522470763259934,31.393973808453104,21000.0,1.1430128E7
22000.0,28.4375,4.995367266625787E-5,1000.0,13.19014600670864,24.957054014004463,22000.0,1.0607792E7
23000.0,29.84375,5.1953885801291714E-5,1000.0,15.512450962185067,32.924011458182505,23000.0,5498144.0
24000.0,30.953125,5.3223786170646136E-5,1000.0,15.363390490657114,24.25822910534418,24000.0,4424800.0
25000.0,32.234375,5.510833415125186E-5,1000.0,15.302357661517973,25.74707491284098,25000.0,5685592.0
26000.0,33.453125,5.669557208117719E-5,1000.0,16.79654292265667,29.073529615209015,26000.0,5034192.0
27000.0,34.640625,5.818694458058518E-5,1000.0,17.00706055188975,27.47503219145038,27000.0,4854616.0
28000.0,35.890625,6.021365513637041E-5,1000.0,17.865353647690686,29.703207973467983,28000.0,6267352.0
29000.0,37.25,6.196819944307208E-5,1000.0,18.29296938011507,34.60868550628259,29000.0,4989160.0
30000.0,38.453125,6.401593098416925E-5,1000.0,18.846216807912736,29.21616255040856,30000.0,6579072.0
31000.0,39.703125,6.55097284147309E-5,1000.0,20.313599676557356,42.25356586255021,31000.0,4619384.0
32000.0,40.75,6.737019721185789E-5,1000.0,18.76840484514521,29.315149498932982,32000.0,6869576.0
33000.0,41.984375,6.964424909609888E-5,1000.0,20.45269332365493,34.021195931162865,33000.0,7121240.0
34000.0,43.25,7.229978532349277E-5,1000.0,19.608410151213004,31.509920943497345,34000.0,8110536.0
35000.0,44.515625,7.535621488285768E-5,1000.0,20.056953859400412,32.38251788421905,35000.0,9334944.0
36000.0,45.796875,7.756406657992758E-5,1000.0,21.736052393847,32.723841451737016,36000.0,6660984.0
37000.0,47.0625,8.015906713100978E-5,1000.0,20.905619082454425,30.898625537637784,37000.0,7925648.0
38000.0,48.296875,8.268745169819643E-5,1000.0,20.37360784713823,29.123660681106635,38000.0,7917688.0
39000.0,49.5,8.581651061023067E-5,1000.0,19.65737200557956,29.86397958751344,39000.0,1.0053224E7
40000.0,50.8125,8.824617288256477E-5,1000.0,19.0328929200802,28.53665392518501,40000.0,7155648.0
41000.0,52.28125,8.997606084449216E-5,1000.0,14.785379771800407,28.501065047406655,41000.0,4552736.0
42000.0,53.421875,9.213375558222954E-5,1000.0,11.186347776925887,20.341661119273233,42000.0,7312224.0
43000.0,54.765625,9.497947787167504E-5,1000.0,11.815742594934038,22.60741050963662,43000.0,8186088.0
44000.0,56.15625,9.801965514068595E-5,1000.0,11.974584235158618,20.566753105248164,44000.0,8450672.0
45000.0,57.5625,9.999345072881422E-5,1000.0,13.573151758017515,24.026270333821472,45000.0,5425528.0
46000.0,58.65625,1.0241407160517863E-4,1000.0,12.394071607477887,19.166941592772684,46000.0,8554824.0
47000.0,60.21875,1.0540493320958274E-4,1000.0,13.17425787032803,21.515258678476396,47000.0,7399096.0
48000.0,61.546875,1.0674283031322475E-4,1000.0,14.236577080357414,27.994764761143347,48000.0,3893912.0
49000.0,62.75,1.0763228369695651E-4,1000.0,17.314133793915122,34.50857870712779,49000.0,2857688.0
50000.0,63.90625,1.0893625288089323E-4,1000.0,16.129858471179766,33.47435264544641,50000.0,4359312.0
