learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.71875,7.179023749712442E-7,1000.0,20.19450053982023,38.42738807980983,1000.0,3862368.0
2000.0,1.3125,1.3202371903591688E-6,1000.0,22.380086106325614,48.50725836378423,2000.0,3921360.0
3000.0,1.6875,1.9405011294616597E-6,1000.0,18.09773527442125,32.760545584095624,3000.0,6393632.0
4000.0,2.328125,2.807183611568892E-6,1000.0,21.988969700428484,58.46775481949535,4000.0,5229480.0
5000.0,2.84375,3.824868504630609E-6,1000.0,18.131195693183177,30.559241080463753,5000.0,7629248.0
6000.0,3.578125,4.955786118646049E-6,1000.0,17.77605656150215,32.59500415950301,6000.0,5952720.0
7000.0,4.203125,5.4572994445657565E-6,1000.0,19.1685727358619,32.27244514475217,7000.0,3101736.0
8000.0,4.640625,5.718532451687174E-6,1000.0,22.04013522355529,35.206993945594725,8000.0,2308088.0
9000.0,5.046875,6.095937213912192E-6,1000.0,24.21786976208413,40.57602466493623,9000.0,3591008.0
10000.0,5.578125,6.390159736232211E-6,1000.0,26.833754458102607,44.4586175823338,10000.0,2140816.0
11000.0,6.046875,6.957440928090364E-6,1000.0,23.774443166649394,36.633935117976435,11000.0,4677992.0
12000.0,6.46875,7.779572915751488E-6,1000.0,22.808048684306147,35.05852173596172,12000.0,7532864.0
13000.0,7.078125,8.425893999325733E-6,1000.0,29.06864263168968,53.51526617999099,13000.0,4099832.0
14000.0,7.515625,8.799773446905118E-6,1000.0,31.802759126590637,47.70078276003018,14000.0,3303360.0
15000.0,7.9375,9.397100172160816E-6,1000.0,31.677705535001085,46.474362024513916,15000.0,5473064.0
16000.0,8.40625,1.045614005609726E-5,1000.0,27.564487625324364,40.43575701475724,16000.0,8733200.0
17000.0,9.140625,1.2368921177565225E-5,1000.0,30.21734484827338,48.73425190384679,17000.0,1.0068152E7
18000.0,9.953125,1.5172249340038333E-5,1000.0,28.66895236488804,39.831028632381816,18000.0,1.333684E7
19000.0,10.65625,1.8114552011765125E-5,1000.0,23.48749479123283,34.30007027316027,19000.0,1.617548E7
20000.0,11.53125,2.1888943447265774E-5,1000.0,16.98294750808528,32.08596282527389,20000.0,1.6674056E7
21000.0,12.421875,2.5376404519192874E-5,1000.0,13.164576421584712,31.17623754157106,21000.0,1.51362E7
22000.0,13.296875,2.7944059563904172E-5,1000.0,13.123256762887564,25.01883343995685,22000.0,1.134308E7
23000.0,14.046875,2.9555859186479613E-5,1000.0,15.419191291991378,33.179657933615395,23000.0,8307152.0
24000.0,14.578125,3.0287208889300622E-5,1000.0,14.843490388980245,23.859661820620296,24000.0,5321432.0
25000.0,15.0625,3.1070250552147625E-5,1000.0,15.177600508592782,25.52661954038519,25000.0,6248928.0
26000.0,15.640625,3.161796097022792E-5,1000.0,16.698649206333325,29.2182834144415,26000.0,3662112.0
27000.0,16.140625,3.217857473322915E-5,1000.0,16.924959635036277,27.65102836565781,27000.0,4334072.0
28000.0,16.5625,3.281118403214755E-5,1000.0,17.469776956485244,29.270975325503816,28000.0,5796344.0
29000.0,17.109375,3.3520027710538777E-5,1000.0,18.361694802985323,34.971009133797544,29000.0,5010312.0
30000.0,17.59375,3.418594233355382E-5,1000.0,19.171796339765326,29.34048399140522,30000.0,5314216.0
31000.0,18.078125,3.47887698121162E-5,1000.0,20.29081487311101,42.02346096709512,31000.0,4810760.0
32000.0,18.578125,3.586773702409119E-5,1000.0,18.548405850780952,29.222843815862173,32000.0,8341432.0
33000.0,19.140625,3.6706195096485324E-5,1000.0,21.141750021890672,34.65197999620254,33000.0,5761840.0
34000.0,19.609375,3.75529652228579E-5,1000.0,19.625563093794632,31.2881784360528,34000.0,6982752.0
35000.0,20.046875,3.8738994820353896E-5,1000.0,19.89628437952224,32.35329294904337,35000.0,1.0479E7
36000.0,20.703125,4.049572705601654E-5,1000.0,21.293449203080677,32.40262263702765,36000.0,1.0347576E7
37000.0,21.34375,4.2059937226844756E-5,1000.0,20.261139540118666,30.529539980080663,37000.0,9438296.0
38000.0,21.84375,4.35422736983229E-5,1000.0,20.378495354821965,29.432705751994956,38000.0,1.1459856E7
39000.0,22.453125,4.5857503298773546E-5,1000.0,19.60588690743012,29.78874047109598,39000.0,1.468628E7
40000.0,23.25,4.910198822876233E-5,1000.0,18.860249300496015,28.427869964655006,40000.0,1.5738304E7
41000.0,24.1875,5.031691987015722E-5,1000.0,15.014983968192327,28.666244099313964,41000.0,5009368.0
42000.0,24.625,5.1080085945108715E-5,1000.0,11.080206952727602,20.510474101827054,42000.0,6742848.0
43000.0,25.125,5.240196071099492E-5,1000.0,12.087911463649636,23.045941896729655,43000.0,1.0219336E7
44000.0,25.734375,5.3408989139522135E-5,1000.0,12.115480443542761,20.67921429828459,44000.0,6387920.0
45000.0,26.109375,5.423658643849196E-5,1000.0,13.724443597287674,23.973182844247486,45000.0,8530808.0
46000.0,26.625,5.5656318630402306E-5,1000.0,12.53578090122169,19.19831670886609,46000.0,1.0643264E7
47000.0,27.25,5.74437685362581E-5,1000.0,13.136428877322736,21.629294402436557,47000.0,1.1054936E7
48000.0,27.9375,5.885141785256567E-5,1000.0,14.499381830730199,28.157455498525092,48000.0,7914512.0
49000.0,28.546875,5.9455434384290154E-5,1000.0,17.349503052702325,35.051294990270186,49000.0,3831480.0
50000.0,29.015625,5.98869966537071E-5,1000.0,16.177603361112354,33.28472101431317,50000.0,3558808.0
