learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.453125,3.2959851927848327E-7,1000.0,19.80142345030511,37.76719245223774,1000.0,2813160.0
2000.0,0.828125,6.003339917192029E-7,1000.0,21.988035820880913,48.27398394162629,2000.0,2790720.0
3000.0,1.09375,9.011566807101999E-7,1000.0,17.99202937353284,32.390962409704805,3000.0,4377680.0
4000.0,1.40625,1.2602481486586234E-6,1000.0,21.31254056507138,57.36589261141075,4000.0,4441784.0
5000.0,1.75,1.752921994516833E-6,1000.0,18.004181013964907,30.18817143135257,5000.0,5540120.0
6000.0,2.046875,2.1996263078310426E-6,1000.0,18.165911391477128,32.68333577192552,6000.0,5816328.0
7000.0,2.40625,2.8341444946515068E-6,1000.0,18.761895812579098,31.754410188909084,7000.0,6824936.0
8000.0,2.96875,3.1993649705934033E-6,1000.0,21.80396823885135,34.98647278092054,8000.0,2509776.0
9000.0,3.15625,3.388454497326166E-6,1000.0,24.514367224915226,40.47586411485662,9000.0,3898240.0
10000.0,3.46875,3.6363874419799287E-6,1000.0,26.055393514499755,43.65522282526365,10000.0,3066808.0
11000.0,3.703125,3.912196682196939E-6,1000.0,23.625485359069614,36.06711072208396,11000.0,4548832.0
12000.0,3.984375,4.373798567232572E-6,1000.0,23.091809047055325,35.37957944797885,12000.0,6344208.0
13000.0,4.4375,4.895222987720949E-6,1000.0,29.60543917465938,53.392924980986145,13000.0,4448112.0
14000.0,4.921875,5.3898223106645874E-6,1000.0,31.647258495960877,47.72266797929731,14000.0,3947064.0
15000.0,5.21875,5.764635861851275E-6,1000.0,31.703565424597958,46.93513911729397,15000.0,4880272.0
16000.0,5.484375,6.25796835973031E-6,1000.0,27.155372755383443,40.07588257522965,16000.0,7179152.0
17000.0,5.90625,6.9963991861893905E-6,1000.0,30.122081748229114,48.31580536358644,17000.0,6765944.0
18000.0,6.234375,7.7462890638142E-6,1000.0,28.511964381603825,39.80873668722086,18000.0,8834064.0
19000.0,6.625,8.83972886691077E-6,1000.0,23.81145969561993,34.81512756444433,19000.0,1.0820248E7
20000.0,7.046875,1.0184100570364132E-5,1000.0,17.36664796909661,32.272523415157856,20000.0,1.2317936E7
21000.0,7.921875,1.3108259429120356E-5,1000.0,13.255713319809884,31.367280934399574,21000.0,1.2918E7
22000.0,8.671875,1.535032694745395E-5,1000.0,13.454217563995842,25.300843259266642,22000.0,1.1555528E7
23000.0,9.21875,1.6398237688311688E-5,1000.0,15.36206591439542,32.924820590405595,23000.0,7406936.0
24000.0,9.5625,1.725465204799548E-5,1000.0,14.78752913878338,23.826679237193716,24000.0,9630384.0
25000.0,10.0,1.8411620241952027E-5,1000.0,15.003273781243559,25.714384560973244,25000.0,1.0222232E7
26000.0,10.546875,1.912960899062455E-5,1000.0,16.418952811778905,28.69608230020085,26000.0,5074952.0
27000.0,10.9375,1.9595516043611703E-5,1000.0,16.874356006814992,27.29627780576625,27000.0,4610432.0
28000.0,11.296875,2.009059697027422E-5,1000.0,17.644190866206497,29.380577727340906,28000.0,5325136.0
29000.0,11.6875,2.0723863174983616E-5,1000.0,18.457613079761774,34.81873027402667,29000.0,6266552.0
30000.0,12.109375,2.146502597800767E-5,1000.0,18.786579407508235,29.119452505147105,30000.0,6790976.0
31000.0,12.59375,2.2205308487173176E-5,1000.0,20.023476690346293,42.00889729888018,31000.0,5907696.0
32000.0,12.984375,2.2954897851579726E-5,1000.0,18.4621910539486,29.137664487613584,32000.0,7417640.0
33000.0,13.390625,2.359280401530366E-5,1000.0,20.666047894806972,34.254162810201144,33000.0,6069680.0
34000.0,13.8125,2.4307668597127006E-5,1000.0,19.52515658993652,31.141107994791614,34000.0,6550016.0
35000.0,14.296875,2.5165113232408967E-5,1000.0,20.280404601513847,32.646682607892814,35000.0,6842688.0
36000.0,14.765625,2.5979857503746954E-5,1000.0,21.54731962276537,32.79443626070399,36000.0,6718656.0
37000.0,15.1875,2.669297847508764E-5,1000.0,20.35333988998811,30.605777852566337,37000.0,6534040.0
38000.0,15.625,2.7652942840682557E-5,1000.0,20.378862805210872,29.44647106705812,38000.0,8481632.0
39000.0,16.109375,2.8748468968034213E-5,1000.0,19.507892768900867,29.753170357151937,39000.0,8742656.0
40000.0,16.546875,2.9940932711017224E-5,1000.0,18.69631182764661,28.28048665966089,40000.0,1.0535848E7
41000.0,17.125,3.1055851561379523E-5,1000.0,14.902379284695476,28.718278871199917,41000.0,7454592.0
42000.0,17.546875,3.1875000115380526E-5,1000.0,11.113980833274436,20.2010143366794,42000.0,7505528.0
43000.0,17.953125,3.277400463250363E-5,1000.0,11.75487079268214,22.652396310484527,43000.0,8554032.0
44000.0,18.390625,3.391916482036727E-5,1000.0,11.83913466058225,20.461672830886044,44000.0,1.0117904E7
45000.0,18.96875,3.549036902970532E-5,1000.0,13.92271246631058,24.353025626201582,45000.0,1.0505416E7
46000.0,19.5,3.711800113604923E-5,1000.0,12.347917901983633,19.04318593439668,46000.0,1.1842944E7
47000.0,20.09375,3.886664975046492E-5,1000.0,13.292915634660552,21.727351370434178,47000.0,1.1384168E7
48000.0,20.671875,3.996306845995909E-5,1000.0,14.271232286857831,27.88694684464618,48000.0,7330896.0
49000.0,21.125,4.0496556612197326E-5,1000.0,17.27555877134931,34.401135623619645,49000.0,4551024.0
50000.0,21.484375,4.0981267973418466E-5,1000.0,16.046957070043387,33.107886813041716,50000.0,5213600.0
