learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.5625,4.6659493818879127E-7,1000.0,20.239467967305735,38.302750826410396,1000.0,3207872.0
2000.0,0.921875,8.222326545769142E-7,1000.0,22.093136373644995,48.15757329750371,2000.0,3825272.0
3000.0,1.21875,1.2705117114819585E-6,1000.0,17.90172736715812,32.4834502153065,3000.0,5836832.0
4000.0,1.59375,1.9134533552763363E-6,1000.0,20.902878201017607,57.43450919278176,4000.0,6627392.0
5000.0,1.90625,2.6250038515879878E-6,1000.0,18.277529984528837,30.37531352876798,5000.0,8801528.0
6000.0,2.5,3.887026590139916E-6,1000.0,17.707686281738372,32.339468948284036,6000.0,8216104.0
7000.0,2.859375,4.575001366902143E-6,1000.0,18.820933799749124,31.563616013462052,7000.0,7399920.0
8000.0,3.34375,4.9101415465378925E-6,1000.0,21.40995527397066,34.9530187460292,8000.0,2674528.0
9000.0,3.5625,5.151299313486864E-6,1000.0,24.230622271971086,40.088089955066685,9000.0,4261432.0
10000.0,3.84375,5.39600490204369E-6,1000.0,26.078434578991075,43.822202170785374,10000.0,3363208.0
11000.0,4.203125,5.83096510834164E-6,1000.0,23.592799936992524,36.497878736722754,11000.0,4678472.0
12000.0,4.625,6.548077087952858E-6,1000.0,23.102060985135843,35.455494259047335,12000.0,6570608.0
13000.0,5.109375,7.047270709234807E-6,1000.0,29.699082869185126,53.761975442496464,13000.0,3983728.0
14000.0,5.359375,7.3319185887359905E-6,1000.0,31.634745864057198,47.46078264942699,14000.0,4401192.0
15000.0,5.65625,7.783673386762126E-6,1000.0,30.866980019717236,46.1457116759358,15000.0,5882088.0
16000.0,6.0,8.459395968303498E-6,1000.0,27.162338541181118,40.00554367267026,16000.0,7598504.0
17000.0,6.4375,9.177162654749635E-6,1000.0,30.15651489986071,48.45869967439179,17000.0,6341728.0
18000.0,6.8125,9.992402079256458E-6,1000.0,28.200471420411972,39.6159184970559,18000.0,8403424.0
19000.0,7.21875,1.1089706450649019E-5,1000.0,23.483652763951206,34.63133683594328,19000.0,1.0440856E7
20000.0,7.671875,1.237989555294108E-5,1000.0,17.34280639871853,32.125018712017436,20000.0,1.1006208E7
21000.0,8.40625,1.3942242528881048E-5,1000.0,13.314134063583314,31.288879668167812,21000.0,8223600.0
22000.0,9.015625,1.5509995444315586E-5,1000.0,13.088874519880246,25.086848943540968,22000.0,9944784.0
23000.0,9.53125,1.671197335882526E-5,1000.0,15.290722143009384,32.78456341696105,23000.0,9010832.0
24000.0,10.03125,1.8030687836774932E-5,1000.0,14.843250263374786,23.8218961134658,24000.0,1.0194904E7
25000.0,10.578125,1.9362265528697102E-5,1000.0,15.016680460164077,25.61237006922207,25000.0,9411976.0
26000.0,11.109375,1.9989485865355362E-5,1000.0,16.455689672981677,28.886112018906548,26000.0,4563768.0
27000.0,11.453125,2.036356910442312E-5,1000.0,17.01935743765423,27.466353277558195,27000.0,4206568.0
28000.0,11.796875,2.0857953220709326E-5,1000.0,17.58865780750499,29.28964677171326,28000.0,5559352.0
29000.0,12.171875,2.142536382760024E-5,1000.0,18.318119801210248,34.89421986533962,29000.0,5848824.0
30000.0,12.578125,2.2115529346693714E-5,1000.0,18.591471530822073,29.023930665960986,30000.0,6566928.0
31000.0,13.046875,2.2790019348677656E-5,1000.0,20.01120623234643,41.90951290024504,31000.0,5562072.0
32000.0,13.40625,2.3439600999053147E-5,1000.0,18.473639165428633,29.088694343073392,32000.0,6986960.0
33000.0,14.0,2.4419562153828636E-5,1000.0,20.75548930307881,34.27607853476467,33000.0,6379808.0
34000.0,14.53125,2.5243385656115904E-5,1000.0,19.516580911173612,31.29878143473432,34000.0,5994288.0
35000.0,14.890625,2.5850689497828063E-5,1000.0,20.280169282905437,32.75862906824085,35000.0,6532216.0
36000.0,15.3125,2.6639987126044506E-5,1000.0,21.57496280745479,32.73183027884176,36000.0,7232016.0
37000.0,15.78125,2.7505383703909393E-5,1000.0,20.302028067252817,30.56437961602506,37000.0,7136352.0
38000.0,16.25,2.8621580600479816E-5,1000.0,20.35053928842291,29.423927434265522,38000.0,9204536.0
39000.0,16.796875,3.0007669928535395E-5,1000.0,19.48546471067512,29.597110639061718,39000.0,9797280.0
40000.0,17.359375,3.1710088013723066E-5,1000.0,18.636305340777806,28.086539619665178,40000.0,1.1698928E7
41000.0,18.0,3.295933400901654E-5,1000.0,14.738591965605684,28.645122524243238,41000.0,7537832.0
42000.0,18.453125,3.382321873990196E-5,1000.0,11.071752834713577,20.133209032712674,42000.0,7369536.0
43000.0,18.9375,3.4756774548441156E-5,1000.0,11.868501018128804,22.79228928175637,43000.0,7450080.0
44000.0,19.40625,3.582106379326431E-5,1000.0,11.834587507957771,20.394758306307015,44000.0,8776488.0
45000.0,19.96875,3.7059857859276215E-5,1000.0,13.866396390256254,24.39617663704712,45000.0,8512928.0
46000.0,20.46875,3.840361146204586E-5,1000.0,12.328020443011896,19.155920947385628,46000.0,1.038848E7
47000.0,21.0625,3.984449386027536E-5,1000.0,13.319825901551464,21.67463996785889,47000.0,9380528.0
48000.0,21.59375,4.053074517287312E-5,1000.0,14.38288578729356,27.955972358284665,48000.0,4993288.0
49000.0,21.984375,4.09989756816584E-5,1000.0,17.41441150143443,34.570109527518014,49000.0,4633424.0
50000.0,22.359375,4.150660702079119E-5,1000.0,15.941777954560987,33.04381907713369,50000.0,5232624.0
