learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.5625,1.4313263818621635E-7,1000.0,19.622156455805985,37.76647686816351,1000.0,983600.0
2000.0,1.09375,2.7831566209594406E-7,1000.0,21.797003967222135,47.35824061414184,2000.0,983616.0
3000.0,1.640625,4.174746572971344E-7,1000.0,18.628652722037906,32.27814019766255,3000.0,983616.0
4000.0,2.0,5.089219970007737E-7,1000.0,21.27476294873839,57.249394489722874,4000.0,983616.0
5000.0,2.65625,6.760228037213286E-7,1000.0,18.226208158495623,30.118213287182126,5000.0,984264.0
6000.0,3.15625,8.032538850481312E-7,1000.0,17.92135879987069,32.48893051170686,6000.0,983616.0
7000.0,3.578125,9.106740859958033E-7,1000.0,19.223196797071214,32.470426511903085,7000.0,984248.0
8000.0,4.0625,1.0340103957181176E-6,1000.0,20.90852242469736,35.29542017629363,8000.0,984264.0
9000.0,4.40625,1.1214817641302943E-6,1000.0,22.848329075285204,41.15776347837776,9000.0,983616.0
10000.0,4.78125,1.2169679393991827E-6,1000.0,25.51598903853836,46.07852759128079,10000.0,984264.0
11000.0,5.1875,1.32034319297721E-6,1000.0,22.70934268508492,37.51328321137992,11000.0,983616.0
12000.0,5.59375,1.423784867963857E-6,1000.0,23.027679345577848,36.979636851254895,12000.0,984248.0
13000.0,6.328125,1.6107786278654305E-6,1000.0,28.40933680631117,55.03440290314787,13000.0,984264.0
14000.0,6.84375,1.7419856804836956E-6,1000.0,30.201761864996467,49.402568029369306,14000.0,983616.0
15000.0,7.265625,1.849407627661195E-6,1000.0,30.129261602494864,49.10831247443406,15000.0,984264.0
16000.0,7.671875,1.9527828812392222E-6,1000.0,26.487792959973994,41.70524450242989,16000.0,983616.0
17000.0,8.09375,2.060204828416722E-6,1000.0,29.376021378200928,50.3820039377389,17000.0,984264.0
18000.0,8.515625,2.1676267755942216E-6,1000.0,28.29988564082606,42.02115671778158,18000.0,984264.0
19000.0,8.890625,2.2630485343850327E-6,1000.0,23.16109131069221,35.58699598486236,19000.0,983600.0
20000.0,9.25,2.3545561190177174E-6,1000.0,22.161337656072053,33.51060280184599,20000.0,984264.0
21000.0,9.625,2.4499794300128194E-6,1000.0,19.944832551764765,33.40557361725491,21000.0,983616.0
22000.0,10.03125,2.5534227865541152E-6,1000.0,19.55006036710578,27.931876262566632,22000.0,984264.0
23000.0,10.4375,2.656866143095411E-6,1000.0,19.92350131816197,33.942116424582586,23000.0,984264.0
24000.0,10.828125,2.756263808502506E-6,1000.0,19.56563777352937,26.23015577173797,24000.0,983600.0
25000.0,11.203125,2.851748431567103E-6,1000.0,19.09480142270954,27.30413067075549,25000.0,984248.0
26000.0,11.5625,2.9431957712707427E-6,1000.0,19.145926095370044,29.644561074128678,26000.0,983616.0
27000.0,11.921875,3.0347018683743152E-6,1000.0,19.478743600728464,28.033510220092012,27000.0,984248.0
28000.0,12.296875,3.1301236271651263E-6,1000.0,19.215608985414864,29.384207856233427,28000.0,983600.0
29000.0,12.640625,3.217651198307674E-6,1000.0,19.50621878463688,34.292841372885775,29000.0,984248.0
30000.0,13.0,3.3090985380113136E-6,1000.0,19.530377239183892,28.765560910885085,30000.0,983616.0
31000.0,13.390625,3.4085633039164056E-6,1000.0,20.826431855190346,42.10176162311512,31000.0,984264.0
32000.0,13.78125,3.50796258620297E-6,1000.0,19.54180618591907,28.895043287804715,32000.0,983616.0
33000.0,14.171875,3.6074257352285924E-6,1000.0,20.804754463043423,33.67432017362254,33000.0,984248.0
34000.0,14.546875,3.7028490462236944E-6,1000.0,20.428974859341906,31.451727955579273,34000.0,983616.0
35000.0,14.9375,3.802246711630789E-6,1000.0,20.742081760505847,32.8590852529397,35000.0,983600.0
36000.0,15.328125,3.901645993917354E-6,1000.0,22.094842390834852,32.64111469584266,36000.0,983616.0
37000.0,15.71875,4.001045276203919E-6,1000.0,20.894754558587984,30.888717041025664,37000.0,983616.0
38000.0,16.125,4.104488632745214E-6,1000.0,20.73964517403004,29.052319937334442,38000.0,984264.0
39000.0,16.515625,4.203887915031779E-6,1000.0,20.01737430374582,29.615874804409824,39000.0,983616.0
40000.0,16.890625,4.299311226026881E-6,1000.0,19.08677471822975,28.4491228008291,40000.0,983616.0
41000.0,17.265625,4.394795849091478E-6,1000.0,19.758661608404317,30.37133927222466,41000.0,984248.0
42000.0,17.65625,4.494193514498573E-6,1000.0,17.596590127638382,23.680104607021153,42000.0,983600.0
43000.0,18.03125,4.589616825493675E-6,1000.0,18.248376170032657,25.22834719575221,43000.0,983616.0
44000.0,18.4375,4.692992079071702E-6,1000.0,17.22408869280095,22.941970274334157,44000.0,983616.0
45000.0,18.8125,4.788415390066804E-6,1000.0,18.342431067562195,25.686494783623946,45000.0,983616.0
46000.0,19.15625,4.875885335625047E-6,1000.0,17.28309944689981,21.766965166650344,46000.0,983600.0
47000.0,19.546875,4.975284617911612E-6,1000.0,17.348498835541612,23.211827297933375,47000.0,983616.0
48000.0,19.953125,5.07865818993499E-6,1000.0,17.43954686144247,28.819814990172393,48000.0,983600.0
49000.0,20.3125,5.170105529638629E-6,1000.0,18.81150987576126,34.07334264768471,49000.0,983616.0
50000.0,20.671875,5.261613114271314E-6,1000.0,18.152928724750115,33.04764151889047,50000.0,984264.0
