learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.5625,1.4442484825849535E-7,1000.0,19.77598976478719,37.932844828390756,1000.0,992480.0
2000.0,1.015625,2.6132694781861374E-7,1000.0,21.799456623395145,47.39967990854117,2000.0,997256.0
3000.0,1.59375,4.089475906867948E-7,1000.0,18.641292797369534,32.30744239686243,3000.0,987024.0
4000.0,2.0,5.126969901741379E-7,1000.0,21.20174154119102,57.242861927672394,4000.0,987176.0
5000.0,2.625,6.724162247135408E-7,1000.0,18.131754997075745,30.121370421265407,5000.0,987824.0
6000.0,3.109375,7.966286890829603E-7,1000.0,18.05820503520469,32.54961502958433,6000.0,991256.0
7000.0,3.546875,9.089618429748548E-7,1000.0,19.249209852277644,32.461248438443675,7000.0,992504.0
8000.0,3.90625,1.001333682021747E-6,1000.0,20.93303076421793,35.285204441566435,8000.0,993560.0
9000.0,4.421875,1.134161720983684E-6,1000.0,23.026931660228634,41.197887153039915,9000.0,995768.0
10000.0,4.859375,1.2494421227731638E-6,1000.0,27.87275928692321,44.945108906321806,10000.0,1018544.0
11000.0,5.265625,1.3541197404265403E-6,1000.0,24.71523952572598,37.486243740244156,11000.0,996008.0
12000.0,5.671875,1.4600021919856467E-6,1000.0,23.47797910263695,36.44023641855358,12000.0,1007472.0
13000.0,6.125,1.5809592959057125E-6,1000.0,29.41221136692218,53.80734637748488,13000.0,1031848.0
14000.0,6.5,1.6792549609413575E-6,1000.0,32.07887866270742,48.26704790291702,14000.0,1013224.0
15000.0,6.90625,1.784242825427403E-6,1000.0,33.67661001850882,48.19473930155349,15000.0,998960.0
16000.0,7.3125,1.8884193397954933E-6,1000.0,28.317884136736307,40.936338701830145,16000.0,991240.0
17000.0,7.734375,1.9967327372998826E-6,1000.0,30.261625266119594,48.88559793048396,17000.0,992432.0
18000.0,8.09375,2.0892503541997737E-6,1000.0,29.892931120808313,40.85420823492545,18000.0,995128.0
19000.0,8.4375,2.177182727286385E-6,1000.0,25.087262440015376,35.47951305808958,19000.0,988800.0
20000.0,8.890625,2.2931676681360436E-6,1000.0,25.522105696212318,35.33656425798115,20000.0,989432.0
21000.0,9.3125,2.403274443673177E-6,1000.0,19.999321013189913,34.084267229470086,21000.0,1008864.0
22000.0,9.78125,2.5258277633434368E-6,1000.0,20.172413679279504,28.517551447875483,22000.0,1010616.0
23000.0,10.203125,2.6382657557001542E-6,1000.0,19.468288501812765,33.862882945496565,23000.0,1030224.0
24000.0,10.609375,2.75008829905548E-6,1000.0,18.41406952486102,25.626887167948887,24000.0,1063992.0
25000.0,11.0625,2.870977882088886E-6,1000.0,17.65472265728581,26.67248525250296,25000.0,1031272.0
26000.0,11.484375,2.9837441656531555E-6,1000.0,18.04771641105203,29.36558071970507,26000.0,1033232.0
27000.0,11.859375,3.084889677767124E-6,1000.0,18.316325277468476,27.860620015786075,27000.0,1041952.0
28000.0,12.1875,3.1738850197547836E-6,1000.0,18.223808930182177,29.043482907069123,28000.0,1048408.0
29000.0,12.53125,3.2685211691487993E-6,1000.0,18.95982949922878,34.33727580775493,29000.0,1064184.0
30000.0,12.875,3.3639306396556395E-6,1000.0,18.9797406087078,28.780141779992164,30000.0,1072880.0
31000.0,13.203125,3.455839275072018E-6,1000.0,20.02625663517779,41.91648376895771,31000.0,1082728.0
32000.0,13.640625,3.5759584150380557E-6,1000.0,18.736901553117658,28.873314290397914,32000.0,1061296.0
33000.0,14.046875,3.6883930442854762E-6,1000.0,19.970954536702404,33.520402783747116,33000.0,1069816.0
34000.0,14.453125,3.8013682933524252E-6,1000.0,19.744888578123486,31.37870868742678,34000.0,1074960.0
35000.0,14.875,3.920006274711341E-6,1000.0,20.099285946923715,32.60515788756357,35000.0,1087032.0
36000.0,15.296875,4.037345934193582E-6,1000.0,21.58030710905115,32.70521568515655,36000.0,1075136.0
37000.0,15.609375,4.1249859754720506E-6,1000.0,20.240540331156208,30.76929248531752,37000.0,1084064.0
38000.0,15.984375,4.230774906722623E-6,1000.0,20.290531289917336,28.90468349659894,38000.0,1090464.0
39000.0,16.375,4.341632205372057E-6,1000.0,19.33446132429462,29.578971727012068,39000.0,1097000.0
40000.0,16.765625,4.453579280784148E-6,1000.0,18.53270646238502,28.366598290483964,40000.0,1107784.0
41000.0,17.140625,4.560949908207275E-6,1000.0,18.17755236804154,29.666507602836887,41000.0,1106768.0
42000.0,17.578125,4.678054796790498E-6,1000.0,16.08702184885699,22.918386752264073,42000.0,1034664.0
43000.0,18.0,4.789863273294436E-6,1000.0,16.5287532178787,24.48833435327052,43000.0,1024456.0
44000.0,18.328125,4.877722498753833E-6,1000.0,15.50904024172562,22.0676958114983,44000.0,1035024.0
45000.0,18.75,4.992118014747071E-6,1000.0,16.666560122494083,24.755619287644723,45000.0,1048160.0
46000.0,19.09375,5.086660255781479E-6,1000.0,14.716968194605233,20.327268136228323,46000.0,1063128.0
47000.0,19.4375,5.177259768566324E-6,1000.0,15.551676729234195,22.330427993412396,47000.0,1018792.0
48000.0,19.828125,5.281121638189587E-6,1000.0,16.17731350007484,28.252456458056226,48000.0,1027776.0
49000.0,20.234375,5.389708870400985E-6,1000.0,17.416954720228766,33.909145405772335,49000.0,1033208.0
50000.0,20.65625,5.501833414503684E-6,1000.0,16.67846633001086,33.059087842622894,50000.0,1027352.0
