learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,1.515625,3.59072744484163E-7,1000.0,19.77598976478719,37.932844828390756,1000.0,915784.0
2000.0,3.09375,7.348959398869838E-7,1000.0,21.799456623395145,47.39967990854117,2000.0,920544.0
3000.0,4.5625,1.0809878262484237E-6,1000.0,18.641292797369534,32.30744239686243,3000.0,910848.0
4000.0,5.828125,1.379582649355547E-6,1000.0,21.20174154119102,57.242861927672394,4000.0,911968.0
5000.0,7.109375,1.6820494460666343E-6,1000.0,18.131754997075745,30.121370421265407,5000.0,912528.0
6000.0,8.328125,1.97064710341187E-6,1000.0,18.113530507444292,32.58008284827044,6000.0,915336.0
7000.0,9.578125,2.268036510536654E-6,1000.0,19.216466372043364,32.46127961023961,7000.0,919640.0
8000.0,10.75,2.547341120791518E-6,1000.0,20.918227381162502,35.282807102847165,8000.0,921296.0
9000.0,11.828125,2.802172708066387E-6,1000.0,23.143439115702396,41.20369289642338,9000.0,913664.0
10000.0,12.953125,3.0754227514585687E-6,1000.0,27.260568782674927,45.15067877131575,10000.0,938880.0
11000.0,14.078125,3.3488474178334906E-6,1000.0,25.757033993299686,37.97533087095697,11000.0,939480.0
12000.0,15.1875,3.619592656226208E-6,1000.0,25.152425057978814,36.84617342120885,12000.0,943376.0
13000.0,16.34375,3.918255905672494E-6,1000.0,31.193673458702815,53.82795125039973,13000.0,998464.0
14000.0,17.421875,4.171873669191781E-6,1000.0,33.23212955097436,47.60256595535974,14000.0,909312.0
15000.0,18.53125,4.432842672233366E-6,1000.0,32.7703880792076,47.442513903174195,15000.0,909312.0
16000.0,19.671875,4.7011581935091975E-6,1000.0,29.41222719920003,41.118112056899356,16000.0,909296.0
17000.0,20.8125,4.969473714785029E-6,1000.0,31.007848453640754,48.93780430708783,17000.0,909296.0
18000.0,22.0,5.248815901318771E-6,1000.0,30.618525466837784,41.29867270279618,18000.0,909296.0
19000.0,23.203125,5.531833642938484E-6,1000.0,26.0007334039381,35.83862740109184,19000.0,909296.0
20000.0,24.359375,5.803824719300286E-6,1000.0,26.94353246805388,35.94911211063125,20000.0,909296.0
21000.0,25.546875,6.083166905834029E-6,1000.0,23.87516273157636,35.472148340315556,21000.0,909296.0
22000.0,26.6875,6.351487148397912E-6,1000.0,22.12627856548312,29.622104176078395,22000.0,909312.0
23000.0,27.84375,6.623478224759714E-6,1000.0,21.51421875470054,34.65705439901066,23000.0,909296.0
24000.0,29.0625,6.910171521465397E-6,1000.0,20.594270280472735,26.938885184809124,24000.0,909296.0
25000.0,30.15625,7.167460377483318E-6,1000.0,19.772134242328324,27.682537467763353,25000.0,909296.0
26000.0,31.328125,7.4431270089310905E-6,1000.0,19.484305905081644,29.791556725943245,26000.0,909296.0
27000.0,32.421875,7.700415864949011E-6,1000.0,19.688313696659186,28.11684727360425,27000.0,909296.0
28000.0,33.546875,7.965055831138873E-6,1000.0,19.327969410332578,29.422037053880448,28000.0,909296.0
29000.0,34.765625,8.251749127844556E-6,1000.0,19.561455120424863,34.305269398398956,29000.0,909296.0
30000.0,35.984375,8.53844242455024E-6,1000.0,19.563684155557603,28.771429379046943,30000.0,909296.0
31000.0,37.140625,8.81043350091204E-6,1000.0,20.84619959560481,42.10265256868523,31000.0,909296.0
32000.0,38.34375,9.093451242531753E-6,1000.0,19.551306138653334,28.89756823838447,32000.0,909296.0
33000.0,39.546875,9.376468984151466E-6,1000.0,20.807019812785136,33.6746609289608,33000.0,909296.0
34000.0,40.65625,9.63743798719305E-6,1000.0,20.422178705517645,31.451224777714156,34000.0,909312.0
35000.0,41.796875,9.905758229756934E-6,1000.0,20.735578180797855,32.85927669890646,35000.0,909312.0
36000.0,42.953125,1.0177749306118735E-5,1000.0,22.08578519577354,32.64179687832592,36000.0,909296.0
37000.0,44.015625,1.0427687051964715E-5,1000.0,20.889648126232327,30.88904321997944,37000.0,909296.0
38000.0,45.21875,1.0710704793584428E-5,1000.0,20.737516278384668,29.052838800156813,38000.0,909296.0
39000.0,46.296875,1.0964318094516378E-5,1000.0,20.015787530388298,29.61621386850569,39000.0,909296.0
40000.0,47.40625,1.122528250562027E-5,1000.0,19.086746367018417,28.44930242307401,40000.0,909296.0
41000.0,48.5,1.148257136163819E-5,1000.0,19.733149627019483,30.35705826882372,41000.0,909296.0
42000.0,49.734375,1.1772940213429844E-5,1000.0,17.47338836038726,23.59809626983934,42000.0,909296.0
43000.0,50.9375,1.2055962935038324E-5,1000.0,18.032304064631653,25.100404049514655,43000.0,909312.0
44000.0,52.0625,1.2320607557841058E-5,1000.0,16.973180839104245,22.767709416778157,44000.0,909312.0
45000.0,53.203125,1.258892307911689E-5,1000.0,18.050720827628624,25.520057086173313,45000.0,909296.0
46000.0,54.34375,1.2857238600392723E-5,1000.0,16.93908637899034,21.52518860853822,46000.0,909296.0
47000.0,55.484375,1.3125558842956607E-5,1000.0,17.01075302271232,23.004325499910784,47000.0,909312.0
48000.0,56.609375,1.339020346575934E-5,1000.0,17.090305282094903,28.656801451902087,48000.0,909312.0
49000.0,57.734375,1.3654843431949203E-5,1000.0,18.496465109413528,33.99391592773336,49000.0,909296.0
50000.0,58.859375,1.3919483398139065E-5,1000.0,17.818348303617924,32.94394229391147,50000.0,909296.0
