learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.265625,2.182821238723894E-7,1000.0,19.868391384687907,38.1552654987474,1000.0,3176520.0
2000.0,0.515625,5.403495096187625E-7,1000.0,22.137510498462717,47.514287552505216,2000.0,4979768.0
3000.0,0.78125,9.892740894833372E-7,1000.0,18.08317034724249,32.528184276745534,3000.0,6532912.0
4000.0,1.109375,1.6781498238237367E-6,1000.0,20.916559401171472,57.296037131539364,4000.0,8115288.0
5000.0,1.59375,2.8669122386620276E-6,1000.0,17.820120971329423,30.241406711491766,5000.0,9486712.0
6000.0,2.015625,4.026356457163476E-6,1000.0,18.871030937886438,32.67766154033465,6000.0,1.062352E7
7000.0,2.578125,5.720390310873173E-6,1000.0,19.541806889964185,32.51075501534216,7000.0,1.1641312E7
8000.0,3.171875,7.650727347936481E-6,1000.0,20.826603767745638,35.34499222844861,8000.0,1.2567008E7
9000.0,3.65625,9.3290897914105E-6,1000.0,22.94357324614614,41.16911034742738,9000.0,1.339388E7
10000.0,4.21875,1.1392802827888066E-5,1000.0,26.48965553199575,45.92111042007799,10000.0,1.4181728E7
11000.0,4.859375,1.3874634298392469E-5,1000.0,23.32358257840555,37.26150601262507,11000.0,1.4975136E7
12000.0,5.5625,1.673650271388599E-5,1000.0,24.000455816275977,36.438376831585344,12000.0,1.5733288E7
13000.0,6.203125,1.943682750505913E-5,1000.0,32.97659368642983,55.01075756188383,13000.0,1.6293504E7
14000.0,6.859375,2.2305526492548076E-5,1000.0,34.36224719275336,48.414883319144714,14000.0,1.6897328E7
15000.0,7.484375,2.510815810334559E-5,1000.0,32.693218924219345,47.37381263941449,15000.0,1.7333584E7
16000.0,8.1875,2.8364591513915616E-5,1000.0,29.26875981047195,41.030771710547974,16000.0,1.7902432E7
17000.0,8.9375,3.1981246138457216E-5,1000.0,30.88277900325891,48.88257026537902,17000.0,1.8640096E7
18000.0,9.609375,3.53497413905441E-5,1000.0,30.251843617814902,41.01108039271605,18000.0,1.9379824E7
19000.0,10.328125,3.9118036414341385E-5,1000.0,25.545791262360964,35.56445406893696,19000.0,2.0266064E7
20000.0,11.03125,4.283268198681375E-5,1000.0,17.34640507037287,32.10326161149339,20000.0,2.042148E7
21000.0,11.734375,4.658367678833505E-5,1000.0,13.494641319198225,31.380327548865594,21000.0,2.0621312E7
22000.0,12.4375,5.036898355077331E-5,1000.0,13.252313498649123,25.59105574362297,22000.0,2.0809944E7
23000.0,13.203125,5.457115534227342E-5,1000.0,15.140971299694435,33.00745361431825,23000.0,2.1215832E7
24000.0,13.921875,5.859703536973232E-5,1000.0,15.045900663950224,23.94016356281436,24000.0,2.1651368E7
25000.0,14.6875,6.29978896985348E-5,1000.0,15.023317205485998,25.606205817865582,25000.0,2.2218936E7
26000.0,15.5,6.775633454607386E-5,1000.0,15.931503100598901,28.69256154986541,26000.0,2.2638312E7
27000.0,16.234375,7.214789210896318E-5,1000.0,17.006307084426815,27.6404552902296,27000.0,2.3115488E7
28000.0,17.140625,7.765696251428583E-5,1000.0,17.822542106815966,30.026340472969522,28000.0,2.3498096E7
29000.0,17.9375,8.258249604194944E-5,1000.0,17.548040733794522,34.6662139858656,29000.0,2.3892712E7
30000.0,18.796875,8.795741926102589E-5,1000.0,18.5020442551043,28.900933329050087,30000.0,2.4176416E7
31000.0,19.671875,9.351735216720651E-5,1000.0,20.388780100188214,42.196964167529686,31000.0,2.4562008E7
32000.0,20.5625,9.924773718618477E-5,1000.0,19.511572747192034,29.17612962092187,32000.0,2.4870888E7
33000.0,21.453125,1.0507836142399658E-4,1000.0,21.12029087977257,33.92024015184177,33000.0,2.5305944E7
34000.0,22.375,1.1117294336953718E-4,1000.0,20.5832997552919,32.023011943758696,34000.0,2.5554904E7
35000.0,23.421875,1.1817463534599584E-4,1000.0,22.774447008070812,33.83904934040197,35000.0,2.5852976E7
