learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.375,8.229787151018779E-8,1000.0,21.284590614576896,39.2976710301459,1000.0,848320.0
2000.0,0.71875,1.5773758706119328E-7,1000.0,23.385299780692232,47.993912666256705,2000.0,848320.0
3000.0,1.0625,2.3317730261219876E-7,1000.0,18.68079772609375,32.41487155438193,3000.0,848320.0
4000.0,1.4375,3.1547517412238655E-7,1000.0,22.121979201418466,57.74745293583493,4000.0,848320.0
5000.0,1.75,3.8405673371420973E-7,1000.0,18.91387305136172,30.386696866672754,5000.0,848320.0
6000.0,2.109375,4.629255272448064E-7,1000.0,18.452385398348582,32.39369246547664,6000.0,848320.0
7000.0,2.6875,5.898014124896793E-7,1000.0,19.76795426281102,32.14403136189305,7000.0,848320.0
8000.0,3.03125,6.652411280406847E-7,1000.0,22.520198787341098,34.578519616034875,8000.0,848320.0
9000.0,3.375,7.406808435916901E-7,1000.0,24.617898338217543,40.39432656673497,9000.0,848320.0
10000.0,3.671875,8.058333252039222E-7,1000.0,28.195871532258664,44.65620040375794,10000.0,848320.0
11000.0,4.015625,8.812730407549276E-7,1000.0,24.51612216595124,36.87406467343621,11000.0,848320.0
12000.0,4.375,9.60140346756412E-7,1000.0,24.11536379472073,36.25104362093483,12000.0,848304.0
13000.0,4.875,1.0698708421033291E-6,1000.0,30.960586776578428,53.816799789812954,13000.0,848320.0
14000.0,5.28125,1.1590268695726993E-6,1000.0,32.68466106574887,47.303250895285935,14000.0,848320.0
15000.0,5.609375,1.2310375071441137E-6,1000.0,32.82498280711421,47.4033994029389,15000.0,848320.0
16000.0,5.9375,1.3030481447155281E-6,1000.0,28.269705908344147,40.66567282425518,16000.0,848320.0
17000.0,6.28125,1.3784878602665336E-6,1000.0,31.645233679146276,48.74454774533654,17000.0,848320.0
18000.0,6.625,1.453927575817539E-6,1000.0,30.5030654628253,41.456922150979665,18000.0,848320.0
19000.0,6.953125,1.5259368552101987E-6,1000.0,24.08892011884967,35.81966685112163,19000.0,848304.0
20000.0,7.265625,1.5945184148020219E-6,1000.0,17.000874052059935,31.69029132018232,20000.0,848320.0
21000.0,7.59375,1.6665290523734363E-6,1000.0,13.615632638455386,31.075557083429675,21000.0,848320.0
22000.0,8.125,1.7831177036795357E-6,1000.0,13.087354440007873,25.04374211842846,22000.0,848320.0
23000.0,8.9375,1.9614297586182757E-6,1000.0,15.307685697898973,32.38662252579107,23000.0,848320.0
24000.0,9.5625,2.098592877801922E-6,1000.0,15.201438896211721,23.793943018844924,24000.0,848320.0
25000.0,10.15625,2.228895383369592E-6,1000.0,15.491678729544018,25.79642336931791,25000.0,848304.0
26000.0,10.703125,2.3489131126552827E-6,1000.0,16.89417552476122,28.809751226586346,26000.0,848320.0
27000.0,11.21875,2.462072685981791E-6,1000.0,17.333131868824104,27.19007526182883,27000.0,848320.0
28000.0,11.671875,2.5615159473899345E-6,1000.0,17.948202044744516,29.075376328867254,28000.0,848320.0
29000.0,12.140625,2.6643882867776693E-6,1000.0,18.452605144861653,34.261035949162896,29000.0,848320.0
30000.0,12.5,2.743257080308266E-6,1000.0,19.0063332581382,28.704807391922092,30000.0,848320.0
31000.0,12.8125,2.811838639900089E-6,1000.0,20.66325882068122,41.72120304605918,31000.0,848320.0
32000.0,13.09375,2.87356204353273E-6,1000.0,18.686452120454582,28.701469201854987,32000.0,848320.0
33000.0,13.375,2.935285447165371E-6,1000.0,20.549392248345423,33.353045314104584,33000.0,848320.0
34000.0,13.71875,3.0107251627163762E-6,1000.0,19.887497743567764,31.22378289926876,34000.0,848320.0
35000.0,14.015625,3.0758776443286084E-6,1000.0,20.59211974549757,32.70185078060091,35000.0,848320.0
36000.0,14.375,3.154746437859205E-6,1000.0,21.964521428772954,32.299730398284105,36000.0,848320.0
37000.0,14.671875,3.21989769064304E-6,1000.0,21.13458915792398,30.7685942799063,37000.0,848304.0
38000.0,14.96875,3.2850501722552722E-6,1000.0,20.750810978992146,29.016520665873905,38000.0,848320.0
39000.0,15.234375,3.343344497908322E-6,1000.0,19.832471126507798,29.511420403778985,39000.0,848320.0
40000.0,15.53125,3.408496979520554E-6,1000.0,18.660054700608118,28.242858931197727,40000.0,848320.0
41000.0,15.859375,3.4805062589132138E-6,1000.0,14.745153991453439,28.192484318587848,41000.0,848304.0
42000.0,16.15625,3.545658740525446E-6,1000.0,11.489942413498612,20.30682403850534,42000.0,848320.0
43000.0,16.484375,3.6176680199181056E-6,1000.0,11.816976466445134,22.38481551731163,43000.0,848304.0
44000.0,16.734375,3.672533267591564E-6,1000.0,11.9377885363358,20.15005935987109,44000.0,848320.0
45000.0,17.03125,3.7376857492037962E-6,1000.0,13.66263348387961,23.949224155749533,45000.0,848320.0
46000.0,17.34375,3.806267308795619E-6,1000.0,12.542035936736609,19.252303645296834,46000.0,848320.0
47000.0,17.625,3.86799071242826E-6,1000.0,13.527812199551928,21.63800628081411,47000.0,848320.0
48000.0,17.921875,3.933141965212095E-6,1000.0,14.413618372139537,27.71396042014728,48000.0,848304.0
49000.0,18.21875,3.998294446824326E-6,1000.0,16.821801315373833,33.715942421488045,49000.0,848320.0
50000.0,18.484375,4.056588772477376E-6,1000.0,15.903497979318399,32.37497145827542,50000.0,848320.0
