learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.234375,9.624151668200891E-8,1000.0,21.273838555399557,39.27675820608911,1000.0,1587280.0
2000.0,0.390625,1.831038389354944E-7,1000.0,23.392531561490962,47.98319875156656,2000.0,2148776.0
3000.0,0.53125,2.7925474569201466E-7,1000.0,18.68542618790937,32.41580186361959,3000.0,2642976.0
4000.0,0.640625,3.6810068801666297E-7,1000.0,22.131318417131393,57.74622528974563,4000.0,3139944.0
5000.0,0.828125,5.41779154445976E-7,1000.0,18.925610816475576,30.376404957378323,5000.0,3580528.0
6000.0,1.0,7.161420782924526E-7,1000.0,18.47409936548485,32.38437888401314,6000.0,3921112.0
7000.0,1.203125,9.411794922521544E-7,1000.0,19.80751418477127,32.137954013393106,7000.0,4282464.0
8000.0,1.421875,1.1954676786748071E-6,1000.0,22.522956323702445,34.57253846370068,8000.0,4493456.0
9000.0,1.703125,1.5365709744704266E-6,1000.0,24.621403525960467,40.388607415081395,9000.0,4688088.0
10000.0,1.890625,1.772886704808722E-6,1000.0,28.216520003537244,44.65861673931806,10000.0,4871848.0
11000.0,2.109375,2.0575247536827294E-6,1000.0,24.51278460308945,36.8580573774674,11000.0,5029760.0
12000.0,2.328125,2.352014578516699E-6,1000.0,24.14116134387117,36.244692848254985,12000.0,5203848.0
13000.0,2.5625,2.675278584421095E-6,1000.0,30.98146415910952,53.81763915410774,13000.0,5331488.0
14000.0,2.90625,3.1622304231859745E-6,1000.0,32.69403575369971,47.30229829469221,14000.0,5475776.0
15000.0,3.15625,3.5219698070755437E-6,1000.0,32.81047301055556,47.39544336369981,15000.0,5562248.0
16000.0,3.390625,3.865775296516303E-6,1000.0,28.260655939208362,40.66726324413372,16000.0,5670272.0
17000.0,3.59375,4.171095594453315E-6,1000.0,31.644068520312548,48.75619022131504,17000.0,5810248.0
18000.0,3.78125,4.459748161025345E-6,1000.0,30.447358123457384,41.44380164305771,18000.0,5950816.0
19000.0,4.0,4.806684511196282E-6,1000.0,24.07537604235267,35.83020676065775,19000.0,6130616.0
20000.0,4.28125,5.2569428872731E-6,1000.0,17.108076981147367,31.70542253652391,20000.0,6188304.0
21000.0,4.6875,5.912434749512209E-6,1000.0,13.650619192558702,31.079116497157592,21000.0,6237008.0
22000.0,5.109375,6.5992784544101194E-6,1000.0,13.103240111468098,25.040967096515665,22000.0,6293272.0
23000.0,5.390625,7.062710970381482E-6,1000.0,15.357920747237419,32.38399486697346,23000.0,6369368.0
24000.0,5.6875,7.5580166756278944E-6,1000.0,15.255016181943919,23.810368626241267,24000.0,6449144.0
25000.0,5.9375,7.981400057259533E-6,1000.0,15.452377173622562,25.772579625330515,25000.0,6546304.0
26000.0,6.21875,8.462708145897422E-6,1000.0,16.93673114519511,28.813828387611185,26000.0,6615048.0
27000.0,6.53125,9.007146387981872E-6,1000.0,17.33744685387947,27.240326051594153,27000.0,6734432.0
28000.0,6.84375,9.556725660028558E-6,1000.0,17.901311042689176,29.0797208540732,28000.0,6798024.0
29000.0,7.171875,1.0138702540037535E-5,1000.0,18.47775537014726,34.26202281167454,29000.0,6855968.0
30000.0,7.5,1.0726340988185259E-5,1000.0,18.95056651216261,28.67686711811634,30000.0,6922664.0
31000.0,7.796875,1.1261868090110108E-5,1000.0,20.685645505641016,41.74547825731486,31000.0,6972848.0
32000.0,8.09375,1.1800838983617724E-5,1000.0,18.589098010300816,28.692524084975453,32000.0,7017688.0
33000.0,8.359375,1.2286834114800312E-5,1000.0,20.576793438034542,33.36241233712604,33000.0,7072376.0
34000.0,8.6875,1.2890402641561297E-5,1000.0,19.852476457131182,31.245140562786993,34000.0,7110328.0
35000.0,9.015625,1.3496809761919496E-5,1000.0,20.56183287023455,32.69165651696202,35000.0,7143768.0
36000.0,9.328125,1.4077252676037866E-5,1000.0,21.863884393072418,32.26267818878995,36000.0,7179792.0
37000.0,9.65625,1.4689504718666691E-5,1000.0,21.012718458372813,30.7352524679506,37000.0,7212624.0
38000.0,9.96875,1.5276512163432525E-5,1000.0,20.72312432250881,29.01456799934314,38000.0,7260992.0
39000.0,10.296875,1.5898233428338754E-5,1000.0,19.821408710872085,29.50315057249664,39000.0,7324176.0
40000.0,10.59375,1.6467602464318695E-5,1000.0,18.645883823180007,28.239385965079492,40000.0,7413488.0
41000.0,10.96875,1.719000222187283E-5,1000.0,14.746851461565194,28.221961117308766,41000.0,7446440.0
42000.0,11.265625,1.7763876142756397E-5,1000.0,11.46607221951685,20.31451878496554,42000.0,7472144.0
43000.0,11.640625,1.8491603841539477E-5,1000.0,11.803645575787142,22.394142231161354,43000.0,7501360.0
44000.0,11.96875,1.9131032361959423E-5,1000.0,11.86361839841337,20.121310257440374,44000.0,7532776.0
45000.0,12.28125,1.974383485503495E-5,1000.0,13.68573413005163,23.950919575589477,45000.0,7580064.0
46000.0,12.625,2.042305054298292E-5,1000.0,12.532002294817007,19.263828480879617,46000.0,7637784.0
47000.0,12.953125,2.1074771260221804E-5,1000.0,13.515446528763029,21.654134491100603,47000.0,7677584.0
48000.0,13.28125,2.173208631575108E-5,1000.0,14.398772470040019,27.697024734465785,48000.0,7743488.0
49000.0,13.609375,2.2392182921369876E-5,1000.0,16.785620636251053,33.725831104512444,49000.0,7776256.0
50000.0,13.953125,2.3086489398135914E-5,1000.0,15.90590526902305,32.377493502478174,50000.0,7807480.0
