learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.640625,8.171066292561591E-7,1000.0,19.75741996148058,38.08082737127557,1000.0,4931800.0
2000.0,1.234375,1.893171995309078E-6,1000.0,22.412736399451624,48.411122921184386,2000.0,7005472.0
3000.0,1.8125,3.463792317132983E-6,1000.0,17.837934502158568,32.233843804448135,3000.0,1.0501512E7
4000.0,2.59375,5.214715945637889E-6,1000.0,21.341554502270846,57.896018868158144,4000.0,8663224.0
5000.0,3.265625,6.653533265408543E-6,1000.0,18.28554397911447,30.749484368976944,5000.0,8277888.0
6000.0,3.828125,7.972510712635188E-6,1000.0,18.066154633545295,32.63211930240635,6000.0,9063944.0
7000.0,4.546875,9.429178058376744E-6,1000.0,19.586365074281908,32.277839590237605,7000.0,7834024.0
8000.0,5.359375,1.068976727159073E-5,1000.0,21.450686406165758,34.6654164664994,8000.0,5997256.0
9000.0,5.84375,1.1384750380077297E-5,1000.0,23.744592945928737,39.567608737277766,9000.0,5546192.0
10000.0,6.46875,1.1630438449275163E-5,1000.0,25.959177831441316,42.98757858919819,10000.0,1519520.0
11000.0,6.8125,1.2020001627711787E-5,1000.0,23.872694491080985,37.015893064992575,11000.0,4380640.0
12000.0,7.265625,1.290710135233692E-5,1000.0,23.2322083434143,35.722636611467095,12000.0,7567576.0
13000.0,7.875,1.408338960674074E-5,1000.0,29.883248080419516,53.94580705692947,13000.0,7461592.0
14000.0,8.484375,1.4722022622461534E-5,1000.0,31.333123850482956,47.36550738906003,14000.0,4051064.0
15000.0,9.0625,1.5510635696248048E-5,1000.0,31.711924598149917,47.031059555358276,15000.0,5272840.0
16000.0,9.59375,1.6836149928470453E-5,1000.0,27.249177611472845,40.5031347028162,16000.0,9644680.0
17000.0,10.25,1.803181852058818E-5,1000.0,29.839773561226938,48.479305983288796,17000.0,7042776.0
18000.0,10.75,1.941467318425162E-5,1000.0,29.66316170287287,40.53216535673804,18000.0,1.0690768E7
19000.0,11.296875,2.1406947117712764E-5,1000.0,23.575409590383956,34.70645005086657,19000.0,1.4081968E7
20000.0,12.078125,2.3945051749857765E-5,1000.0,17.482107023957802,32.25040466339791,20000.0,1.255804E7
21000.0,12.796875,2.6262507566975226E-5,1000.0,13.496520083139782,31.453220785560106,21000.0,1.2463384E7
22000.0,13.546875,2.8700835795866123E-5,1000.0,13.15854914278083,25.060289868051512,22000.0,1.2567048E7
23000.0,14.75,3.0585567324629264E-5,1000.0,15.22540141064923,32.79666966970568,23000.0,6055376.0
24000.0,15.765625,3.226791230392539E-5,1000.0,15.111594351724174,24.39466151891116,24000.0,6403008.0
25000.0,16.28125,3.347913592329456E-5,1000.0,15.122645954179745,25.507283388837514,25000.0,9080144.0
26000.0,16.953125,3.420473238091088E-5,1000.0,16.796836297074815,29.221837903528378,26000.0,4174544.0
27000.0,17.359375,3.473722608759999E-5,1000.0,16.799571613123017,27.173784051445928,27000.0,5066680.0
28000.0,17.828125,3.561765576402346E-5,1000.0,17.40168805537087,29.13496491984634,28000.0,7260320.0
29000.0,18.46875,3.6660920401724675E-5,1000.0,18.315517887720098,34.82321651893916,29000.0,6294960.0
30000.0,18.90625,3.730293783721411E-5,1000.0,18.559112613847937,28.867592503448375,30000.0,5672456.0
31000.0,19.46875,3.7809599436716075E-5,1000.0,21.04208870689881,44.018025158229804,31000.0,3481752.0
32000.0,19.875,3.864504791434027E-5,1000.0,18.962091033627683,29.57057735334748,32000.0,7949296.0
33000.0,20.53125,4.020638168892927E-5,1000.0,20.344267197826834,33.678916222601266,33000.0,9196632.0
34000.0,21.15625,4.2118041569160094E-5,1000.0,19.569237987767636,31.58826010004344,34000.0,1.1823144E7
35000.0,21.859375,4.4319212287923114E-5,1000.0,19.930250335270355,32.298485072552516,35000.0,1.2101064E7
36000.0,22.578125,4.679965815739706E-5,1000.0,21.018654700498338,32.27261329308942,36000.0,1.3339952E7
37000.0,23.34375,5.036644925389232E-5,1000.0,20.271330610016424,30.700939944473276,37000.0,1.8007936E7
38000.0,24.15625,5.405175955578064E-5,1000.0,20.451022777984797,29.249492469364533,38000.0,1.7532872E7
39000.0,24.9375,5.6918228155053735E-5,1000.0,19.324876608823875,29.434285191741825,39000.0,1.418272E7
40000.0,25.734375,5.9409560182959664E-5,1000.0,19.33849700116987,28.68546789056403,40000.0,1.208492E7
41000.0,26.5,6.0147541549263724E-5,1000.0,15.05678417015669,28.512327601936388,41000.0,3725904.0
42000.0,26.953125,6.1020249947129436E-5,1000.0,10.952481121021252,20.314584697766833,42000.0,7444808.0
43000.0,27.5,6.250581341899103E-5,1000.0,12.07962670379195,22.908750788425333,43000.0,1.0500392E7
44000.0,28.15625,6.43209894446449E-5,1000.0,12.024296397793906,20.59096596911795,44000.0,1.0691824E7
45000.0,28.765625,6.582059777833313E-5,1000.0,13.39342738153072,23.92234597400281,45000.0,9512520.0
46000.0,29.328125,6.792226104557306E-5,1000.0,12.572171737704947,19.39808500805037,46000.0,1.444252E7
47000.0,30.125,7.070202134653096E-5,1000.0,13.243700527502154,21.63383117867444,47000.0,1.3484024E7
48000.0,30.84375,7.201849651109011E-5,1000.0,14.34741687131302,28.28585006590577,48000.0,7080064.0
49000.0,31.40625,7.243564287717969E-5,1000.0,17.585733044626995,35.02520940924253,49000.0,2866608.0
50000.0,31.796875,7.286040277297917E-5,1000.0,15.966539921111302,32.824902294906806,50000.0,4203256.0
