learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.453125,6.238160939473245E-7,1000.0,20.077678707297647,37.98356264937756,1000.0,5323040.0
2000.0,1.046875,1.8267788820796544E-6,1000.0,22.38393620107142,48.164124586733756,2000.0,7831608.0
3000.0,1.46875,3.1011756638892825E-6,1000.0,17.750787504486357,31.92802358412637,3000.0,1.1676784E7
4000.0,2.109375,5.4466536514357565E-6,1000.0,21.301246841405696,57.35397511402835,4000.0,1.4152392E7
5000.0,2.84375,8.921499053637187E-6,1000.0,18.030761788237584,30.339020880556703,5000.0,1.8290264E7
6000.0,3.609375,1.2267292509528084E-5,1000.0,17.611749782700613,32.44085899149009,6000.0,1.6892168E7
7000.0,4.46875,1.5452395503719646E-5,1000.0,19.19434356910245,31.84386207170922,7000.0,1.43266E7
8000.0,5.078125,1.6918108740355817E-5,1000.0,21.559301887488072,34.68818065265177,8000.0,9297512.0
9000.0,5.5,1.8052918021567164E-5,1000.0,24.42774705829361,40.4425232537459,9000.0,1.03978E7
10000.0,6.109375,1.9327594879238554E-5,1000.0,26.31812109032586,43.54397589959801,10000.0,8085704.0
11000.0,6.671875,2.0944990198283145E-5,1000.0,23.66229362558103,36.41634733256369,11000.0,1.1114656E7
12000.0,7.171875,2.2888795970680398E-5,1000.0,23.576821523236134,36.180158866654814,12000.0,1.5027448E7
13000.0,7.9375,2.5285284047842853E-5,1000.0,30.12232159333332,53.88923999828874,13000.0,1.2099336E7
14000.0,8.484375,2.711050652174486E-5,1000.0,30.64737087424473,46.585196449883625,14000.0,1.29012E7
15000.0,9.1875,2.982179317364676E-5,1000.0,31.287130426046357,46.45505658797346,15000.0,1.4905456E7
16000.0,9.984375,3.405717883854069E-5,1000.0,27.35823729434976,40.14612607582179,16000.0,2.0544952E7
17000.0,11.09375,3.9834378306598706E-5,1000.0,29.659468367087957,48.03711715047969,17000.0,2.0129888E7
18000.0,11.890625,4.4537216405539454E-5,1000.0,28.61172930289958,39.869145825908106,18000.0,2.2812464E7
19000.0,12.765625,5.088944379369624E-5,1000.0,23.483591738191596,34.33758441507672,19000.0,2.8062112E7
20000.0,13.9375,6.019986102021195E-5,1000.0,17.15729065559346,31.764441757296872,20000.0,3.0710736E7
21000.0,15.0625,6.91159265827284E-5,1000.0,13.2071126197233,30.938773005173477,21000.0,3.0635368E7
22000.0,16.203125,7.831262036537129E-5,1000.0,13.27961548227128,25.204708223936343,22000.0,3.1166728E7
23000.0,17.453125,8.72867981282373E-5,1000.0,15.54381474680225,33.3035293876749,23000.0,2.7751536E7
24000.0,18.5,9.630272814926379E-5,1000.0,15.016981593775489,23.691478812327894,24000.0,3.3290328E7
25000.0,19.765625,1.0710387907844656E-4,1000.0,14.764430796493087,25.139522462871295,25000.0,3.2988864E7
26000.0,21.125,1.148597726326746E-4,1000.0,16.276952395247026,28.800032959280475,26000.0,2.2054384E7
27000.0,22.046875,1.1873401336035585E-4,1000.0,17.26238534208648,27.679871248222216,27000.0,1.6244896E7
28000.0,22.78125,1.2201845138204385E-4,1000.0,17.538580135952987,29.366472122597045,28000.0,1.7288032E7
29000.0,23.5625,1.251150407349794E-4,1000.0,18.428378317254957,34.73707902853621,29000.0,1.5321312E7
30000.0,24.25,1.2788381773538678E-4,1000.0,19.012491559382077,29.322137812923742,30000.0,1.5567456E7
31000.0,25.015625,1.31022769847833E-4,1000.0,20.678444603093826,43.27059577680218,31000.0,1.5847872E7
32000.0,25.671875,1.3449669909378924E-4,1000.0,18.767245984353448,29.3959238538989,32000.0,2.046228E7
33000.0,26.578125,1.3925676968129763E-4,1000.0,20.767385072964146,34.09475345291936,33000.0,2.0303352E7
34000.0,27.53125,1.442982103132332E-4,1000.0,19.787603641807085,31.620299872960064,34000.0,2.0445944E7
35000.0,28.390625,1.4857274454293975E-4,1000.0,20.056672328412702,32.747958962186516,35000.0,1.9226864E7
36000.0,29.1875,1.5327556944814402E-4,1000.0,21.371522142110663,32.58176828925206,36000.0,2.28124E7
