learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,1.28125,2.733454910210437E-6,1000.0,19.652443729082226,37.78075786870748,1000.0,8248160.0
2000.0,2.96875,5.537295817501015E-6,1000.0,22.284468204378946,48.30971204533842,2000.0,6422616.0
3000.0,4.578125,1.0574784925362716E-5,1000.0,18.062798268873347,32.294517289601586,3000.0,1.2099272E7
4000.0,6.25,1.639976201760065E-5,1000.0,20.999946869843097,57.18821219330181,4000.0,1.346768E7
5000.0,8.015625,2.7167376635285716E-5,1000.0,17.980725137474643,30.404755637774393,5000.0,2.3573464E7
6000.0,10.140625,3.5669486387632786E-5,1000.0,17.75043990728831,32.5371181416981,6000.0,1.546572E7
7000.0,11.859375,4.1239497109523246E-5,1000.0,19.25018769810836,32.3044879965801,7000.0,1.252696E7
8000.0,14.796875,5.012055244555489E-5,1000.0,21.795614234404166,35.016504309679945,8000.0,1.1686624E7
9000.0,16.296875,5.3079680914783634E-5,1000.0,24.231195324768848,40.08327355741375,9000.0,7625616.0
10000.0,17.71875,5.4125135389363594E-5,1000.0,26.596014443317113,43.954491593049525,10000.0,2842144.0
11000.0,18.953125,5.668665913011257E-5,1000.0,23.621001804232503,36.66923067457155,11000.0,8021464.0
12000.0,20.234375,6.083637226967968E-5,1000.0,23.55717734934809,35.99117644301667,12000.0,1.2519488E7
13000.0,22.03125,6.415027103179858E-5,1000.0,29.7016270692141,53.43601082280195,13000.0,7128920.0
14000.0,23.390625,6.665208587138395E-5,1000.0,31.70710624407941,47.56442614592039,14000.0,7114072.0
15000.0,24.578125,7.078779877499779E-5,1000.0,31.994241184212328,47.23129347869516,15000.0,1.3462296E7
16000.0,25.984375,7.658372183666666E-5,1000.0,27.616877675146654,40.285045581224715,16000.0,1.5931712E7
17000.0,27.5,8.335469271211572E-5,1000.0,30.315016547430083,49.07766309496178,17000.0,1.7268776E7
18000.0,29.0,9.420027316082267E-5,1000.0,28.60110127112531,39.41407601543062,18000.0,2.7948848E7
19000.0,30.984375,1.1261087117923629E-4,1000.0,23.53444359661038,34.501456114037346,19000.0,3.5862992E7
20000.0,33.140625,1.3571893382403584E-4,1000.0,17.35996757375614,32.07745586195377,20000.0,4.1425408E7
21000.0,35.59375,1.6118231517288625E-4,1000.0,13.45923793642652,31.49647180108717,21000.0,4.0123496E7
22000.0,37.890625,1.8179936476776166E-4,1000.0,13.093275535525857,24.71175294618403,22000.0,3.4696968E7
23000.0,40.28125,1.9983310802167072E-4,1000.0,15.33306466472965,32.91002994646933,23000.0,2.915928E7
24000.0,42.453125,2.1313220644111018E-4,1000.0,14.889054028768777,23.6934707099614,24000.0,2.3669536E7
25000.0,44.375,2.2687422396201225E-4,1000.0,15.170076838955541,25.563385903582038,25000.0,2.7639344E7
26000.0,46.53125,2.3811364733976206E-4,1000.0,16.259091274331357,28.849491671099713,26000.0,2.0148712E7
27000.0,48.328125,2.429446324175741E-4,1000.0,17.049997143895435,27.486674106338484,27000.0,1.0392504E7
28000.0,49.65625,2.4516742792911827E-4,1000.0,17.631319422395052,29.351819324085014,28000.0,6469384.0
29000.0,51.0,2.477288897433835E-4,1000.0,18.579703868183252,34.96487253048663,29000.0,7368376.0
30000.0,52.25,2.5101170092562417E-4,1000.0,18.60054873160221,28.889320580010335,30000.0,1.0151688E7
31000.0,53.6875,2.543643624651142E-4,1000.0,20.118249409041866,42.57813163886126,31000.0,9015384.0
32000.0,54.984375,2.5879525259369984E-4,1000.0,18.595268154148616,28.99354078037248,32000.0,1.3206728E7
33000.0,56.4375,2.65140157037725E-4,1000.0,20.47824835192692,33.86023392251204,33000.0,1.6878136E7
34000.0,58.125,2.720249440365781E-4,1000.0,19.395098917646358,31.123571842225484,34000.0,1.5770632E7
35000.0,59.765625,2.7829715613430985E-4,1000.0,20.078517204361813,32.47691289248377,35000.0,1.4777936E7
36000.0,61.171875,2.8588774943879495E-4,1000.0,21.347011196992426,32.40032918246886,36000.0,2.0864864E7
37000.0,62.765625,2.9497537742524096E-4,1000.0,20.3136086648587,30.6796867832293,37000.0,2.2041072E7
38000.0,64.5625,3.069150075316429E-4,1000.0,20.19391481326893,29.109270721911187,38000.0,2.5684752E7
39000.0,66.3125,3.213997268014484E-4,1000.0,19.738864782678927,29.769835727502052,39000.0,3.1994432E7
40000.0,68.59375,3.416046867561009E-4,1000.0,18.537180025345794,28.126742981370544,40000.0,3.4236352E7
41000.0,71.265625,3.4660575044755305E-4,1000.0,15.020206483503337,28.831971756972653,41000.0,7235168.0
42000.0,72.625,3.5115670322233603E-4,1000.0,11.434043037311037,20.585428991476046,42000.0,1.2940928E7
43000.0,74.140625,3.551403081251515E-4,1000.0,11.835567353353849,22.641680724467104,43000.0,1.015984E7
44000.0,75.578125,3.589476597133196E-4,1000.0,12.012564455360785,20.684380810684146,44000.0,1.0238056E7
45000.0,76.875,3.636596821403752E-4,1000.0,13.782116889374114,24.162870375642676,45000.0,1.4044672E7
46000.0,78.265625,3.7287724437192084E-4,1000.0,12.44516592608102,19.022233128379956,46000.0,2.5621728E7
47000.0,80.265625,3.8422715255162786E-4,1000.0,13.244936742918668,21.683960446936393,47000.0,2.1936368E7
48000.0,82.21875,3.887299718917348E-4,1000.0,14.64461181062436,28.41114016940281,48000.0,8911624.0
49000.0,83.625,3.902833539177664E-4,1000.0,17.39428322997467,34.46354866948449,49000.0,4269904.0
50000.0,85.0625,3.917410372458916E-4,1000.0,16.10854032485815,33.13668673708968,50000.0,3919744.0
