learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.640625,6.417866744514969E-7,1000.0,19.574470314913295,37.75631245799568,1000.0,3873936.0
2000.0,1.078125,1.1667100867877404E-6,1000.0,21.940991210295795,47.60232061742904,2000.0,4637888.0
3000.0,1.578125,2.131131865705053E-6,1000.0,18.18710092470432,32.466160960933706,3000.0,7455888.0
4000.0,2.046875,3.0256555570910375E-6,1000.0,21.2685588496555,57.650134465026966,4000.0,7376544.0
5000.0,2.8125,4.548192729190406E-6,1000.0,17.994998319550472,30.346391408136924,5000.0,7686952.0
6000.0,3.28125,5.7889423785834684E-6,1000.0,17.89440694386444,32.55892051161943,6000.0,1.023164E7
7000.0,3.828125,7.042756414092664E-6,1000.0,19.05591991930564,31.75295931859892,7000.0,8862320.0
8000.0,4.40625,7.919948095352286E-6,1000.0,21.926137703444418,35.092720865057466,8000.0,5865096.0
9000.0,6.96875,1.1403086634042363E-5,1000.0,24.49723483919741,40.46097887528118,9000.0,5254232.0
10000.0,7.984375,1.2464397748570062E-5,1000.0,26.946461454908093,44.25308138045508,10000.0,4039352.0
11000.0,8.65625,1.3443819059628165E-5,1000.0,23.78566328584877,36.799053310842,11000.0,5634864.0
12000.0,9.4375,1.5170922819783703E-5,1000.0,22.714649679510615,34.87814810333692,12000.0,8545368.0
13000.0,9.9375,1.5850388865348778E-5,1000.0,31.054275032001225,54.617519431193934,13000.0,5252912.0
14000.0,10.59375,1.6796095523103655E-5,1000.0,32.15622974372108,47.75803400491491,14000.0,5570440.0
15000.0,11.296875,1.7945103108003318E-5,1000.0,32.0915890637855,47.49786120089859,15000.0,6316736.0
16000.0,11.828125,1.914062825057448E-5,1000.0,27.62200043676728,40.46516812485192,16000.0,8698856.0
17000.0,12.4375,2.0734620985523276E-5,1000.0,30.022550233606456,48.48068483045444,17000.0,1.0111232E7
18000.0,13.015625,2.2654251693489232E-5,1000.0,28.279201065709856,39.53080348815718,18000.0,1.2835072E7
19000.0,13.703125,2.535467905949594E-5,1000.0,23.943895200199762,34.71360925270648,19000.0,1.518316E7
20000.0,14.5,2.9013541320131882E-5,1000.0,17.419058658221402,31.916169745550327,20000.0,1.774836E7
21000.0,15.296875,3.2574685820792284E-5,1000.0,13.69091286158826,31.46538439703986,21000.0,1.7274352E7
22000.0,16.109375,3.6498640676856865E-5,1000.0,13.19460449504935,24.889919261239438,22000.0,1.8668224E7
23000.0,16.96875,3.9305492181382656E-5,1000.0,15.24339664427227,32.92639635848328,23000.0,1.2625224E7
24000.0,17.640625,4.128373667804731E-5,1000.0,15.027128953501672,23.873285493828952,24000.0,1.1381352E7
25000.0,18.203125,4.314603840207888E-5,1000.0,15.066033121566054,25.569605800591077,25000.0,1.279764E7
26000.0,18.890625,4.4921757265304526E-5,1000.0,16.385261776401748,28.69048517865579,26000.0,9983984.0
27000.0,19.484375,4.605417793047511E-5,1000.0,16.96807091356214,27.3748546757409,27000.0,7372360.0
28000.0,19.96875,4.6986309235863804E-5,1000.0,17.584888661379136,29.288274078935242,28000.0,7438712.0
29000.0,20.46875,4.794479952478368E-5,1000.0,18.750797735861628,35.05142050941007,29000.0,7410032.0
30000.0,20.90625,4.8857775432730305E-5,1000.0,18.706579000024114,28.961398355026855,30000.0,8066472.0
31000.0,21.40625,4.9520895732308015E-5,1000.0,20.53221716249202,42.73359612599908,31000.0,5126544.0
32000.0,21.796875,5.02786931853431E-5,1000.0,18.99282719847222,29.362526860088025,32000.0,7498864.0
33000.0,22.28125,5.118240460029079E-5,1000.0,20.667927315260286,33.94130926010684,33000.0,7211912.0
34000.0,22.765625,5.242625849657796E-5,1000.0,19.61107498044328,31.490137232027706,34000.0,9926360.0
35000.0,23.28125,5.3836440848600535E-5,1000.0,20.38746327611167,32.93068699092752,35000.0,1.0571672E7
36000.0,23.8125,5.544140391672651E-5,1000.0,21.60999578207017,32.575267920246205,36000.0,1.1678E7
37000.0,24.515625,5.763239993636186E-5,1000.0,20.239299647890334,30.528779474034383,37000.0,1.2045128E7
38000.0,25.21875,6.0143325633058946E-5,1000.0,20.48921797341432,29.23963092545758,38000.0,1.380396E7
39000.0,25.96875,6.327217056726416E-5,1000.0,19.648101407629323,29.70988167850019,39000.0,1.6125944E7
40000.0,26.703125,6.672832160903555E-5,1000.0,18.590511349428585,28.06129281293253,40000.0,1.8191864E7
41000.0,27.640625,6.825649971789162E-5,1000.0,14.528535721851755,28.523146148641008,41000.0,6300936.0
42000.0,28.09375,6.909324667908044E-5,1000.0,11.086784294012,20.081892933908048,42000.0,7138032.0
43000.0,28.59375,7.013628864014107E-5,1000.0,11.939933144599632,22.751269934387157,43000.0,8063696.0
44000.0,29.203125,7.121801214654826E-5,1000.0,12.071934752516123,20.524386372121665,44000.0,6861736.0
45000.0,29.671875,7.209999887790117E-5,1000.0,13.872770845026503,24.211565071221326,45000.0,7273160.0
46000.0,30.140625,7.322594167716388E-5,1000.0,12.367792801548129,19.230609125659022,46000.0,9284904.0
47000.0,30.671875,7.422147176435425E-5,1000.0,13.192007828538795,21.555668998180487,47000.0,7243656.0
48000.0,31.1875,7.516134717863882E-5,1000.0,14.696572205008591,28.469339097909426,48000.0,7045936.0
49000.0,31.734375,7.609368030292293E-5,1000.0,17.449154574708228,34.634642844073326,49000.0,6590000.0
50000.0,32.25,7.705727291371053E-5,1000.0,16.08809121578954,32.98222723157777,50000.0,7223736.0
