learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.5,4.499322838253445E-7,1000.0,19.649287279619944,38.55225126335035,1000.0,3479856.0
2000.0,0.828125,7.714607313068376E-7,1000.0,23.38030562032109,49.540815488090075,2000.0,3787760.0
3000.0,1.125,1.2167058108995357E-6,1000.0,18.006783428407783,32.28870649893379,3000.0,5797328.0
4000.0,1.40625,1.7551487932602564E-6,1000.0,21.55388963140758,57.88221552294481,4000.0,7400304.0
5000.0,1.8125,2.7950701122689577E-6,1000.0,17.956465571480898,30.398320148064204,5000.0,9894856.0
6000.0,2.578125,4.5496792881749564E-6,1000.0,17.74986696707336,32.25158747587422,6000.0,8858632.0
7000.0,3.125,5.828736207654906E-6,1000.0,18.910418315036356,31.568854351550595,7000.0,9040744.0
8000.0,3.671875,6.846677602475715E-6,1000.0,21.75062583104721,34.92136942976448,8000.0,7195104.0
9000.0,4.203125,7.885276443428461E-6,1000.0,23.73828942369951,39.4141798509973,9000.0,7557032.0
10000.0,6.140625,1.091205592577656E-5,1000.0,26.55550929041512,43.407550259961106,10000.0,6038672.0
11000.0,6.6875,1.199670766557877E-5,1000.0,23.25943152433649,36.29676945157406,11000.0,7666632.0
12000.0,7.125,1.319149208332722E-5,1000.0,23.298138833604916,35.34068805101547,12000.0,1.0556352E7
13000.0,7.78125,1.4540006037956721E-5,1000.0,30.3382157985905,54.47362557718747,13000.0,7943072.0
14000.0,8.234375,1.5536802820861336E-5,1000.0,31.75642743126661,47.44847071953743,14000.0,8503368.0
15000.0,8.78125,1.681148753656695E-5,1000.0,31.634366979710617,46.527271607914926,15000.0,9009840.0
16000.0,9.453125,1.880906160093016E-5,1000.0,27.21781074558973,40.322816571191346,16000.0,1.149256E7
17000.0,10.625,2.196136538663672E-5,1000.0,30.06022381335606,47.88758924742927,17000.0,1.0397984E7
18000.0,11.234375,2.3981870585379916E-5,1000.0,29.33551878313442,40.248952451320186,18000.0,1.2816744E7
19000.0,12.625,2.9655560178475248E-5,1000.0,23.330131217509685,34.43953854542761,19000.0,1.5770952E7
20000.0,16.015625,4.260590076834584E-5,1000.0,17.644583741756275,32.50689135777233,20000.0,1.4763992E7
21000.0,17.203125,4.7538491683856896E-5,1000.0,13.260050905234268,31.202400575852597,21000.0,1.605624E7
22000.0,18.28125,5.2000547972663E-5,1000.0,13.238944265076034,25.229077864429392,22000.0,1.5998096E7
23000.0,19.21875,5.4603530540286256E-5,1000.0,15.238908110864454,32.66796642046816,23000.0,1.0732536E7
24000.0,21.109375,6.0449924591618284E-5,1000.0,14.848171918336742,23.78843151085759,24000.0,1.1953224E7
25000.0,23.0625,6.555434031825927E-5,1000.0,15.169781414682257,25.6358257988508,25000.0,1.0102256E7
26000.0,23.890625,6.724657581394745E-5,1000.0,16.744931664559534,28.915485404663677,26000.0,7898912.0
27000.0,24.46875,6.861047722244015E-5,1000.0,17.206578140000346,27.5103317595354,27000.0,9119344.0
28000.0,25.09375,7.040748223921078E-5,1000.0,17.45358030040703,29.370160371643955,28000.0,1.1114032E7
29000.0,25.859375,7.260193013482625E-5,1000.0,18.41988926891695,35.0578146609967,29000.0,1.107928E7
30000.0,26.53125,7.41045401729126E-5,1000.0,18.669162366246955,29.07837603271581,30000.0,8644904.0
31000.0,27.125,7.531104444448527E-5,1000.0,21.20031130285329,44.55533922625341,31000.0,7854664.0
32000.0,27.671875,7.67488441649928E-5,1000.0,18.748939119627366,29.476713617158453,32000.0,1.0162784E7
33000.0,28.34375,7.858555634609529E-5,1000.0,21.07682126093122,34.599809704554005,33000.0,1.056708E7
34000.0,28.984375,8.024279548812452E-5,1000.0,20.022293904498834,31.734236954823317,34000.0,9999624.0
35000.0,29.640625,8.20225379882484E-5,1000.0,20.20352429873126,32.72186432538532,35000.0,1.0483112E7
36000.0,30.3125,8.375280058114895E-5,1000.0,21.777375454299268,32.84148101591559,36000.0,9954648.0
37000.0,30.96875,8.572167218921502E-5,1000.0,20.393463650461534,30.697959467830586,37000.0,1.1597128E7
38000.0,31.640625,8.82762704148061E-5,1000.0,20.213799658068773,29.04967613556476,38000.0,1.4697264E7
39000.0,32.546875,9.227857847387595E-5,1000.0,19.40908964475478,29.66179913535812,39000.0,1.7071232E7
40000.0,33.5625,9.634705580538141E-5,1000.0,18.963377451257916,28.727814136934768,40000.0,1.5484632E7
41000.0,34.609375,9.872678288957106E-5,1000.0,15.214185120886802,29.35953446945606,41000.0,8786880.0
42000.0,35.21875,1.002034241294799E-4,1000.0,11.316375675308542,20.38685435833961,42000.0,9366832.0
43000.0,35.859375,1.0204196144412792E-4,1000.0,12.116598848722385,23.0989551254494,43000.0,1.109356E7
44000.0,36.640625,1.0434012601359026E-4,1000.0,11.93998531627017,20.392739690627963,44000.0,1.1370864E7
45000.0,37.328125,1.0634790381623643E-4,1000.0,13.64918039812818,24.135399465635704,45000.0,1.1288736E7
46000.0,37.984375,1.0862499643634595E-4,1000.0,12.495639976863039,19.163010006979096,46000.0,1.3412624E7
47000.0,38.875,1.1150832368811183E-4,1000.0,13.21515511912038,21.55556193218361,47000.0,1.2514152E7
48000.0,39.6875,1.1427382527876443E-4,1000.0,14.442400378239194,28.18584628294221,48000.0,1.315688E7
49000.0,40.546875,1.1650664948522015E-4,1000.0,17.034011502709028,34.488302784789354,49000.0,1.0043248E7
50000.0,41.28125,1.1866527664501018E-4,1000.0,15.818511530915965,32.70053090609795,50000.0,1.1362192E7
