learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.421875,2.0198116544634102E-7,1000.0,19.795366179306402,38.049594542825325,1000.0,1851816.0
2000.0,0.78125,4.271841478637523E-7,1000.0,21.600911948547466,47.23826790173065,2000.0,2422304.0
3000.0,1.046875,6.282143618187143E-7,1000.0,18.22708410100452,32.07104629634333,3000.0,2925352.0
4000.0,1.359375,1.058640611720168E-6,1000.0,20.03838355406888,57.01103280362898,4000.0,5324192.0
5000.0,1.6875,1.551282605052822E-6,1000.0,17.477015296313596,30.133381035614317,5000.0,5803560.0
6000.0,2.140625,2.271945219642172E-6,1000.0,17.084956799063967,31.983284479861343,6000.0,6147752.0
7000.0,2.484375,2.8517660232157343E-6,1000.0,18.71587837507285,31.224651031704497,7000.0,6520088.0
8000.0,2.84375,3.559489980236524E-6,1000.0,20.68665167422776,35.10545131060845,8000.0,7612344.0
9000.0,3.28125,4.445535014383495E-6,1000.0,22.6172807149209,40.28307777405437,9000.0,7828528.0
10000.0,4.234375,6.422710300992347E-6,1000.0,25.872815076574447,45.03241694211883,10000.0,8018584.0
11000.0,4.671875,7.454295054129843E-6,1000.0,23.141339272685038,37.33909085348748,11000.0,9114424.0
12000.0,5.125,8.550203120749859E-6,1000.0,23.006404899859128,34.05511188074765,12000.0,9348856.0
13000.0,5.53125,9.547573540152776E-6,1000.0,28.470463058126093,53.79551424679649,13000.0,9489984.0
14000.0,5.984375,1.0678819413038178E-5,1000.0,30.77859888913423,47.562464073015114,14000.0,9650312.0
15000.0,6.578125,1.2174833197301876E-5,1000.0,31.355628752676633,47.84226640860328,15000.0,9739448.0
16000.0,7.390625,1.4246030962870768E-5,1000.0,26.41037840370538,41.044413899326564,16000.0,9853728.0
17000.0,8.109375,1.6104853291633644E-5,1000.0,30.114924913633235,49.45135744467507,17000.0,9996832.0
18000.0,8.9375,1.8462546868249775E-5,1000.0,28.57398949950598,42.0280125925631,18000.0,1.1005096E7
19000.0,9.4375,1.9912041801338397E-5,1000.0,23.165983499670535,35.412127763656194,19000.0,1.120596E7
20000.0,10.03125,2.1784546487550772E-5,1000.0,18.070926987427423,32.06056811109373,20000.0,1.2190504E7
21000.0,10.609375,2.362184666304125E-5,1000.0,13.661280667343478,31.279881019150558,21000.0,1.2284592E7
22000.0,11.21875,2.557122840597812E-5,1000.0,13.272477955951405,24.76401912791486,22000.0,1.2365584E7
23000.0,11.765625,2.7334380978977105E-5,1000.0,15.31540665267542,32.44215783176048,23000.0,1.2462472E7
24000.0,12.359375,2.9263411771454334E-5,1000.0,16.15082505074446,24.0404035392965,24000.0,1.2558504E7
25000.0,12.953125,3.1208494749282385E-5,1000.0,15.382824940361798,25.485398532200687,25000.0,1.2663008E7
26000.0,13.5625,3.335421985765505E-5,1000.0,16.542141772617878,28.109604853752412,26000.0,1.3611056E7
27000.0,14.265625,3.585703286161232E-5,1000.0,16.906168255114007,26.953049812027416,27000.0,1.375936E7
28000.0,15.640625,4.0777822367898706E-5,1000.0,16.97478042657437,28.479642079379918,28000.0,1.3833576E7
29000.0,16.578125,4.4137661688081505E-5,1000.0,17.947733156191077,34.31197832787513,29000.0,1.3853184E7
30000.0,17.4375,4.723953128430164E-5,1000.0,18.485917617974074,28.37816305082571,30000.0,1.3952216E7
31000.0,18.125,4.98710740228287E-5,1000.0,20.11246668882117,40.44436212042789,31000.0,1.4795856E7
32000.0,18.859375,5.270192910554922E-5,1000.0,19.120757481849207,28.870630386634026,32000.0,1.4900544E7
33000.0,19.53125,5.531249839502076E-5,1000.0,19.88647479743876,32.79924016383894,33000.0,1.501928E7
34000.0,20.21875,5.799681051737732E-5,1000.0,19.53668551497957,31.022420797474453,34000.0,1.5092552E7
35000.0,20.890625,6.062909132904476E-5,1000.0,19.673485651001588,32.02190012098673,35000.0,1.5144192E7
36000.0,21.546875,6.320855935983773E-5,1000.0,21.84298214123873,32.32485840431899,36000.0,1.5193688E7
37000.0,22.296875,6.634469189318931E-5,1000.0,20.11655670298794,30.20770378769068,37000.0,1.6163504E7
38000.0,23.015625,6.937061320059E-5,1000.0,20.26371146352654,28.873520299782033,38000.0,1.6273544E7
39000.0,23.796875,7.268189666016648E-5,1000.0,19.331167941503075,29.317598650847486,39000.0,1.6383576E7
40000.0,24.53125,7.581582228239211E-5,1000.0,18.256324056884917,27.353213721356823,40000.0,1.6495792E7
41000.0,25.3125,7.916156952786776E-5,1000.0,14.939282289817651,27.958354975053034,41000.0,1.6554096E7
42000.0,26.09375,8.251408988144247E-5,1000.0,11.300034606921573,19.93851326599204,42000.0,1.6587608E7
43000.0,26.90625,8.600915245349621E-5,1000.0,12.26666900146929,22.574064727135966,43000.0,1.6627768E7
44000.0,27.78125,8.978132371945925E-5,1000.0,11.601743864627105,20.001963563984017,44000.0,1.6664248E7
45000.0,28.5625,9.315949101518423E-5,1000.0,13.781779698107183,23.885240916912522,45000.0,1.6714504E7
46000.0,29.34375,9.672590835382124E-5,1000.0,12.987362092361508,19.14697618843485,46000.0,1.7645928E7
47000.0,30.203125,1.0064921820432773E-4,1000.0,13.566769226896763,21.54705352201555,47000.0,1.7647056E7
48000.0,31.125,1.0441666895834106E-4,1000.0,13.609512626697898,27.699914859317982,48000.0,1.579712E7
49000.0,31.859375,1.0742754009293596E-4,1000.0,15.559928988210535,33.62205029742687,49000.0,1.584808E7
50000.0,32.671875,1.1095153044960976E-4,1000.0,14.99686167528384,31.652854225158176,50000.0,1.6765392E7
