learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,1.5625,3.7908709297577537E-7,1000.0,19.208387409485518,37.91371274706999,1000.0,937824.0
2000.0,3.015625,7.339327324492235E-7,1000.0,21.753263430377295,47.47391213638191,2000.0,943928.0
3000.0,4.125,1.0048363926923935E-6,1000.0,18.4667307162921,32.27139961233932,3000.0,943928.0
4000.0,5.359375,1.306264409019301E-6,1000.0,21.234784220590953,57.25226509251869,4000.0,943928.0
5000.0,6.484375,1.5809836137729383E-6,1000.0,18.209518991677296,30.12967550821482,5000.0,943928.0
6000.0,7.703125,1.8791409092955287E-6,1000.0,18.05387820129759,32.62483274626751,6000.0,945656.0
7000.0,8.875,2.1638345788232976E-6,1000.0,19.517197897142974,32.764599389684506,7000.0,939072.0
8000.0,9.96875,2.4335009705585733E-6,1000.0,21.310143045401556,35.25677767812267,8000.0,953040.0
9000.0,16.03125,3.993680875282734E-6,1000.0,23.661599965621026,40.75596579396185,9000.0,994776.0
10000.0,17.4375,4.341128224041313E-6,1000.0,27.333819844876167,44.95646193040139,10000.0,955056.0
11000.0,18.5,4.6074525905876525E-6,1000.0,26.087406149836667,37.36249560864311,11000.0,968912.0
12000.0,19.734375,4.917272696426759E-6,1000.0,25.360410397109668,36.488241140420676,12000.0,970208.0
13000.0,20.921875,5.22235146490857E-6,1000.0,30.328847188687387,53.9271663195178,13000.0,993072.0
14000.0,22.3125,5.561655755930891E-6,1000.0,33.001045741551835,47.71278425402387,14000.0,943152.0
15000.0,23.5,5.8513987460173675E-6,1000.0,32.71226296143798,47.439774297842284,15000.0,943152.0
16000.0,24.78125,6.161234567924921E-6,1000.0,29.045866834027812,41.160407556565346,16000.0,934760.0
17000.0,25.96875,6.458035948324122E-6,1000.0,30.78379078019272,49.10899059249523,17000.0,966128.0
18000.0,27.0,6.709488386857428E-6,1000.0,30.788766461690777,41.32313094305629,18000.0,942528.0
19000.0,28.140625,6.987775268498809E-6,1000.0,25.33505372655996,35.636554147764556,19000.0,943088.0
20000.0,29.34375,7.281310746394513E-6,1000.0,24.484366133623958,34.52592900614139,20000.0,943088.0
21000.0,30.453125,7.5517965403075035E-6,1000.0,16.18683145210985,32.44728903271956,21000.0,942472.0
22000.0,31.5625,7.822594585983706E-6,1000.0,13.485847369508788,25.1829358908616,22000.0,943560.0
23000.0,32.75,8.112458001253093E-6,1000.0,15.2874078553878,32.83427200900404,23000.0,943544.0
24000.0,33.921875,8.398507424216304E-6,1000.0,15.427490677187453,24.248509501621875,24000.0,943544.0
25000.0,35.046875,8.673114870260988E-6,1000.0,15.174915015150342,25.877341913184075,25000.0,943544.0
26000.0,36.1875,8.951340375157695E-6,1000.0,16.84152924361086,29.303296929913895,26000.0,942880.0
27000.0,37.328125,9.2356823087256E-6,1000.0,17.57524244815537,27.85246261378248,27000.0,963608.0
28000.0,38.421875,9.513051837630986E-6,1000.0,17.62164815321221,29.268045779674267,28000.0,980264.0
29000.0,39.59375,9.794604718788632E-6,1000.0,18.503020646811944,34.358977905580204,29000.0,928712.0
30000.0,40.75,1.0072403561530843E-5,1000.0,18.790854087820485,28.740279905444226,30000.0,928712.0
31000.0,41.875,1.0342694327442184E-5,1000.0,20.16969657577142,42.11840470763593,31000.0,928712.0
32000.0,43.078125,1.0631755285430702E-5,1000.0,18.91680574280703,28.813675595845407,32000.0,928712.0
33000.0,44.1875,1.0898292012926607E-5,1000.0,20.35951762388759,33.714236161603864,33000.0,928712.0
34000.0,45.28125,1.1161079229269592E-5,1000.0,19.969573142323622,31.424972189633383,34000.0,928728.0
35000.0,46.359375,1.1423265160475342E-5,1000.0,20.387089029309536,32.867340110896755,35000.0,940032.0
36000.0,47.5,1.1697309964802118E-5,1000.0,21.76161059589555,32.664550448902354,36000.0,928712.0
37000.0,48.640625,1.1971354769128894E-5,1000.0,20.630548273229454,30.904185552186348,37000.0,928712.0
38000.0,49.921875,1.2279185919194588E-5,1000.0,20.570327047389572,29.086788529269448,38000.0,928712.0
39000.0,51.203125,1.2587017069260281E-5,1000.0,19.809991563031748,29.638890801041835,39000.0,928712.0
40000.0,52.53125,1.290611033457228E-5,1000.0,18.938773780290628,28.451580762307806,40000.0,928712.0
41000.0,53.9375,1.3243973791961457E-5,1000.0,19.33404856333922,30.173091394491973,41000.0,928712.0
42000.0,55.078125,1.3518018596288233E-5,1000.0,16.704819299465335,23.08460661376655,42000.0,928712.0
43000.0,56.203125,1.3788362913247614E-5,1000.0,16.193186726276718,24.06202825115141,43000.0,928896.0
44000.0,57.3125,1.4055126941659387E-5,1000.0,15.172507568809893,21.804224521144118,44000.0,929504.0
45000.0,58.421875,1.4321886378133466E-5,1000.0,16.13617609341221,24.668843168778793,45000.0,929488.0
46000.0,59.515625,1.4584888639445936E-5,1000.0,15.217514791634564,20.70785992707768,46000.0,929488.0
47000.0,60.625,1.4851652667857709E-5,1000.0,15.511621718922088,22.332626738637305,47000.0,929504.0
48000.0,61.734375,1.5118416696269481E-5,1000.0,15.77337599820442,28.186890962363513,48000.0,929504.0
49000.0,62.875,1.5392690483066774E-5,1000.0,17.357348817098288,33.890018445843104,49000.0,929488.0
50000.0,63.984375,1.5659449919540853E-5,1000.0,16.66589729042866,32.81640146745101,50000.0,929488.0
