learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.34375,2.5592162273824214E-7,1000.0,19.905583106097204,37.63654122465111,1000.0,2901712.0
2000.0,0.640625,4.695110449877878E-7,1000.0,22.737184598799296,48.68973394055089,2000.0,2781048.0
3000.0,0.84375,6.952639604504738E-7,1000.0,17.95715823325585,32.37315582544446,3000.0,4296080.0
4000.0,1.125,1.0775998170073662E-6,1000.0,21.529050277575017,57.734044046370755,4000.0,5254784.0
5000.0,1.40625,1.5705808699648415E-6,1000.0,18.25159330671632,30.403055787717438,5000.0,6775480.0
6000.0,1.734375,2.0954178115870394E-6,1000.0,18.02090563063863,32.79527989835959,6000.0,6182832.0
7000.0,2.0625,2.7023559798383054E-6,1000.0,18.87478886335612,31.633690364605833,7000.0,7150024.0
8000.0,2.390625,2.8648138524860973E-6,1000.0,21.97301541467718,35.24045770845649,8000.0,1913832.0
9000.0,2.53125,2.97629636608892E-6,1000.0,24.354511430224346,40.23629365803224,9000.0,3064408.0
10000.0,2.796875,3.0468344791895812E-6,1000.0,26.669377825887377,44.06549151679218,10000.0,1026496.0
11000.0,2.90625,3.114555309164441E-6,1000.0,23.967539554316094,37.0817935101293,11000.0,2393352.0
12000.0,3.109375,3.347367391041997E-6,1000.0,22.81156959941929,35.05000123822743,12000.0,4430416.0
13000.0,3.359375,3.537934616259816E-6,1000.0,29.60783867284112,53.347077772813186,13000.0,2946528.0
14000.0,3.546875,3.6541764792572287E-6,1000.0,31.3969417971777,47.98608629292155,14000.0,2396424.0
15000.0,3.71875,3.799052178187088E-6,1000.0,31.54410741229475,47.23215231561595,15000.0,3258256.0
16000.0,3.875,3.9826317030626035E-6,1000.0,27.18373246534735,40.69831569840376,16000.0,4541576.0
17000.0,4.125,4.219106922391801E-6,1000.0,30.83965673942154,49.11111211296718,17000.0,3656352.0
18000.0,4.296875,4.471189329504138E-6,1000.0,29.12660144194401,40.46538915429555,18000.0,5669336.0
19000.0,4.53125,4.900066770561453E-6,1000.0,23.77092991590988,35.05513886172602,19000.0,7073336.0
20000.0,4.828125,5.540668531062288E-6,1000.0,17.272519320102084,32.15965589336212,20000.0,8340976.0
21000.0,5.25,6.421418834684623E-6,1000.0,13.390858890099476,31.491764894890764,21000.0,8069960.0
22000.0,5.609375,7.063653578774796E-6,1000.0,13.132745477470145,24.71373121665911,22000.0,6907936.0
23000.0,5.953125,7.3110345207775625E-6,1000.0,15.9288851970697,33.47260327961301,23000.0,2781800.0
24000.0,6.078125,7.411110564135014E-6,1000.0,15.055654140324105,24.09113688147577,24000.0,3094728.0
25000.0,6.234375,7.576745313902695E-6,1000.0,15.126465153384066,25.68453436799995,25000.0,4097640.0
26000.0,6.46875,7.719213899690657E-6,1000.0,16.44911284485032,28.81646162890047,26000.0,2349688.0
27000.0,6.640625,7.879610445039968E-6,1000.0,16.798462110236855,27.409335425654756,27000.0,3607320.0
28000.0,6.828125,8.088976804477473E-6,1000.0,17.374660373386615,29.21292316551215,28000.0,4316264.0
29000.0,7.0625,8.28965159598738E-6,1000.0,18.549099686504395,34.853658742025665,29000.0,3309664.0
30000.0,7.203125,8.422747196163983E-6,1000.0,18.834023656976182,29.175818510275654,30000.0,3658504.0
31000.0,7.453125,8.510801158586724E-6,1000.0,21.463946724830244,45.6643065231506,31000.0,1361480.0
32000.0,7.546875,8.586113528710686E-6,1000.0,18.807923468726298,29.37843360776107,32000.0,3105256.0
33000.0,7.703125,8.767126419115811E-6,1000.0,20.77156082056195,34.14022651075667,33000.0,4478080.0
34000.0,7.953125,9.086592827871856E-6,1000.0,19.44509346112059,31.486380647898457,34000.0,4939552.0
35000.0,8.25,9.533635683409455E-6,1000.0,20.54996937221734,33.159662855135764,35000.0,5820736.0
36000.0,8.609375,1.0142774392281555E-5,1000.0,21.560302814328164,32.50023923023941,36000.0,6551952.0
37000.0,8.921875,1.0815272722134573E-5,1000.0,20.523783534516262,30.63229308061719,37000.0,8318472.0
38000.0,9.21875,1.1562671958624074E-5,1000.0,20.302991029259104,29.256817842057846,38000.0,9731536.0
39000.0,9.53125,1.242084108525887E-5,1000.0,19.73795231704146,29.85306652291553,39000.0,1.0615128E7
40000.0,9.9375,1.3252986148775865E-5,1000.0,18.798915281039807,28.396718338871967,40000.0,7917864.0
41000.0,10.296875,1.3527215115674254E-5,1000.0,15.147236865993646,29.017760374138085,41000.0,2949632.0
42000.0,10.484375,1.3698462442132747E-5,1000.0,11.44495563777854,20.597777500472716,42000.0,3530408.0
43000.0,10.65625,1.3914514274802057E-5,1000.0,12.188889364643869,22.908145462456694,43000.0,4859008.0
44000.0,10.921875,1.4296923181973395E-5,1000.0,12.055915644638429,20.466032476147745,44000.0,5564952.0
45000.0,11.15625,1.4513016212731598E-5,1000.0,13.848007144620539,24.38094579635932,45000.0,3563952.0
46000.0,11.34375,1.4738322158033647E-5,1000.0,12.70822485522594,19.262325172259978,46000.0,4644872.0
47000.0,11.578125,1.4951621706131844E-5,1000.0,13.29516333946706,21.514308179601894,47000.0,3517880.0
48000.0,11.765625,1.5151681824742503E-5,1000.0,14.574543516245653,28.35881554235033,48000.0,4124408.0
49000.0,11.984375,1.527192636988022E-5,1000.0,17.433925091809996,34.69432174793641,49000.0,2124808.0
50000.0,12.109375,1.533924857439059E-5,1000.0,15.987357179166448,32.93099841492766,50000.0,2081856.0
