learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes),anomaly detections,change detections,rules (number),Avg #inputs/rule,Avg #outputs/rule
1000.0,0.265625,6.389121861300535E-8,1000.0,19.30889642863413,37.67094396273417,1000.0,943928.0,0.0,0.0,1.0,13.0,1.0
2000.0,0.484375,1.1784622782013482E-7,1000.0,21.512457023036884,47.020238370450386,2000.0,953424.0,0.0,0.0,1.0,13.0,1.0
3000.0,0.640625,1.5667979217444856E-7,1000.0,17.87435831926573,32.07945779854091,3000.0,960704.0,0.0,0.0,1.0,13.0,1.0
4000.0,0.796875,2.719749399046931E-7,1000.0,20.197851211567983,57.000971948106084,4000.0,2852808.0,0.0,0.0,2.0,13.0,1.0
5000.0,1.03125,4.471256721040441E-7,1000.0,17.293462632063193,29.858544141690523,5000.0,2888704.0,2.0,0.0,2.0,13.0,1.0
6000.0,1.1875,5.643853283901182E-7,1000.0,17.308420683906483,31.92869787562474,6000.0,2900888.0,3.0,0.0,2.0,13.0,1.0
7000.0,1.390625,7.173824188713398E-7,1000.0,18.252713110397533,30.90989916928249,7000.0,2911536.0,5.0,0.0,2.0,13.0,1.0
8000.0,1.625,9.468952258531418E-7,1000.0,20.748118817045288,35.11115797985907,8000.0,3785280.0,6.0,0.0,2.0,13.0,1.0
9000.0,1.84375,1.1622684218713807E-6,1000.0,22.55332709552758,40.097758100537185,9000.0,3805800.0,6.0,0.0,2.0,13.0,1.0
10000.0,2.0,1.3165183999161753E-6,1000.0,25.728773200063905,44.65789951056011,10000.0,3815992.0,7.0,0.0,2.0,13.0,1.0
11000.0,2.171875,1.5273874871329302E-6,1000.0,23.365551748454983,37.574455913959774,11000.0,4742448.0,7.0,0.0,3.0,13.0,1.0
12000.0,2.53125,1.9744093232374226E-6,1000.0,22.570389606217343,33.9815650160972,12000.0,4808208.0,8.0,0.0,3.0,13.0,1.0
13000.0,2.71875,2.2085872802159027E-6,1000.0,28.718502764017533,53.78626947338356,13000.0,4827776.0,9.0,0.0,3.0,13.0,1.0
14000.0,2.9375,2.482456782470561E-6,1000.0,30.773800581650136,47.74488757456503,14000.0,4839472.0,9.0,0.0,3.0,13.0,1.0
15000.0,3.140625,2.7370916601891326E-6,1000.0,31.482216043269677,48.428635198521945,15000.0,4845704.0,10.0,0.0,3.0,13.0,1.0
16000.0,3.3125,2.952781376532383E-6,1000.0,26.557856721984646,41.07424368203925,16000.0,4850864.0,10.0,0.0,3.0,13.0,1.0
17000.0,3.515625,3.2078236108645804E-6,1000.0,30.06850159317931,49.246399647032696,17000.0,4853456.0,10.0,0.0,3.0,13.0,1.0
