learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.03125,5.533478947149383E-9,1000.0,19.622156455805985,37.76647686816351,1000.0,684464.0
2000.0,0.109375,1.936717631502284E-8,1000.0,21.797003967222135,47.35824061414184,2000.0,684464.0
3000.0,0.171875,3.0434134209321604E-8,1000.0,18.628652722037906,32.27814019766255,3000.0,684464.0
4000.0,0.21875,3.873435263004568E-8,1000.0,21.27476294873839,57.249394489722874,4000.0,684464.0
5000.0,0.25,4.426783157719506E-8,1000.0,18.226208158495623,30.118213287182126,5000.0,684464.0
6000.0,0.28125,4.9801310524344447E-8,1000.0,17.92135879987069,32.48893051170686,6000.0,684464.0
7000.0,0.3125,5.533478947149383E-8,1000.0,19.223196797071214,32.470426511903085,7000.0,684464.0
8000.0,0.34375,6.086826841864321E-8,1000.0,20.90852242469736,35.29542017629363,8000.0,684464.0
9000.0,0.375,6.640174736579259E-8,1000.0,22.848329075285204,41.15776347837776,9000.0,684464.0
10000.0,0.40625,7.193522631294197E-8,1000.0,25.51598903853836,46.07852759128079,10000.0,684464.0
11000.0,0.421875,7.470196578651666E-8,1000.0,22.70934268508492,37.51328321137992,11000.0,684464.0
12000.0,0.453125,8.023544473366604E-8,1000.0,23.027679345577848,36.979636851254895,12000.0,684464.0
13000.0,0.5,8.853566315439011E-8,1000.0,28.40933680631117,55.03440290314787,13000.0,684464.0
14000.0,0.546875,9.683588157511418E-8,1000.0,30.201761864996467,49.402568029369306,14000.0,684464.0
15000.0,0.578125,1.0236936052226357E-7,1000.0,30.129261602494864,49.10831247443406,15000.0,684464.0
16000.0,0.609375,1.0790283946941295E-7,1000.0,26.487792959973994,41.70524450242989,16000.0,684464.0
17000.0,0.625,1.1066957894298763E-7,1000.0,29.376021378200928,50.3820039377389,17000.0,684464.0
18000.0,0.65625,1.1620305789013702E-7,1000.0,28.29988564082606,42.02115671778158,18000.0,684464.0
19000.0,0.6875,1.217365368372864E-7,1000.0,23.16109131069221,35.58699598486236,19000.0,684464.0
20000.0,0.734375,1.3003675525801047E-7,1000.0,22.161337656072053,33.51060280184599,20000.0,684464.0
21000.0,0.765625,1.3557023420515984E-7,1000.0,19.944832551764765,33.40557361725491,21000.0,684464.0
22000.0,0.796875,1.411037131523092E-7,1000.0,19.55006036710578,27.931876262566632,22000.0,684464.0
23000.0,0.8125,1.438704526258839E-7,1000.0,19.92350131816197,33.942116424582586,23000.0,684464.0
24000.0,0.859375,1.5217067104660798E-7,1000.0,19.56563777352937,26.23015577173797,24000.0,684464.0
25000.0,0.890625,1.5770414999375735E-7,1000.0,19.09480142270954,27.30413067075549,25000.0,684464.0
26000.0,0.9375,1.6600436841448143E-7,1000.0,19.145926095370044,29.644561074128678,26000.0,684464.0
27000.0,0.96875,1.715378473616308E-7,1000.0,19.478743600728464,28.033510220092012,27000.0,684464.0
28000.0,1.03125,1.8260480525592957E-7,1000.0,19.215608985414864,29.384207856233427,28000.0,684464.0
29000.0,1.046875,1.8537154472950425E-7,1000.0,19.50621878463688,34.292841372885775,29000.0,684464.0
30000.0,1.078125,1.9090502367665363E-7,1000.0,19.530377239183892,28.765560910885085,30000.0,684464.0
31000.0,1.109375,1.96438502623803E-7,1000.0,20.826431855190346,42.10176162311512,31000.0,684464.0
32000.0,1.125,1.9920524209737768E-7,1000.0,19.54180618591907,28.895043287804715,32000.0,684464.0
33000.0,1.15625,2.0473872104452705E-7,1000.0,20.804754463043423,33.67432017362254,33000.0,684464.0
34000.0,1.1875,2.1027219999167642E-7,1000.0,20.428974859341906,31.451727955579273,34000.0,684464.0
35000.0,1.234375,2.185724184124005E-7,1000.0,20.742081760505847,32.8590852529397,35000.0,684464.0
36000.0,1.265625,2.2410589735954987E-7,1000.0,22.094842390834852,32.64111469584266,36000.0,684464.0
37000.0,1.296875,2.2963937630669924E-7,1000.0,20.894754558587984,30.888717041025664,37000.0,684464.0
38000.0,1.3125,2.3240611578027393E-7,1000.0,20.73964517403004,29.052319937334442,38000.0,684464.0
39000.0,1.34375,2.379395947274233E-7,1000.0,20.01737430374582,29.615874804409824,39000.0,684464.0
40000.0,1.375,2.4347307367457267E-7,1000.0,19.08677471822975,28.4491228008291,40000.0,684464.0
41000.0,1.40625,2.4900655262172204E-7,1000.0,19.758661608404317,30.37133927222466,41000.0,684464.0
42000.0,1.421875,2.5177329209529673E-7,1000.0,17.596590127638382,23.680104607021153,42000.0,684464.0
43000.0,1.453125,2.573067710424461E-7,1000.0,18.248376170032657,25.22834719575221,43000.0,684464.0
44000.0,1.484375,2.6284024998959547E-7,1000.0,17.22408869280095,22.941970274334157,44000.0,684464.0
45000.0,1.515625,2.6837372893674484E-7,1000.0,18.342431067562195,25.686494783623946,45000.0,684464.0
46000.0,1.546875,2.739072078838942E-7,1000.0,17.28309944689981,21.766965166650344,46000.0,684464.0
47000.0,1.59375,2.8220742630461826E-7,1000.0,17.348498835541612,23.211827297933375,47000.0,684464.0
48000.0,1.625,2.8774090525176763E-7,1000.0,17.43954686144247,28.819814990172393,48000.0,684464.0
49000.0,1.671875,2.960411236724917E-7,1000.0,18.81150987576126,34.07334264768471,49000.0,684464.0
50000.0,1.71875,3.0434134209321575E-7,1000.0,18.152928724750115,33.04764151889047,50000.0,684464.0
