learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes),tree size (leaves)
1000.0,0.046875,8.53139984731873E-9,1000.0,19.533184117534205,37.95309680831493,1000.0,703528.0,4.0
2000.0,0.171875,3.099515904775924E-8,1000.0,21.844196796346026,47.28315374808348,2000.0,694664.0,5.0
3000.0,0.21875,3.952384253756867E-8,1000.0,18.532589942187315,32.313337419483005,3000.0,703304.0,5.0
4000.0,0.265625,4.8148471655117136E-8,1000.0,21.335244342791427,57.40900321366557,4000.0,711216.0,5.0
5000.0,0.3125,5.669044589416848E-8,1000.0,18.21475211006257,30.247451379916466,5000.0,704400.0,6.0
6000.0,0.34375,6.23669863368074E-8,1000.0,18.038200726439094,32.444368242723876,6000.0,702160.0,7.0
7000.0,0.375,6.80241889009873E-8,1000.0,19.453893303287824,32.55912919928137,7000.0,699768.0,8.0
8000.0,0.421875,7.661505757520595E-8,1000.0,21.022312515845105,35.24289430348738,8000.0,708432.0,8.0
9000.0,0.453125,8.221534598204823E-8,1000.0,22.967458998443057,41.1346950588879,9000.0,692728.0,10.0
10000.0,0.5,9.057493621690405E-8,1000.0,27.09136711453707,45.31560292959743,10000.0,689360.0,11.0
11000.0,0.53125,9.61479963734746E-8,1000.0,25.164896024194366,37.04531349341336,11000.0,689360.0,11.0
12000.0,0.5625,1.0172105653004514E-7,1000.0,24.585213584670758,36.401244981364705,12000.0,689360.0,11.0
13000.0,0.609375,1.1008064676490096E-7,1000.0,29.878509092202833,54.02778364959519,13000.0,689360.0,11.0
14000.0,0.65625,1.1844023699975678E-7,1000.0,31.551185680914557,47.977034963294344,14000.0,689360.0,11.0
15000.0,0.6875,1.2401329715632732E-7,1000.0,31.464454124324305,47.69939740763774,15000.0,689360.0,11.0
16000.0,0.71875,1.2958635731289787E-7,1000.0,28.19843076037785,40.99837952069699,16000.0,689360.0,11.0
17000.0,0.734375,1.3237288739118314E-7,1000.0,30.340285944305247,49.13789482084225,17000.0,689360.0,11.0
18000.0,0.75,1.351594174694684E-7,1000.0,29.824789560714617,41.279335993330676,18000.0,689360.0,11.0
19000.0,0.78125,1.4073247762603896E-7,1000.0,25.205950175532845,35.605927160113886,19000.0,689360.0,11.0
20000.0,0.8125,1.463055377826095E-7,1000.0,26.133319369123033,35.492312670365834,20000.0,689360.0,11.0
21000.0,0.84375,1.5187859793918005E-7,1000.0,23.763717992447763,35.3974470549356,21000.0,689360.0,11.0
22000.0,0.875,1.574516580957506E-7,1000.0,22.523349604971788,29.891814957388306,22000.0,689360.0,11.0
23000.0,0.90625,1.6302471825232114E-7,1000.0,22.144239209849562,34.961150103590164,23000.0,689360.0,11.0
24000.0,0.953125,1.7138430848717696E-7,1000.0,21.324062747703664,27.470187566859355,24000.0,689360.0,11.0
25000.0,0.984375,1.769573686437475E-7,1000.0,20.619752446976115,28.19158532023378,25000.0,689360.0,11.0
26000.0,1.03125,1.8531695887860332E-7,1000.0,20.205083413442782,30.13460520079628,26000.0,689360.0,11.0
27000.0,1.09375,1.964630791917444E-7,1000.0,20.39680805400738,28.427866606434087,27000.0,689360.0,11.0
28000.0,1.109375,1.9924960927002968E-7,1000.0,19.955997489579914,29.659716701388046,28000.0,689360.0,11.0
29000.0,1.140625,2.0482266942660023E-7,1000.0,20.075158780832986,34.443800491961035,29000.0,689360.0,11.0
30000.0,1.171875,2.1039572958317077E-7,1000.0,20.066291006665942,28.889645294856823,30000.0,689360.0,11.0
31000.0,1.203125,2.1596878973974132E-7,1000.0,21.347547376273432,42.13223445305076,31000.0,689360.0,11.0
32000.0,1.234375,2.2154184989631186E-7,1000.0,20.061505318215527,29.039787971644902,32000.0,689360.0,11.0
33000.0,1.265625,2.271149100528824E-7,1000.0,21.20062182133021,33.69972238222096,33000.0,689360.0,11.0
34000.0,1.296875,2.3268797020945295E-7,1000.0,20.83015567270587,31.523455216626772,34000.0,689360.0,11.0
35000.0,1.3125,2.3547450028773823E-7,1000.0,21.073295783458278,32.8821720885755,35000.0,689360.0,11.0
36000.0,1.34375,2.4104756044430874E-7,1000.0,22.44467919812657,32.64295887900917,36000.0,689360.0,11.0
37000.0,1.375,2.466206206008793E-7,1000.0,21.206048140487866,30.90223945622606,37000.0,689360.0,11.0
38000.0,1.390625,2.4940715067916456E-7,1000.0,20.978928541201768,29.049692419537568,38000.0,689360.0,11.0
39000.0,1.421875,2.549802108357351E-7,1000.0,20.2667916874363,29.610668267937765,39000.0,689360.0,11.0
40000.0,1.453125,2.6055327099230565E-7,1000.0,19.32442551806836,28.45486150395225,40000.0,689360.0,11.0
