learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.796875,8.091883501037955E-8,1000.0,70.3,40.62707405423126,-112.14285714285714,39.387755102040806,1000.0,392520.0
2000.0,1.484375,1.507311632546286E-7,2000.0,68.2,20.461821674403716,-127.1428571428571,-6.7114093959731225,2000.0,392520.0
3000.0,2.140625,2.1736477113639317E-7,3000.0,60.6,25.371155383315706,-111.82795698924726,4.136253041362534,3000.0,392488.0
4000.0,2.96875,3.0145689379423855E-7,4000.0,66.7,31.117509804895004,-97.04142011834313,14.833759590792853,4000.0,392520.0
5000.0,3.453125,3.506408473994169E-7,5000.0,58.099999999999994,20.780173489529368,-161.87499999999997,-18.361581920903973,5000.0,392504.0
6000.0,3.859375,3.9189190526182453E-7,6000.0,61.5,21.84645365596199,-153.2894736842105,7.89473684210527,6000.0,392504.0
7000.0,4.359375,4.4266036840983565E-7,7000.0,58.4,18.424014715052724,-117.80104712041893,1.1876484560570082,7000.0,392488.0
8000.0,5.015625,5.092994090066188E-7,8000.0,63.5,26.366754085132143,-113.45029239766076,31.261770244821097,8000.0,392520.0
9000.0,5.484375,5.568948432078792E-7,9000.0,61.0,19.557110326391868,-126.74418604651159,17.721518987341767,9000.0,392488.0
10000.0,5.9375,6.029056385159493E-7,10000.0,54.900000000000006,10.280894405983938,-215.38461538461533,7.201646090534986,10000.0,392504.0
11000.0,6.40625,6.505030129725735E-7,11000.0,58.599999999999994,18.749926403918845,-131.28491620111728,17.034068136272538,11000.0,392504.0
12000.0,6.890625,6.996809517861241E-7,12000.0,57.199999999999996,16.892235637696736,-210.14492753623188,4.6770601336302695,12000.0,392456.0
13000.0,7.40625,7.520359294075105E-7,13000.0,58.8,17.823847838487946,-188.1118881118881,16.5991902834008,13000.0,392488.0
14000.0,7.9375,8.059774215022723E-7,14000.0,61.1,22.065953439916658,-296.9387755102042,16.523605150214586,14000.0,392488.0
15000.0,8.4375,8.567500238617261E-7,15000.0,60.3,22.053545483817764,-173.79310344827584,11.777777777777764,15000.0,392520.0
16000.0,8.984375,9.122780304298633E-7,16000.0,50.4,3.6320609915794715,-202.43902439024382,-17.814726840855094,16000.0,392488.0
17000.0,9.53125,9.67801509735485E-7,17000.0,61.3,22.902223284723874,-141.87499999999994,-7.500000000000007,17000.0,392456.0
18000.0,10.046875,1.0201586216377717E-6,18000.0,63.1,29.055379101906475,-165.46762589928053,10.869565217391314,18000.0,392504.0
19000.0,10.5625,1.072511464978258E-6,19000.0,75.1,47.39288430660018,-85.82089552238806,29.859154929577464,19000.0,392472.0
20000.0,11.109375,1.128039471546395E-6,20000.0,60.5,20.97218220813727,-218.5483870967742,23.151750972762645,20000.0,392488.0
21000.0,11.625,1.1803944491677816E-6,21000.0,60.0,20.745625158508734,-118.57923497267755,9.909909909909894,21000.0,392488.0
22000.0,12.109375,1.2295804077035026E-6,22000.0,65.60000000000001,10.483803813806311,-83.95721925133684,-25.547445255474432,22000.0,392520.0
23000.0,12.65625,1.285106150640382E-6,23000.0,56.49999999999999,9.402179346196132,-188.0794701986755,-1.8735362997658094,23000.0,392472.0
24000.0,13.203125,1.3406318935772613E-6,24000.0,57.199999999999996,10.3732493466461,-189.1891891891892,-8.080808080808087,24000.0,392472.0
25000.0,13.71875,1.3929826026368475E-6,25000.0,63.7,26.751309597798105,-212.93103448275863,3.713527851458889,25000.0,392456.0
26000.0,14.234375,1.445337580258234E-6,26000.0,57.4,14.681236280903004,-204.28571428571428,3.619909502262422,26000.0,392488.0
27000.0,14.734375,1.4961081130119665E-6,27000.0,57.199999999999996,6.082682348810666,-300.0000000000001,-4.390243902439028,27000.0,392504.0
28000.0,15.265625,1.5500518040628074E-6,28000.0,63.6,24.084424793526324,-300.0000000000001,11.21951219512196,28000.0,392504.0
29000.0,15.8125,1.6055820742622023E-6,29000.0,61.6,2.560328858890112,-231.03448275862073,-0.7874015748031503,29000.0,392504.0
30000.0,16.34375,1.6595257653130432E-6,30000.0,61.1,11.484690719772809,-260.1851851851853,1.767676767676769,30000.0,392504.0
31000.0,16.90625,1.7166379580481191E-6,31000.0,58.4,7.635604698150475,-179.1946308724832,-9.762532981530352,31000.0,392472.0
32000.0,17.421875,1.7689908013886055E-6,32000.0,57.099999999999994,3.9279795762977554,-197.91666666666669,-2.386634844868737,32000.0,392472.0
33000.0,17.96875,1.824808552757734E-6,33000.0,60.0,14.964178660260623,-241.88034188034192,12.087912087912075,33000.0,394536.0
34000.0,18.5625,1.885410682815645E-6,34000.0,59.099999999999994,-1.1574990106846383,-188.0281690140845,-6.233766233766239,34000.0,394536.0
35000.0,19.140625,1.9444204129589106E-6,35000.0,57.9,4.651900167595235,-245.0819672131148,0.0,35000.0,394552.0
36000.0,19.703125,2.001837613837173E-6,36000.0,74.6,37.928877245801644,-64.93506493506491,16.993464052287592,36000.0,394568.0
37000.0,20.28125,2.0608473439804387E-6,37000.0,70.39999999999999,26.79464413788326,-82.71604938271604,15.669515669515652,37000.0,394552.0
38000.0,20.875,2.1214494740383497E-6,38000.0,77.0,48.67881416821746,-61.97183098591547,32.15339233038348,38000.0,394536.0
39000.0,21.40625,2.1756702335551387E-6,39000.0,64.60000000000001,28.170248685150312,-170.22900763358777,24.358974358974358,39000.0,394520.0
40000.0,22.0,2.236277278926638E-6,40000.0,67.7,35.52533874148656,-121.2328767123287,29.166666666666668,40000.0,394568.0
41000.0,22.578125,2.295289402051519E-6,41000.0,62.1,24.722725394858102,-104.86486486486481,19.18976545842217,41000.0,394568.0
42000.0,23.125,2.351111680683163E-6,42000.0,63.3,27.029069073845797,-130.81761006289304,25.708502024291498,42000.0,394568.0
43000.0,23.71875,2.41171135308428E-6,43000.0,70.6,39.58448924234017,-129.68750000000003,36.225596529284154,43000.0,394520.0
44000.0,24.296875,2.4707186902459302E-6,44000.0,64.7,25.932453754993794,-92.89617486338791,3.814713896457769,44000.0,394536.0
45000.0,24.859375,2.5281312345113195E-6,45000.0,67.5,29.81531710519498,-148.09160305343508,23.3490566037736,45000.0,394536.0
