learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.703125,6.5482163336128E-8,1000.0,50.1,-0.8773703149638157,-256.4285714285714,-1.8367346938775526,1000.0,359992.0
2000.0,1.390625,1.295091674870087E-7,2000.0,70.19999999999999,0.0,-112.85714285714288,0.0,2000.0,359992.0
3000.0,2.140625,1.9935059956171448E-7,3000.0,58.9,0.0,-120.96774193548383,0.0,3000.0,359960.0
4000.0,2.921875,2.721085588240789E-7,4000.0,60.9,0.0,-131.3609467455621,0.0,4000.0,359992.0
5000.0,3.40625,3.172164886362023E-7,5000.0,64.60000000000001,0.0,-121.24999999999994,0.0,5000.0,359976.0
6000.0,3.75,3.492285678577092E-7,6000.0,58.199999999999996,0.0,-174.99999999999997,0.0,6000.0,359976.0
7000.0,4.203125,3.9142443306951063E-7,7000.0,57.9,0.0,-120.41884816753934,0.0,7000.0,359960.0
8000.0,4.859375,4.5254111884989675E-7,8000.0,47.5,0.0,-207.01754385964907,1.1299435028248597,8000.0,359992.0
9000.0,5.28125,4.918269243919187E-7,9000.0,47.4,0.0,-205.81395348837202,-10.970464135021107,9000.0,359960.0
10000.0,5.703125,5.311144761637681E-7,10000.0,50.5,0.0,-246.15384615384613,-1.8518518518518534,10000.0,359976.0
11000.0,6.15625,5.733122169557544E-7,11000.0,51.9,0.0,-168.7150837988826,3.607214428857718,11000.0,359976.0
12000.0,6.625,6.16959231491718E-7,12000.0,55.1,0.0,-225.36231884057963,0.0,12000.0,359928.0
13000.0,7.09375,6.60610126538409E-7,13000.0,50.3,0.0,-247.5524475524475,-0.6072874493927131,13000.0,359960.0
14000.0,7.5625,7.042610215851001E-7,14000.0,49.8,0.0,-412.24489795918385,-7.725321888412025,14000.0,359960.0
15000.0,8.09375,7.537364338835079E-7,15000.0,57.4,0.0,-193.79310344827584,5.333333333333314,15000.0,359992.0
16000.0,8.59375,8.002973885999784E-7,16000.0,57.9,0.0,-156.70731707317069,0.0,16000.0,359960.0
17000.0,9.09375,8.468542041050061E-7,17000.0,64.0,0.0,-124.99999999999996,0.0,17000.0,359928.0
18000.0,9.578125,8.919621339171295E-7,18000.0,58.599999999999994,0.0,-197.84172661870502,0.0,18000.0,359976.0
19000.0,10.0625,9.370660538681678E-7,19000.0,64.5,0.0,-164.92537313432834,0.0,19000.0,359944.0
20000.0,10.5625,9.836270085846384E-7,20000.0,49.2,0.0,-309.6774193548387,1.1673151750972772,20000.0,359960.0
21000.0,11.0625,1.030187963301109E-6,21000.0,55.60000000000001,0.0,-142.62295081967204,0.0,21000.0,359960.0
22000.0,11.5625,1.0767530572290221E-6,22000.0,72.6,0.0,-46.524064171122966,0.0,22000.0,359992.0
23000.0,12.078125,1.1247669074994821E-6,23000.0,57.3,0.0,-182.78145695364236,0.0,23000.0,359944.0
24000.0,12.59375,1.1727807577699421E-6,24000.0,60.4,0.0,-167.56756756756755,0.0,24000.0,359944.0
25000.0,13.078125,1.2178826727904379E-6,25000.0,62.3,0.0,-225.00000000000006,0.0,25000.0,359928.0
26000.0,13.515625,1.2586235081673496E-6,26000.0,55.800000000000004,0.0,-215.71428571428567,0.0,26000.0,359960.0
27000.0,13.921875,1.2964559654291304E-6,27000.0,59.0,0.0,-283.17757009345803,0.0,27000.0,359976.0
28000.0,14.421875,1.3430189897513223E-6,28000.0,59.0,0.0,-350.54945054945074,0.0,28000.0,359976.0
29000.0,14.890625,1.3866718250533772E-6,29000.0,61.9,0.0,-228.44827586206898,0.0,29000.0,359976.0
30000.0,15.359375,1.4303246603554322E-6,30000.0,60.4,0.0,-266.66666666666674,0.0,30000.0,359976.0
31000.0,15.84375,1.4754285803064703E-6,31000.0,62.1,0.0,-154.36241610738253,0.0,31000.0,359944.0
32000.0,16.328125,1.5205325002575084E-6,32000.0,58.099999999999994,0.0,-190.9722222222222,0.0,32000.0,359944.0
33000.0,16.859375,1.5702849810218643E-6,33000.0,54.50000000000001,0.0,-288.88888888888886,0.0,33000.0,362008.0
34000.0,17.375,1.618574153528445E-6,34000.0,61.5,0.0,-171.12676056338026,0.0,34000.0,362008.0
35000.0,17.953125,1.6727189520477418E-6,35000.0,57.9,0.0,-245.0819672131148,0.0,35000.0,362024.0
36000.0,18.5,1.7239392683323883E-6,36000.0,69.39999999999999,0.0,-98.7012987012987,0.0,36000.0,362040.0
37000.0,19.0625,1.7766206939187312E-6,37000.0,64.9,0.0,-116.6666666666666,0.0,37000.0,362024.0
38000.0,19.609375,1.8278364829408623E-6,38000.0,66.10000000000001,0.0,-138.73239436619713,0.0,38000.0,362008.0
39000.0,20.125,1.8761235211665428E-6,39000.0,53.2,0.0,-257.25190839694653,0.0,39000.0,361992.0
40000.0,20.65625,1.9258803998430568E-6,40000.0,44.6,0.0,-279.4520547945205,-21.491228070175445,40000.0,362040.0
41000.0,21.1875,1.9756372785195705E-6,41000.0,46.9,0.0,-187.02702702702695,-13.219616204690842,41000.0,362040.0
42000.0,21.734375,2.0268575948042173E-6,42000.0,49.4,0.0,-218.23899371069174,-2.4291497975708523,42000.0,362040.0
43000.0,22.234375,2.0736813894473015E-6,43000.0,53.5,0.0,-263.28124999999994,-0.8676789587852504,43000.0,361992.0
44000.0,22.765625,2.1234338702116576E-6,44000.0,63.3,0.0,-100.54644808743163,0.0,44000.0,362008.0
45000.0,23.296875,2.1731863509760137E-6,45000.0,57.599999999999994,0.0,-223.66412213740458,0.0,45000.0,362008.0
