learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,1.453125,2.6830181013792755E-7,1000.0,50.1,-0.8773703149638157,-256.4285714285714,-1.8367346938775526,1000.0,713712.0
2000.0,2.96875,5.693133829885887E-7,2000.0,70.19999999999999,0.0,-112.85714285714288,0.0,2000.0,767704.0
3000.0,4.21875,8.356276602070365E-7,3000.0,58.9,0.0,-120.96774193548383,0.0,3000.0,823544.0
4000.0,6.03125,1.242639813830869E-6,4000.0,60.9,0.0,-131.3609467455621,0.0,4000.0,868024.0
5000.0,7.390625,1.5498373411699303E-6,5000.0,64.60000000000001,0.0,-121.24999999999994,0.0,5000.0,873536.0
6000.0,8.796875,1.8676220659270056E-6,6000.0,58.199999999999996,0.0,-174.99999999999997,0.0,6000.0,873520.0
7000.0,10.140625,2.1712885872046983E-6,7000.0,57.9,0.0,-120.41884816753934,0.0,7000.0,873536.0
8000.0,11.5625,2.4926042533479634E-6,8000.0,47.5,0.0,-207.01754385964907,1.1299435028248597,8000.0,873520.0
9000.0,12.859375,2.78569386056107E-6,9000.0,47.4,0.0,-205.81395348837202,-10.970464135021107,9000.0,873584.0
10000.0,14.265625,3.1034844060842366E-6,10000.0,50.5,0.0,-246.15384615384613,-1.8518518518518534,10000.0,873536.0
11000.0,15.65625,3.417738189455122E-6,11000.0,51.9,0.0,-168.7150837988826,3.607214428857718,11000.0,873520.0
12000.0,17.0625,3.7355229142121974E-6,12000.0,55.1,0.0,-225.36231884057963,0.0,12000.0,873520.0
13000.0,18.390625,4.035652932038324E-6,13000.0,50.3,0.0,-247.5524475524475,-0.6072874493927131,13000.0,873520.0
14000.0,19.796875,4.3534376567953994E-6,14000.0,49.8,0.0,-412.24489795918385,-7.725321888412025,14000.0,873520.0
15000.0,21.21875,4.6747533229386645E-6,15000.0,57.4,0.0,-193.79310344827584,5.333333333333314,15000.0,873520.0
16000.0,22.59375,4.98547616492336E-6,16000.0,57.9,0.0,-156.70731707317069,0.0,16000.0,873520.0
17000.0,23.96875,5.296199006908056E-6,17000.0,64.0,0.0,-124.99999999999996,0.0,17000.0,873520.0
18000.0,25.359375,5.6104527902789415E-6,18000.0,58.599999999999994,0.0,-197.84172661870502,0.0,18000.0,873520.0
19000.0,26.640625,5.899989983946499E-6,19000.0,64.5,0.0,-164.92537313432834,0.0,19000.0,873520.0
20000.0,27.890625,6.182475642870284E-6,20000.0,49.2,0.0,-309.6774193548387,1.1673151750972772,20000.0,873552.0
21000.0,29.140625,6.4649561277797655E-6,21000.0,55.60000000000001,0.0,-142.62295081967204,0.0,21000.0,873536.0
22000.0,30.4375,6.758024262833513E-6,22000.0,72.6,0.0,-46.524064171122966,0.0,22000.0,873520.0
23000.0,31.796875,7.065216163432019E-6,23000.0,57.3,0.0,-182.78145695364236,0.0,23000.0,873520.0
24000.0,33.15625,7.372408064030525E-6,24000.0,60.4,0.0,-167.56756756756755,0.0,24000.0,873520.0
25000.0,34.5,7.67608570943897E-6,25000.0,62.3,0.0,-225.00000000000006,0.0,25000.0,873568.0
26000.0,35.875,7.9868142428394E-6,26000.0,55.800000000000004,0.0,-215.71428571428567,0.0,26000.0,873536.0
27000.0,37.21875,8.290486326182469E-6,27000.0,59.0,0.0,-283.17757009345803,0.0,27000.0,873552.0
28000.0,38.53125,8.587096268052443E-6,28000.0,59.0,0.0,-350.54945054945074,0.0,28000.0,873552.0
29000.0,39.859375,8.887231783268768E-6,29000.0,61.9,0.0,-228.44827586206898,0.0,29000.0,873536.0
30000.0,41.296875,9.212078390798223E-6,30000.0,60.4,0.0,-266.66666666666674,0.0,30000.0,873520.0
31000.0,42.578125,9.50161558446578E-6,31000.0,62.1,0.0,-154.36241610738253,0.0,31000.0,873520.0
32000.0,43.9375,9.808813111804841E-6,32000.0,58.099999999999994,0.0,-190.9722222222222,0.0,32000.0,873536.0
33000.0,45.296875,1.0116016265884457E-5,33000.0,54.50000000000001,0.0,-288.88888888888886,0.0,33000.0,873552.0
34000.0,46.625,1.0416157278490978E-5,34000.0,61.5,0.0,-171.12676056338026,0.0,34000.0,873552.0
35000.0,47.984375,1.0723349179089484E-5,35000.0,57.9,0.0,-245.0819672131148,0.0,35000.0,873520.0
36000.0,49.34375,1.103054107968799E-5,36000.0,69.39999999999999,0.0,-98.7012987012987,0.0,36000.0,873520.0
37000.0,50.671875,1.1330671097514116E-5,37000.0,64.9,0.0,-116.6666666666666,0.0,37000.0,873520.0
38000.0,52.0,1.1630806612730441E-5,38000.0,66.10000000000001,0.0,-138.73239436619713,0.0,38000.0,873536.0
39000.0,53.34375,1.193447869607351E-5,39000.0,53.2,0.0,-257.25190839694653,0.0,39000.0,873552.0
40000.0,54.515625,1.2199333254506604E-5,40000.0,44.6,0.0,-279.4520547945205,-21.491228070175445,40000.0,873632.0
41000.0,55.78125,1.2485376177614347E-5,41000.0,46.9,0.0,-187.02702702702695,-13.219616204690842,41000.0,873632.0
42000.0,57.0625,1.277493988810521E-5,42000.0,49.4,0.0,-218.23899371069174,-2.4291497975708523,42000.0,873600.0
43000.0,58.390625,1.3075075403321534E-5,43000.0,53.5,0.0,-263.28124999999994,-0.8676789587852504,43000.0,873536.0
44000.0,59.734375,1.337873636253385E-5,44000.0,63.3,0.0,-100.54644808743163,0.0,44000.0,873520.0
45000.0,60.96875,1.3657680732042838E-5,45000.0,57.599999999999994,0.0,-223.66412213740458,0.0,45000.0,873520.0
