learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,3.65625,7.579284720122815E-6,1000.0,88.9,77.79626977332192,20.71428571428573,77.34693877551021,1000.0,8013408.0
2000.0,6.609375,1.7523917776998132E-5,2000.0,91.8,79.81647763074984,41.42857142857146,72.48322147651008,2000.0,1.3016952E7
3000.0,10.015625,2.8260168199065245E-5,3000.0,91.4,82.0257408111825,53.763440860215084,79.07542579075427,3000.0,1.218368E7
4000.0,12.484375,3.9036612563197395E-5,4000.0,91.7,82.12162464889457,50.88757396449708,78.77237851662406,4000.0,1.6873328E7
5000.0,15.5,5.3656473885186845E-5,5000.0,90.2,77.66025348773594,38.75000000000003,72.31638418079098,5000.0,1.8739944E7
6000.0,18.515625,7.150235689348645E-5,6000.0,89.3,77.7155757712077,29.605263157894758,74.4019138755981,6000.0,2.2875104E7
7000.0,21.9375,9.267984789201162E-5,7000.0,90.60000000000001,80.4268610098907,50.78534031413613,77.67220902612827,7000.0,2.392284E7
8000.0,25.359375,1.1026322295139027E-4,8000.0,91.7,83.37672741838574,51.461988304093595,84.36911487758945,8000.0,1.98628E7
9000.0,28.296875,1.294572425993263E-4,9000.0,92.60000000000001,85.16605994515453,56.976744186046545,84.38818565400845,9000.0,2.5257504E7
10000.0,31.421875,1.5373814149319918E-4,10000.0,92.30000000000001,84.59383753501402,46.15384615384619,84.15637860082306,10000.0,3.0034272E7
11000.0,34.765625,1.8432505309141966E-4,11000.0,92.7,85.35324756623142,59.2178770949721,85.37074148296594,11000.0,3.5359344E7
12000.0,38.765625,2.1103409309742145E-4,12000.0,88.5,76.52102899142508,16.66666666666668,74.38752783964365,12000.0,2.5810752E7
13000.0,42.4375,2.4188319990773582E-4,13000.0,90.7,81.39776773212787,34.96503496503499,81.17408906882592,13000.0,3.2475592E7
14000.0,45.9375,2.7543158419171554E-4,14000.0,92.80000000000001,85.60230363141899,26.530612244897988,84.54935622317598,14000.0,3.7051512E7
15000.0,50.140625,2.867595593367393E-4,15000.0,89.8,78.70492542548395,29.655172413793125,77.33333333333333,15000.0,1.0417952E7
16000.0,53.3125,2.966253727532199E-4,16000.0,88.2,75.62195016134964,28.048780487804898,71.97149643705464,16000.0,1.2023176E7
17000.0,56.640625,3.0539840288434385E-4,17000.0,86.7,70.94293454513677,16.87500000000001,63.05555555555556,17000.0,1.0189488E7
18000.0,59.5,3.16487858880363E-4,18000.0,88.7,76.51957810045465,18.705035971223037,72.70531400966183,18000.0,1.4991376E7
19000.0,62.109375,3.2964012168425444E-4,19000.0,91.9,81.7221770917953,39.55223880597018,77.18309859154931,19000.0,1.9483472E7
20000.0,65.59375,3.4074387409620813E-4,20000.0,89.2,78.42071611253198,12.903225806451623,78.98832684824903,20000.0,1.23182E7
21000.0,69.28125,3.460039652418345E-4,21000.0,84.89999999999999,69.0014780752176,17.48633879781422,65.99099099099098,21000.0,5513960.0
22000.0,71.984375,3.5436864942312235E-4,22000.0,89.60000000000001,73.06369400356388,44.38502673796794,62.04379562043797,22000.0,1.1961504E7
23000.0,75.125,3.589010441404146E-4,23000.0,85.39999999999999,69.52759422443553,3.3112582781456976,65.807962529274,23000.0,5578456.0
24000.0,78.484375,3.6589260203375785E-4,24000.0,83.0,63.11532319655626,-14.864864864864877,57.07070707070706,24000.0,8044848.0
25000.0,81.6875,3.748864787242685E-4,25000.0,85.9,69.4556608841828,-21.551724137931057,62.59946949602122,25000.0,1.085364E7
26000.0,84.984375,3.890888778712703E-4,26000.0,88.2,75.82799364153324,15.714285714285728,73.30316742081448,26000.0,1.6651816E7
27000.0,88.078125,4.026140250951154E-4,27000.0,89.8,78.66287339971551,4.672897196261687,75.12195121951221,27000.0,1.6898928E7
28000.0,91.609375,4.223036320763639E-4,28000.0,87.7,74.18244406196214,-35.1648351648352,70.0,28000.0,2.155316E7
29000.0,95.453125,4.3395350405868753E-4,29000.0,86.1,69.30727174767486,-19.827586206896573,63.51706036745407,29000.0,1.1715704E7
30000.0,98.5,4.4744376151356835E-4,30000.0,87.0,72.09629782265266,-20.37037037037039,67.17171717171718,30000.0,1.7114648E7
31000.0,102.375,4.7078581248772216E-4,31000.0,87.6,72.8763731336101,16.778523489932898,67.28232189973615,31000.0,2.3284648E7
32000.0,106.828125,4.991545602226525E-4,32000.0,86.7,72.41693973205028,7.638888888888895,68.25775656324582,32000.0,2.462508E7
33000.0,111.0625,5.307231107144615E-4,33000.0,89.0,77.58441505512197,5.982905982905988,75.82417582417582,33000.0,2.8818256E7
34000.0,115.40625,5.655584282875576E-4,34000.0,85.2,68.40914427202287,-4.22535211267606,61.55844155844156,34000.0,3.0999688E7
35000.0,119.953125,5.998069913605123E-4,35000.0,86.9,72.65957624430234,-7.377049180327876,68.88361045130641,35000.0,2.9116E7
36000.0,123.734375,6.338643135515868E-4,36000.0,88.5,73.57561051828569,25.324675324675344,62.418300653594784,36000.0,3.4815888E7
37000.0,128.109375,6.459215454459705E-4,37000.0,85.39999999999999,67.22533257308078,9.87654320987655,58.404558404558394,37000.0,1.0653E7
38000.0,131.296875,6.574597582544405E-4,38000.0,86.6,69.83979076917535,5.6338028169014125,60.47197640117994,38000.0,1.3992352E7
39000.0,134.96875,6.7469628534228E-4,39000.0,88.2,76.21121217985937,9.923664122137414,74.78632478632478,39000.0,1.8145304E7
40000.0,138.625,6.978606607946047E-4,40000.0,89.5,78.72892137399013,28.08219178082194,76.97368421052632,40000.0,2.4489904E7
41000.0,142.65625,7.30449769632994E-4,41000.0,90.3,80.52271412966651,47.5675675675676,79.317697228145,41000.0,3.1248928E7
42000.0,146.390625,7.653571740956974E-4,42000.0,91.9,83.8089374665185,49.05660377358494,83.60323886639677,42000.0,3.6132832E7
43000.0,150.6875,7.899052817245115E-4,43000.0,89.4,78.61135212574911,17.187500000000014,77.00650759219089,43000.0,2.2083488E7
44000.0,154.53125,8.033552694703553E-4,44000.0,84.1,63.722483846238084,13.114754098360665,56.67574931880108,44000.0,1.3525992E7
45000.0,157.96875,8.20797160785231E-4,45000.0,90.10000000000001,79.6366688058449,24.427480916030557,76.65094339622642,45000.0,1.9613416E7
