learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,7.859375,4.2792444130302305E-5,1000.0,88.7,77.39620256203042,19.2857142857143,76.93877551020408,1000.0,2.1046992E7
2000.0,13.671875,8.399012181649191E-5,2000.0,92.4,81.18103841049108,45.71428571428575,74.49664429530203,2000.0,2.7397576E7
3000.0,20.5625,1.1505014062600417E-4,3000.0,87.4,73.60670641021882,32.25806451612905,69.34306569343066,3000.0,1.7423904E7
4000.0,26.484375,1.593261073382261E-4,4000.0,91.4,81.57061241283543,49.11242603550299,78.00511508951408,4000.0,2.8900888E7
5000.0,33.0,2.113058686760875E-4,5000.0,89.60000000000001,76.48037920865522,35.00000000000003,70.62146892655367,5000.0,3.08376E7
6000.0,40.25,2.6641632633982225E-4,6000.0,89.60000000000001,78.33297221620361,31.578947368421073,75.11961722488039,6000.0,2.9383152E7
7000.0,47.0625,3.244913510085704E-4,7000.0,87.8,74.57983806106672,36.12565445026176,71.02137767220903,7000.0,3.2952264E7
8000.0,53.453125,3.630544432154339E-4,8000.0,89.3,78.60427914417116,37.42690058479535,79.84934086629002,8000.0,2.3325496E7
9000.0,59.75,4.137868006687818E-4,9000.0,90.60000000000001,81.1843453753523,45.34883720930235,80.16877637130803,9000.0,3.1143136E7
10000.0,66.46875,4.8327027664830284E-4,10000.0,91.8,83.58851195837087,42.65734265734269,83.12757201646092,10000.0,3.997564E7
11000.0,73.265625,5.680648488729881E-4,11000.0,91.9,83.72330420943487,54.74860335195534,83.76753507014028,11000.0,4.8223768E7
12000.0,81.640625,6.539851730081459E-4,12000.0,88.1,75.66382540124013,13.768115942028997,73.49665924276168,12000.0,3.9656416E7
13000.0,90.171875,7.629668365633632E-4,13000.0,88.7,77.3994575869821,20.979020979020994,77.1255060728745,13000.0,4.9379096E7
14000.0,98.953125,9.024867614951088E-4,14000.0,90.7,81.40520654216819,5.102040816326536,80.04291845493563,14000.0,6.1416104E7
15000.0,107.75,0.001028587450887749,15000.0,90.4,79.96995493239861,33.793103448275886,78.66666666666667,15000.0,5.5410416E7
16000.0,117.34375,0.0010802840871878693,16000.0,86.9,72.62346607817568,20.12195121951221,68.88361045130641,16000.0,2.0829376E7
17000.0,124.4375,0.001136187821361495,17000.0,85.1,66.71432401036547,6.875000000000004,58.6111111111111,17000.0,3.0462624E7
18000.0,131.015625,0.0012033084806171246,18000.0,89.7,78.48986308693438,25.899280575539592,75.12077294685992,18000.0,3.9441776E7
19000.0,137.265625,0.001266533318525439,19000.0,91.2,80.25887789667317,34.32835820895525,75.21126760563381,19000.0,3.9103E7
20000.0,144.984375,0.0013172995214699766,20000.0,88.1,76.23574144486692,4.032258064516133,76.84824902723736,20000.0,2.5423192E7
21000.0,151.921875,0.0013443313070456496,21000.0,85.5,70.20580596377025,20.765027322404382,67.34234234234233,21000.0,1.5061704E7
22000.0,158.109375,0.0013855443437932988,22000.0,89.5,72.31859452277257,43.85026737967917,61.67883211678833,22000.0,2.5746712E7
23000.0,165.578125,0.001399786978824219,23000.0,81.8,61.75747515286503,-20.529801324503328,57.377049180327866,23000.0,7371312.0
24000.0,171.734375,0.0014247095797327344,24000.0,82.6,62.55165289256197,-17.56756756756758,56.060606060606055,24000.0,1.5648744E7
25000.0,178.265625,0.0014706641662309667,25000.0,85.0,66.81636174590182,-29.31034482758624,60.21220159151193,25000.0,2.7197872E7
26000.0,185.71875,0.0015442377500261902,26000.0,84.6,68.6323713927227,-10.000000000000007,65.15837104072398,26000.0,3.8158024E7
27000.0,192.984375,0.001628512574405047,27000.0,88.6,76.17056856187291,-6.542056074766362,72.19512195121952,27000.0,4.483604E7
28000.0,201.390625,0.0017241688816122605,28000.0,87.9,74.60224171949122,-32.967032967033006,70.48780487804879,28000.0,4.398592E7
29000.0,210.28125,0.0017648412097413608,29000.0,83.7,64.34508705923527,-40.517241379310384,57.217847769028864,29000.0,1.7683536E7
30000.0,217.5625,0.0018202404632271887,30000.0,87.6,73.50246170678338,-14.81481481481483,68.68686868686868,30000.0,2.941036E7
31000.0,225.171875,0.0018930147924240573,31000.0,86.7,71.04566512243548,10.738255033557055,64.90765171503958,31000.0,3.696848E7
32000.0,233.75,0.001965735406103906,32000.0,83.5,65.82633981459236,-14.583333333333345,60.620525059665866,32000.0,3.2769328E7
33000.0,242.265625,0.0020372867986508123,33000.0,85.6,70.78455639189272,-23.076923076923098,68.35164835164834,33000.0,3.2479096E7
34000.0,250.21875,0.002096476045391884,34000.0,82.5,62.480168088846945,-23.23943661971833,54.54545454545453,34000.0,2.8767848E7
35000.0,257.90625,0.002146936213086721,35000.0,83.7,65.82322008168879,-33.606557377049214,61.28266033254156,35000.0,2.5372656E7
36000.0,265.34375,0.0022173701726327026,36000.0,84.7,64.7812756083862,0.6493506493506498,50.0,36000.0,3.660644E7
37000.0,273.921875,0.002265143957532321,37000.0,84.8,65.64863069114051,6.172839506172844,56.69515669515669,37000.0,2.15278E7
38000.0,281.140625,0.0023231833660975094,38000.0,85.5,67.10168076378552,-2.11267605633803,57.22713864306783,38000.0,3.1078736E7
39000.0,289.625,0.002404843363522862,39000.0,85.9,71.636626971355,-7.633587786259549,69.87179487179486,39000.0,3.7204192E7
40000.0,298.375,0.0025071529408968564,40000.0,88.2,76.1631571292361,19.178082191780838,74.12280701754386,40000.0,4.5197104E7
41000.0,307.1875,0.002641786478278744,41000.0,89.3,78.49868580752506,42.16216216216219,77.18550106609808,41000.0,5.9054976E7
42000.0,315.765625,0.0027909158547926275,42000.0,89.9,79.80920700160728,36.47798742138367,79.55465587044534,42000.0,6.7200608E7
43000.0,326.734375,0.0029301213763473135,43000.0,86.8,73.37260202126157,-3.1250000000000027,71.36659436008676,43000.0,4.905708E7
44000.0,337.515625,0.0030288897467673644,44000.0,82.19999999999999,59.5592411677837,2.7322404371584716,51.49863760217982,44000.0,3.5412056E7
45000.0,346.609375,0.0031165715826338976,45000.0,86.9,73.12180949723421,0.0,69.10377358490565,45000.0,3.7270824E7
