learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,1.1875,3.3300512263344393E-7,1000.0,90.2,80.4,30.00000000000002,80.0,1000.0,1084392.0
2000.0,1.90625,6.946918761564625E-7,2000.0,93.5,84.68613647715173,53.57142857142861,78.18791946308727,2000.0,1945168.0
3000.0,2.671875,1.1302792700007557E-6,3000.0,91.8,82.96316303421912,55.913978494623684,80.04866180048663,3000.0,2199184.0
4000.0,3.265625,1.581325648455984E-6,4000.0,92.5,84.1134006642717,55.62130177514797,80.81841432225065,4000.0,2936432.0
5000.0,4.21875,2.292317189534919E-6,5000.0,90.7,79.3364558244532,41.87500000000003,73.72881355932203,5000.0,2883480.0
6000.0,4.9375,2.9761789483018223E-6,6000.0,88.7,76.90767155760821,25.657894736842124,72.9665071770335,6000.0,3677840.0
7000.0,5.671875,3.6594745405535736E-6,7000.0,90.7,80.75538228501901,51.30890052356021,77.90973871733968,7000.0,3596608.0
8000.0,6.4375,4.6030945830150615E-6,8000.0,91.3,82.56163559831631,49.12280701754389,83.61581920903956,8000.0,4764128.0
9000.0,7.53125,6.208310207714224E-6,9000.0,92.9,85.71233086217028,58.720930232558175,85.0210970464135,9000.0,5673064.0
10000.0,8.34375,7.21300716072114E-6,10000.0,90.60000000000001,81.1981198119812,34.265734265734295,80.65843621399178,10000.0,4779848.0
11000.0,9.109375,8.330441940213657E-6,11000.0,94.0,87.97166123386698,66.48044692737429,87.9759519038076,11000.0,5641680.0
12000.0,10.046875,9.676127390573837E-6,12000.0,89.0,77.59318180892281,20.289855072463784,75.50111358574611,12000.0,5548488.0
13000.0,10.890625,1.0996430808316088E-5,13000.0,90.9,81.80436695193154,36.363636363636395,81.57894736842107,13000.0,6048704.0
14000.0,11.953125,1.2937220647775878E-5,14000.0,93.7,87.3994959798392,35.71428571428575,86.48068669527899,14000.0,7060768.0
15000.0,12.859375,1.3978803472127766E-5,15000.0,89.3,77.54308788837866,26.206896551724157,76.22222222222223,15000.0,4442712.0
16000.0,13.640625,1.4349600824061782E-5,16000.0,89.5,78.30058443759248,35.97560975609759,75.05938242280286,16000.0,1834632.0
17000.0,14.375,1.4738282415136282E-5,17000.0,88.8,75.11995734849832,30.00000000000002,68.88888888888889,17000.0,2045872.0
18000.0,15.03125,1.527217569269447E-5,18000.0,90.7,80.8804059110384,33.093525179856144,77.53623188405798,18000.0,3144760.0
19000.0,15.578125,1.5805576630454098E-5,19000.0,93.30000000000001,85.05731745394533,50.00000000000004,81.1267605633803,19000.0,3770232.0
20000.0,16.296875,1.6510080830711458E-5,20000.0,90.5,81.01640182881991,23.38709677419357,81.51750972762648,20000.0,3788856.0
21000.0,17.09375,1.6987572048997715E-5,21000.0,87.2,73.55896351136964,30.054644808743188,71.17117117117117,21000.0,2316208.0
22000.0,17.765625,1.7337352263792938E-5,22000.0,90.5,74.59159329432029,49.19786096256688,65.32846715328469,22000.0,2012376.0
23000.0,18.484375,1.7729032066805912E-5,23000.0,87.4,73.78178958013409,16.55629139072849,70.49180327868852,23000.0,2106472.0
24000.0,19.28125,1.802649310169121E-5,24000.0,85.8,69.49333150006875,4.054054054054057,64.14141414141415,24000.0,1442920.0
25000.0,20.03125,1.8437282415106895E-5,25000.0,87.6,72.86355181092023,-6.896551724137938,67.10875331564988,25000.0,2117192.0
26000.0,20.625,1.8918308519965246E-5,26000.0,90.10000000000001,79.85889016381437,29.28571428571431,77.60180995475113,26000.0,3131608.0
27000.0,21.359375,1.966328182283582E-5,27000.0,91.5,82.17207097613155,20.560747663551425,79.26829268292684,27000.0,3921256.0
28000.0,22.0625,2.038940202005001E-5,28000.0,89.4,77.8428093645485,-16.483516483516503,74.14634146341464,28000.0,3991888.0
29000.0,22.859375,2.0761313660639444E-5,29000.0,86.8,70.77615865889135,-13.793103448275875,65.35433070866141,29000.0,1804064.0
30000.0,23.453125,2.119803558647012E-5,30000.0,90.0,78.80062410962621,7.407407407407415,74.74747474747475,30000.0,2843176.0
31000.0,24.265625,2.18686395803363E-5,31000.0,88.3,74.14753142069259,21.47651006711411,69.12928759894459,31000.0,3190400.0
32000.0,25.015625,2.221974353435346E-5,32000.0,87.3,73.39311153942847,11.805555555555564,69.68973747016707,32000.0,1809576.0
33000.0,25.6875,2.2702850627764648E-5,33000.0,90.60000000000001,80.97050428163655,19.658119658119677,79.34065934065934,33000.0,2779440.0
34000.0,26.421875,2.3115564351125312E-5,34000.0,89.9,78.64061244342935,28.87323943661974,73.76623376623377,34000.0,2172368.0
35000.0,27.109375,2.3490640030811648E-5,35000.0,88.0,74.89739309427283,1.6393442622950833,71.49643705463184,35000.0,2108864.0
36000.0,27.765625,2.4016060989298344E-5,36000.0,90.9,78.9778135077944,40.90909090909094,70.26143790849675,36000.0,3094856.0
37000.0,28.65625,2.4631886497243416E-5,37000.0,87.2,70.71755711220209,20.98765432098767,63.532763532763525,37000.0,2672792.0
38000.0,29.328125,2.5261161887707816E-5,38000.0,89.2,75.656485968669,23.943661971831006,68.14159292035399,38000.0,3620384.0
39000.0,30.078125,2.6086673800212647E-5,39000.0,89.8,79.49501447410742,22.13740458015269,78.2051282051282,39000.0,4254656.0
40000.0,30.734375,2.682764315977693E-5,40000.0,90.8,81.21866374875472,36.98630136986304,79.82456140350878,40000.0,4364488.0
41000.0,31.515625,2.7735993110885226E-5,41000.0,91.0,81.91703535822353,51.35135135135138,80.81023454157783,41000.0,4494336.0
42000.0,32.1875,2.8655445623573746E-5,42000.0,92.4,84.80729249960021,52.201257861635256,84.61538461538463,42000.0,5289848.0
43000.0,32.875,2.9598794935736808E-5,43000.0,90.2,80.30348708672496,23.437500000000018,78.74186550976138,43000.0,5303984.0
44000.0,33.671875,3.0267273735565448E-5,44000.0,88.7,74.4964746454333,38.251366120218606,69.20980926430518,44000.0,3242648.0
45000.0,34.375,3.098027247081822E-5,45000.0,91.4,82.40416407503193,34.35114503816797,79.71698113207549,45000.0,3919752.0
