learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,2.671875,9.973970009014011E-7,1000.0,89.60000000000001,79.1940078742678,25.714285714285733,78.77551020408163,1000.0,1443376.0
2000.0,5.234375,2.443041173844702E-6,2000.0,93.30000000000001,83.6870246106799,52.14285714285718,77.51677852348995,2000.0,2180720.0
3000.0,7.28125,3.606604877859354E-6,3000.0,92.0,83.35407138606486,56.989247311827995,80.53527980535281,3000.0,2197360.0
4000.0,9.359375,5.07150841359463E-6,4000.0,94.0,87.35495074753314,64.49704142011832,84.65473145780051,4000.0,2724832.0
5000.0,11.453125,6.75099306843347E-6,5000.0,93.0,84.45687894129142,56.25000000000004,80.22598870056498,5000.0,3100656.0
6000.0,12.953125,7.979606226500537E-6,6000.0,91.10000000000001,81.80003762688851,41.44736842105266,78.70813397129187,6000.0,3166112.0
7000.0,15.015625,9.736477966523832E-6,7000.0,90.9,81.10747562656746,52.35602094240838,78.38479809976248,7000.0,3292672.0
8000.0,17.125,1.149376579430989E-5,8000.0,91.4,82.76725778980062,49.707602339181314,83.80414312617704,8000.0,3220264.0
9000.0,19.21875,1.3437157580887692E-5,9000.0,93.60000000000001,87.13040120974229,62.79069767441865,86.49789029535866,9000.0,3587880.0
10000.0,21.390625,1.590166198891691E-5,10000.0,93.2,86.3980957334027,52.44755244755249,86.00823045267491,10000.0,4386288.0
11000.0,23.546875,1.8908303431493953E-5,11000.0,93.8,87.57639515078648,65.36312849162009,87.5751503006012,11000.0,5389952.0
12000.0,26.0,2.212676193772091E-5,12000.0,90.7,81.07571342525517,32.60869565217394,79.28730512249443,12000.0,5071432.0
13000.0,28.296875,2.5635493835175617E-5,13000.0,91.3,82.60125270980491,39.16083916083919,82.38866396761134,13000.0,5904936.0
14000.0,30.546875,2.933713319685517E-5,14000.0,93.0,85.99977599641595,28.571428571428605,84.9785407725322,14000.0,6359368.0
15000.0,32.890625,3.248344644412605E-5,15000.0,90.2,79.59047666650007,32.4137931034483,78.22222222222223,15000.0,5189112.0
16000.0,35.21875,3.402547616537453E-5,16000.0,90.5,80.31577638721976,42.07317073170734,77.43467933491688,16000.0,2560288.0
17000.0,37.34375,3.516477729944098E-5,17000.0,90.9,80.19155420113192,43.12500000000003,74.72222222222223,17000.0,2072440.0
18000.0,39.46875,3.6782751590686126E-5,18000.0,92.80000000000001,85.10821364749488,48.2014388489209,82.60869565217392,18000.0,2943168.0
19000.0,41.578125,3.860142376248001E-5,19000.0,92.80000000000001,83.89009464569396,46.26865671641795,79.71830985915494,19000.0,3332752.0
20000.0,43.90625,4.1119212401099507E-5,20000.0,92.60000000000001,85.2104118700435,40.322580645161324,85.60311284046693,20000.0,4180376.0
21000.0,46.265625,4.179185699386936E-5,21000.0,87.6,74.62012051349227,32.240437158469966,72.07207207207207,21000.0,1102024.0
22000.0,48.484375,4.296697058533836E-5,22000.0,91.4,78.08492854667402,54.0106951871658,68.6131386861314,22000.0,2047264.0
23000.0,50.6875,4.353709386325338E-5,23000.0,86.9,72.88144014043688,13.24503311258279,69.3208430913349,23000.0,1000304.0
24000.0,52.90625,4.450042728826197E-5,24000.0,85.8,69.7098976109215,4.054054054054057,64.14141414141415,24000.0,1678304.0
25000.0,55.140625,4.582185556905137E-5,25000.0,88.4,74.75022311225268,0.0,69.23076923076923,25000.0,2286072.0
26000.0,57.484375,4.760350960875965E-5,26000.0,89.9,79.46169300721485,27.85714285714288,77.14932126696833,26000.0,2938424.0
27000.0,59.734375,4.9844318289413224E-5,27000.0,93.10000000000001,85.6148104907643,35.514018691588824,83.17073170731709,27000.0,3849680.0
28000.0,62.171875,5.282280895496822E-5,28000.0,89.60000000000001,78.34235735110371,-14.285714285714304,74.63414634146342,28000.0,4723392.0
29000.0,64.53125,5.4587243034297396E-5,29000.0,87.3,72.13274468327877,-9.482758620689664,66.66666666666666,29000.0,2890752.0
30000.0,66.9375,5.673899160077175E-5,30000.0,89.8,78.31927628894029,5.555555555555562,74.24242424242425,30000.0,3456632.0
31000.0,69.125,5.912779261254602E-5,31000.0,87.6,72.93368315820263,16.778523489932898,67.28232189973615,31000.0,4221184.0
32000.0,71.4375,6.0780749449299445E-5,32000.0,88.4,76.07921902774399,19.444444444444457,72.31503579952268,32000.0,2763008.0
33000.0,73.6875,6.286344283984768E-5,33000.0,90.9,81.58789252185173,22.222222222222243,80.0,33000.0,3578040.0
34000.0,76.03125,6.553523268343674E-5,34000.0,90.0,78.96463955909884,29.577464788732417,74.02597402597402,34000.0,4406496.0
35000.0,78.390625,6.818792892671709E-5,35000.0,87.3,73.37146595321765,-4.098360655737709,69.83372921615202,35000.0,4346032.0
36000.0,80.921875,7.177548301923607E-5,36000.0,90.2,77.46173093906388,36.363636363636395,67.97385620915034,36000.0,5478552.0
37000.0,83.40625,7.43549593931271E-5,37000.0,88.6,74.61261975494497,29.62962962962965,67.52136752136752,37000.0,4013440.0
38000.0,85.765625,7.646057188847207E-5,38000.0,88.3,74.0608704905821,17.605633802816914,65.48672566371681,38000.0,3449720.0
39000.0,88.078125,7.835124273292928E-5,39000.0,89.0,77.87539422024844,16.03053435114505,76.4957264957265,39000.0,3160360.0
40000.0,90.34375,8.073387195407931E-5,40000.0,93.10000000000001,85.89222477570682,52.7397260273973,84.86842105263159,40000.0,4065096.0
41000.0,92.609375,8.360911293291591E-5,41000.0,92.0,83.92625365175425,56.756756756756786,82.94243070362474,41000.0,4905560.0
42000.0,94.984375,8.695455892140874E-5,42000.0,92.10000000000001,84.20947431541076,50.31446540880506,84.00809716599191,42000.0,5444936.0
43000.0,97.3125,9.070410761826982E-5,43000.0,91.7,83.29711019882477,35.15625000000003,81.99566160520608,43000.0,6225512.0
44000.0,99.765625,9.232453927527078E-5,44000.0,88.0,73.25380798908756,34.42622950819674,67.3024523160763,44000.0,2553368.0
45000.0,101.953125,9.424184853236915E-5,45000.0,91.3,82.18293821780233,33.587786259542014,79.4811320754717,45000.0,3388024.0
