learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,3.078125,1.1591834805181456E-6,1000.0,89.4,78.79185607273193,24.285714285714306,78.36734693877551,1000.0,1456104.0
2000.0,5.234375,2.2213774435739547E-6,2000.0,93.30000000000001,83.75095796591097,52.14285714285718,77.51677852348995,2000.0,1904176.0
3000.0,7.09375,2.8468479609323867E-6,3000.0,92.7,84.94994309841502,60.752688172043044,82.23844282238444,3000.0,1300296.0
4000.0,8.96875,3.628444909635517E-6,4000.0,92.9,84.98841359246293,57.988165680473415,81.84143222506395,4000.0,1611328.0
5000.0,10.921875,4.821750464745694E-6,5000.0,92.80000000000001,84.17693700662812,55.000000000000036,79.66101694915255,5000.0,2361696.0
6000.0,12.84375,6.397533903105391E-6,6000.0,89.60000000000001,78.72549340490296,31.578947368421073,75.11961722488039,6000.0,3169376.0
7000.0,15.875,9.120687544863257E-6,7000.0,91.2,81.843465917297,53.926701570680635,79.09738717339668,7000.0,3472584.0
8000.0,17.84375,1.092077692091051E-5,8000.0,91.2,82.34881155350517,48.53801169590646,83.42749529190208,8000.0,3534320.0
9000.0,19.953125,1.3391591718472126E-5,9000.0,92.30000000000001,84.4984337378504,55.232558139534916,83.75527426160339,9000.0,4527816.0
10000.0,22.171875,1.6448761485258322E-5,10000.0,90.60000000000001,81.20714128631121,34.265734265734295,80.65843621399178,10000.0,5326152.0
11000.0,24.203125,1.9719561840045366E-5,11000.0,93.0,85.97975476588195,60.893854748603395,85.97194388777555,11000.0,6224336.0
12000.0,26.40625,2.1790491171284678E-5,12000.0,88.6,76.73972569199316,17.3913043478261,74.61024498886414,12000.0,3633528.0
13000.0,28.4375,2.4352886183704763E-5,13000.0,91.7,83.39840624699973,41.95804195804199,83.19838056680162,13000.0,4876240.0
14000.0,30.546875,2.7510506269108087E-5,14000.0,93.60000000000001,87.19918074756785,34.69387755102045,86.26609442060087,14000.0,5786400.0
15000.0,32.609375,2.9071216251597633E-5,15000.0,89.1,77.27860186273774,24.82758620689657,75.77777777777777,15000.0,2925032.0
16000.0,34.671875,2.9971814494476545E-5,16000.0,89.8,78.77502777974306,37.804878048780516,75.77197149643706,16000.0,1687872.0
17000.0,36.734375,3.142909722454431E-5,17000.0,88.1,73.6469129240854,25.62500000000002,66.94444444444444,17000.0,2731192.0
18000.0,38.796875,3.3334975919893214E-5,18000.0,92.2,83.86723145145278,43.884892086330964,81.15942028985509,18000.0,3571936.0
19000.0,40.75,3.544510468297327E-5,19000.0,93.0,84.29683469053549,47.761194029850785,80.28169014084509,19000.0,4176200.0
20000.0,42.71875,3.716695073914403E-5,20000.0,91.3,82.62057723655194,29.838709677419384,83.0739299610895,20000.0,3380696.0
21000.0,44.765625,3.843890671204361E-5,21000.0,88.2,75.83710110739794,35.51912568306013,73.42342342342342,21000.0,2402056.0
22000.0,46.734375,3.95918986113328E-5,22000.0,90.2,74.79475730952039,47.59358288770056,64.23357664233578,22000.0,2263800.0
23000.0,48.734375,4.016205015230095E-5,23000.0,87.8,74.67566165023352,19.20529801324505,71.42857142857143,23000.0,1101952.0
24000.0,50.6875,4.0993700191999466E-5,24000.0,86.0,70.42520110863246,5.405405405405409,64.64646464646464,24000.0,1645936.0
25000.0,52.65625,4.225224295320609E-5,25000.0,87.9,73.87173396674585,-4.310344827586212,67.90450928381962,25000.0,2471040.0
26000.0,54.84375,4.418179392814635E-5,26000.0,87.7,74.92886319720182,12.142857142857153,72.17194570135746,26000.0,3409656.0
27000.0,57.140625,4.687453270889818E-5,27000.0,92.30000000000001,83.91073592711773,28.037383177570124,81.21951219512196,27000.0,4531680.0
28000.0,59.265625,4.943665957802699E-5,28000.0,89.2,77.55984042553192,-18.681318681318704,73.65853658536587,28000.0,4660624.0
29000.0,61.421875,5.1680220898965156E-5,29000.0,86.3,69.74889373691695,-18.103448275862085,64.04199475065616,29000.0,4021992.0
30000.0,63.640625,5.414452559004226E-5,30000.0,89.2,77.06422018348624,0.0,72.72727272727273,30000.0,4293272.0
31000.0,65.859375,5.695566851904408E-5,31000.0,87.8,73.42638455070987,18.12080536912753,67.81002638522428,31000.0,4897528.0
32000.0,68.09375,5.9102016643414055E-5,32000.0,87.1,73.44280114628282,10.416666666666675,69.21241050119332,32000.0,3713184.0
33000.0,70.25,6.189324899524863E-5,33000.0,89.1,77.87341155454509,6.8376068376068435,76.04395604395604,33000.0,5003792.0
34000.0,72.578125,6.528545323009084E-5,34000.0,88.6,76.13515041135464,19.718309859154946,70.3896103896104,34000.0,5632200.0
35000.0,74.9375,6.802967597549366E-5,35000.0,86.3,71.29375083813866,-12.295081967213125,67.45843230403801,35000.0,4495984.0
36000.0,77.40625,7.17344986494734E-5,36000.0,90.8,78.87931826112509,40.25974025974029,69.93464052287584,36000.0,5800864.0
37000.0,80.296875,7.618610252393409E-5,37000.0,87.8,72.93880176563228,24.691358024691375,65.24216524216524,37000.0,5952880.0
38000.0,82.796875,8.079876214550394E-5,38000.0,89.0,75.73404513467605,22.53521126760565,67.55162241887905,38000.0,7132040.0
39000.0,85.21875,8.507098342912893E-5,39000.0,89.60000000000001,79.05522974801829,20.61068702290078,77.77777777777779,39000.0,6818744.0
40000.0,87.671875,8.863558682302634E-5,40000.0,90.7,81.06877936374815,36.301369863013726,79.60526315789474,40000.0,5616864.0
41000.0,90.109375,9.288695214005807E-5,41000.0,90.9,81.67731127630616,50.810810810810835,80.59701492537314,41000.0,6741960.0
42000.0,92.71875,9.795420728753217E-5,42000.0,92.80000000000001,85.60345517075902,54.71698113207552,85.42510121457491,42000.0,7506520.0
43000.0,95.296875,1.0160301126436227E-4,43000.0,91.7,83.34403596082839,35.15625000000003,81.99566160520608,43000.0,5470776.0
44000.0,97.625,1.0351588632652743E-4,44000.0,90.7,79.16050445024067,49.180327868852494,74.65940054495913,44000.0,3176016.0
45000.0,99.84375,1.057897220339833E-4,45000.0,91.9,83.4529082024547,38.16793893129774,80.89622641509435,45000.0,3961440.0
