learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,1.453125,5.05071075167507E-7,1000.0,76.5,53.064208163232706,-67.85714285714283,52.04081632653062,1000.0,1343544.0
2000.0,2.796875,1.1538609720042182E-6,2000.0,87.9,70.24658450461793,13.571428571428582,59.39597315436242,2000.0,1866328.0
3000.0,3.984375,1.6211524618686074E-6,3000.0,77.7,53.51338731061397,-19.892473118279522,45.74209245742094,3000.0,1521096.0
4000.0,5.359375,2.2830641117050416E-6,4000.0,89.5,77.23310696536831,37.86982248520713,73.1457800511509,4000.0,1860800.0
5000.0,6.34375,2.863551069620169E-6,5000.0,88.8,74.46886112884107,30.00000000000002,68.36158192090396,5000.0,2279472.0
6000.0,7.296875,3.2799891131516135E-6,6000.0,81.69999999999999,62.45167962049521,-20.394736842105278,56.22009569377989,6000.0,1688896.0
7000.0,8.390625,3.8353461422957486E-6,7000.0,83.6,65.96309901832595,14.136125654450222,61.04513064133016,7000.0,1962712.0
8000.0,9.5625,4.377283718592178E-6,8000.0,83.2,66.30227660214622,1.754385964912282,68.36158192090394,8000.0,1787600.0
9000.0,10.546875,4.880918810764949E-6,9000.0,90.9,81.6684528174178,47.09302325581398,80.80168776371308,9000.0,1977688.0
10000.0,11.6875,5.404776408492278E-6,10000.0,85.8,71.60965271807585,0.6993006993006998,70.78189300411523,10000.0,1775304.0
11000.0,12.640625,5.92077910874246E-6,11000.0,90.4,80.81895087653399,46.36871508379891,80.7615230460922,11000.0,2092688.0
12000.0,13.71875,6.378138528412416E-6,12000.0,81.5,61.99202859843036,-34.057971014492786,58.79732739420934,12000.0,1639800.0
13000.0,14.84375,6.839185112362936E-6,13000.0,81.8,63.60917048903675,-27.272727272727295,63.15789473684209,13000.0,1584144.0
14000.0,15.9375,7.460035784687434E-6,14000.0,89.9,79.79854549527566,-3.0612244897959218,78.32618025751074,14000.0,2194176.0
15000.0,17.0,8.045136217131384E-6,15000.0,83.1,64.21947646107333,-16.55172413793105,62.444444444444436,15000.0,2128648.0
16000.0,18.265625,8.675604638281382E-6,16000.0,80.2,58.3050804627715,-20.731707317073116,52.96912114014254,16000.0,1925576.0
17000.0,19.515625,9.388702811621545E-6,17000.0,77.8,51.82291666666667,-38.74999999999996,38.333333333333336,17000.0,2205168.0
18000.0,20.546875,1.0043007172902841E-5,18000.0,86.8,72.42370558545308,5.035971223021587,68.11594202898551,18000.0,2452552.0
19000.0,21.46875,1.0518486993128642E-5,19000.0,91.2,80.02496878901374,34.32835820895525,75.21126760563381,19000.0,1993712.0
20000.0,22.765625,1.1146123579237612E-5,20000.0,75.6,51.315285404162935,-96.77419354838709,52.52918287937744,20000.0,1870736.0
21000.0,24.0,1.1812550009280031E-5,21000.0,72.6,44.046918904789905,-49.72677595628412,38.28828828828827,21000.0,2086928.0
22000.0,25.109375,1.2427697462650639E-5,22000.0,84.0,57.36153157378586,14.4385026737968,41.60583941605839,22000.0,2143400.0
23000.0,26.171875,1.2957058756405282E-5,23000.0,75.2,46.84567671026179,-64.23841059602647,41.92037470725996,23000.0,1925864.0
24000.0,27.3125,1.3437055588130738E-5,24000.0,73.2,40.67436424169441,-81.08108108108107,32.32323232323232,24000.0,1626664.0
25000.0,28.5,1.388985673353697E-5,25000.0,77.9,52.379310642038945,-90.51724137931033,41.379310344827594,25000.0,1473928.0
26000.0,29.6875,1.427154557960522E-5,26000.0,77.60000000000001,54.52478399272397,-59.999999999999964,49.32126696832579,26000.0,1242448.0
