learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.90625,1.2617590578479898E-7,1000.0,82.1,64.20601338975051,-27.85714285714288,63.469387755102034,1000.0,538184.0
2000.0,1.65625,2.4270764293356075E-7,2000.0,84.1,59.61884250840639,-13.571428571428582,46.644295302013425,2000.0,600600.0
3000.0,2.515625,3.4917802420548266E-7,3000.0,77.2,50.582390858609294,-22.580645161290278,44.525547445255484,3000.0,478904.0
4000.0,3.359375,4.6526389067164726E-7,4000.0,83.6,65.373230128668,2.9585798816568065,58.05626598465472,4000.0,531824.0
5000.0,3.921875,5.355671035229332E-7,5000.0,88.8,75.22737728704392,30.00000000000002,68.36158192090396,5000.0,483120.0
6000.0,4.359375,5.961536468627551E-7,6000.0,78.10000000000001,53.75805538898133,-44.07894736842101,47.607655502392355,6000.0,535304.0
7000.0,5.015625,6.976163907287021E-7,7000.0,84.6,68.12214600057132,19.371727748691065,63.42042755344418,7000.0,597640.0
8000.0,5.703125,7.925107881116369E-7,8000.0,83.5,67.21637194516192,3.508771929824564,68.92655367231639,8000.0,533544.0
9000.0,6.21875,8.570204954594373E-7,9000.0,85.1,70.30807859391814,13.372093023255823,68.56540084388185,9000.0,483608.0
10000.0,6.71875,9.273529414915375E-7,10000.0,86.0,72.03300105875067,2.0979020979020992,71.19341563786008,10000.0,543736.0
11000.0,7.28125,1.006579388760858E-6,11000.0,90.5,81.02307593965739,46.927374301676004,80.96192384769539,11000.0,544440.0
12000.0,7.8125,1.0729680717405345E-6,12000.0,83.6,66.85516109604322,-18.84057971014494,63.47438752783964,12000.0,483056.0
13000.0,8.390625,1.145272011247774E-6,13000.0,78.5,57.08548571246078,-50.34965034965031,56.47773279352227,13000.0,483440.0
14000.0,8.96875,1.216847287853145E-6,14000.0,86.5,72.97989704340029,-37.75510204081637,71.03004291845492,14000.0,478568.0
15000.0,9.5625,1.3000340550206602E-6,15000.0,83.3,65.08058647886853,-15.172413793103459,62.88888888888887,15000.0,541568.0
16000.0,10.1875,1.3974594508504702E-6,16000.0,67.2,25.9001549771149,-99.99999999999993,22.09026128266035,16000.0,602552.0
17000.0,10.84375,1.488471009199404E-6,17000.0,74.7,44.928167174575535,-58.12499999999997,29.722222222222218,17000.0,536080.0
18000.0,11.453125,1.5928627625625167E-6,18000.0,85.2,69.34548467274233,-6.474820143884898,64.25120772946859,18000.0,662192.0
19000.0,12.015625,1.6893442888330256E-6,19000.0,91.4,80.782552345199,35.82089552238809,75.77464788732395,19000.0,663016.0
20000.0,12.65625,1.8187927910023266E-6,20000.0,80.2,60.45567840480604,-59.677419354838676,61.4785992217899,20000.0,781080.0
