learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.9375,4.871246249725421E-5,1000.0,77.4,54.84335038363171,-61.4285714285714,53.87755102040816,1000.0,2.00849696E8
2000.0,2.125,1.105097412235207E-4,2000.0,82.0,57.87305747987267,-28.57142857142859,39.5973154362416,2000.0,2.01158368E8
3000.0,3.40625,1.7728543452297647E-4,3000.0,78.60000000000001,56.313513822485895,-15.053763440860166,47.931873479318746,3000.0,2.01459104E8
4000.0,4.828125,2.5148561153198696E-4,4000.0,79.80000000000001,57.467416250815916,-19.52662721893486,48.337595907928396,4000.0,2.01718576E8
5000.0,6.390625,3.3316903973981324E-4,5000.0,79.4,55.302122932180744,-28.749999999999947,41.807909604519786,5000.0,2.02076728E8
6000.0,8.34375,4.354364640959021E-4,6000.0,79.60000000000001,58.40876841023635,-34.21052631578942,51.19617224880384,6000.0,2.023996E8
7000.0,11.78125,6.188741653588497E-4,7000.0,78.5,56.25350989281094,-12.565445026178024,48.931116389548706,7000.0,2.06275792E8
8000.0,14.03125,7.390590339329922E-4,8000.0,80.0,59.74640233470867,-16.959064327485326,62.33521657250471,8000.0,2.06476032E8
9000.0,16.6875,8.810684806020517E-4,9000.0,80.30000000000001,60.39818917202062,-14.534883720930178,58.43881856540085,9000.0,2.06657256E8
10000.0,21.921875,0.0011603977327467874,10000.0,83.0,66.00067998640026,-18.881118881118898,65.02057613168724,10000.0,2.06278496E8
11000.0,24.453125,0.0012954781687585636,11000.0,78.2,56.409938534014245,-21.787709497206656,56.312625250501,11000.0,2.06281264E8
12000.0,27.359375,0.001450316763172547,12000.0,79.7,58.74352700165028,-47.10144927536228,54.78841870824054,12000.0,2.05943752E8
13000.0,30.34375,0.0016092569705991385,13000.0,83.5,66.99920798099154,-15.384615384615397,66.5991902834008,13000.0,2.05865112E8
14000.0,33.34375,0.0017691658017186759,14000.0,85.5,70.99744777540423,-47.95918367346944,68.88412017167381,14000.0,2.0604096E8
15000.0,37.203125,0.0019750696494722636,15000.0,82.3,64.03579352888109,-22.068965517241395,60.66666666666666,15000.0,2.06229056E8
16000.0,39.921875,0.0021202277452620263,16000.0,81.6,62.35540588646881,-12.19512195121952,56.29453681710213,16000.0,2.06383208E8
17000.0,42.953125,0.0022822391731056593,17000.0,81.8,60.8366328111551,-13.750000000000009,49.44444444444443,17000.0,2.06598072E8
18000.0,47.21875,0.002510081142762728,18000.0,83.0,65.18562207149644,-22.302158273381313,58.93719806763285,18000.0,2.0646832E8
19000.0,50.03125,0.002660477904945664,19000.0,80.5,58.03021824286515,-45.52238805970145,45.07042253521128,19000.0,2.06703736E8
20000.0,52.984375,0.0028185647067665645,20000.0,83.2,66.36340338288058,-35.483870967741964,67.31517509727625,20000.0,2.0692652E8
21000.0,57.375,0.0030530195017086552,21000.0,79.0,57.886799717641026,-14.754098360655684,52.70270270270271,21000.0,2.06412096E8
22000.0,60.15625,0.00320160039428932,22000.0,78.9,48.20052044974715,-12.83422459893043,22.992700729927027,22000.0,2.06502496E8
23000.0,62.96875,0.003352010707215717,23000.0,80.7,60.85129170453071,-27.81456953642379,54.800936768149896,23000.0,2.0672236E8
24000.0,67.859375,0.003613324295600049,24000.0,82.3,63.175327053027516,-19.594594594594607,55.3030303030303,24000.0,2.06538016E8
25000.0,70.46875,0.0037528577409102586,25000.0,85.39999999999999,68.82114012121315,-25.862068965517267,61.273209549071616,25000.0,2.06701768E8
26000.0,73.34375,0.003906586121657812,26000.0,82.19999999999999,64.11695453739092,-27.142857142857164,59.7285067873303,26000.0,2.06689576E8
27000.0,77.9375,0.0041520093295710275,27000.0,84.1,67.12294776890947,-48.598130841121545,61.21951219512195,27000.0,2.06514544E8
28000.0,80.4375,0.0042853414222999075,28000.0,85.5,70.0623528925961,-59.34065934065942,64.63414634146342,28000.0,2.06156512E8
29000.0,82.96875,0.004420320259167866,29000.0,84.3,66.86505424000674,-35.344827586206925,58.79265091863516,29000.0,2.06126112E8
30000.0,85.640625,0.004562666876817175,30000.0,82.5,62.81911819696093,-62.0370370370371,55.808080808080796,30000.0,2.05936528E8
31000.0,90.1875,0.004805603466940942,31000.0,81.6,60.789829222658355,-23.489932885906057,51.45118733509233,31000.0,2.06529592E8
32000.0,92.84375,0.004947784047366846,32000.0,82.89999999999999,64.93659880907465,-18.750000000000014,59.188544152744626,32000.0,2.06906296E8
33000.0,95.671875,0.0050993109747974425,33000.0,84.3,68.31483350151362,-34.18803418803422,65.49450549450549,33000.0,2.07106432E8
34000.0,98.75,0.005264418426344897,34000.0,81.0,59.76025584005762,-33.8028169014084,50.649350649350666,34000.0,2.07339856E8
35000.0,103.1875,0.005501887609651831,35000.0,82.39999999999999,63.94550855269896,-44.26229508196725,58.194774346793345,35000.0,2.06857496E8
36000.0,105.890625,0.005646525343084554,36000.0,80.0,52.47690377523478,-29.87012987012982,34.64052287581702,36000.0,2.06832056E8
37000.0,108.890625,0.005807200261527519,37000.0,79.2,54.70126792893326,-28.39506172839501,40.74074074074075,37000.0,2.07028056E8
38000.0,115.234375,0.006145844192004816,38000.0,81.3,58.12320288076533,-31.690140845070445,44.83775811209437,38000.0,2.06347688E8
39000.0,117.84375,0.006285017410538989,39000.0,82.39999999999999,64.75488625440563,-34.35114503816797,62.393162393162385,39000.0,2.06168136E8
40000.0,120.328125,0.006417449958033913,40000.0,80.10000000000001,59.31235841109649,-36.30136986301365,56.35964912280702,40000.0,2.0605348E8
41000.0,123.140625,0.006567526112420538,41000.0,78.8,57.29818356141207,-14.594594594594543,54.79744136460555,41000.0,2.06263096E8
42000.0,127.40625,0.0067957226475442055,42000.0,79.3,58.5910556680243,-30.18867924528297,58.09716599190284,42000.0,2.06789624E8
43000.0,130.140625,0.00694213463420359,43000.0,83.0,65.88058203712994,-32.81250000000003,63.123644251626885,43000.0,2.06976448E8
44000.0,132.78125,0.007083555237849297,44000.0,79.3,54.957699404658285,-13.114754098360603,43.59673024523162,44000.0,2.07018104E8
45000.0,135.8125,0.007245590705715587,45000.0,79.80000000000001,58.67024585065638,-54.198473282442706,52.35849056603775,45000.0,2.06628728E8
