learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,1.34375,5.128808293698563E-7,1000.0,89.8,79.59216339074206,27.142857142857164,79.18367346938776,1000.0,1475784.0
2000.0,2.1875,1.0407626137344373E-6,2000.0,91.7,80.21944500052432,40.71428571428575,72.14765100671143,2000.0,2418384.0
3000.0,3.109375,1.561734825372696E-6,3000.0,92.10000000000001,83.59252982421162,57.52688172043015,80.7785888077859,3000.0,2184464.0
4000.0,4.109375,2.273813717895084E-6,4000.0,90.3,79.49121293618174,42.603550295858014,75.1918158567775,4000.0,2752520.0
5000.0,5.0,3.101667421611233E-6,5000.0,89.60000000000001,77.02652552706452,35.00000000000003,70.62146892655367,5000.0,3593032.0
6000.0,5.953125,4.138046060688794E-6,6000.0,87.6,74.54885798262755,18.42105263157896,70.33492822966507,6000.0,4203112.0
7000.0,7.3125,5.948447020879637E-6,7000.0,90.2,79.63416306800943,48.69109947643979,76.72209026128267,7000.0,5147992.0
8000.0,8.296875,7.15022945466141E-6,8000.0,89.3,78.52268165395424,37.42690058479535,79.84934086629002,8000.0,4719192.0
9000.0,9.296875,8.645598233367006E-6,9000.0,92.30000000000001,84.48218877719648,55.232558139534916,83.75527426160339,9000.0,5780304.0
10000.0,10.375,9.969275270123035E-6,10000.0,88.6,77.19954399087983,20.279720279720294,76.54320987654322,10000.0,4745864.0
11000.0,11.234375,1.1232659291838191E-5,11000.0,92.9,85.78271177752147,60.335195530726295,85.77154308617236,11000.0,5682704.0
12000.0,12.296875,1.1728570065719798E-5,12000.0,88.2,76.02337517728479,14.492753623188417,73.71937639198218,12000.0,1804168.0
13000.0,13.203125,1.2502023697985956E-5,13000.0,90.2,80.40822854401151,31.46853146853149,80.16194331983806,13000.0,3299048.0
14000.0,14.09375,1.3524525663039337E-5,14000.0,92.80000000000001,85.59976959631355,26.530612244897988,84.54935622317598,14000.0,4437728.0
15000.0,14.984375,1.4091466534106682E-5,15000.0,88.5,76.13097659590366,20.689655172413808,74.44444444444444,15000.0,2460624.0
16000.0,15.875,1.4767250880443801E-5,16000.0,89.8,79.10478336576872,37.804878048780516,75.77197149643706,16000.0,2933024.0
17000.0,16.890625,1.5938886693523576E-5,17000.0,87.4,72.55619445896497,21.250000000000018,65.0,17000.0,4459248.0
18000.0,17.859375,1.7389979232878736E-5,18000.0,90.10000000000001,79.60360954303844,28.776978417266207,76.08695652173914,18000.0,5790096.0
19000.0,18.625,1.8683382141817776E-5,19000.0,91.60000000000001,80.90778916744324,37.313432835820926,76.3380281690141,19000.0,6529992.0
20000.0,19.734375,1.9468922627210204E-5,20000.0,89.0,78.02109974424553,11.290322580645173,78.59922178988327,20000.0,2737000.0
21000.0,20.65625,2.012479988883974E-5,21000.0,86.5,72.20941339218075,26.22950819672133,69.5945945945946,21000.0,2750128.0
22000.0,21.484375,2.0847486545486997E-5,22000.0,88.0,69.49111174388807,35.828877005347614,56.204379562043805,22000.0,3373312.0
23000.0,22.578125,2.148311646629332E-5,23000.0,85.9,70.70507280101057,6.622516556291395,66.97892271662764,23000.0,2246408.0
24000.0,23.53125,2.2112320358347564E-5,24000.0,84.2,66.23700765864332,-6.7567567567567615,60.1010101010101,24000.0,2551784.0
25000.0,24.46875,2.282786713395682E-5,25000.0,86.7,71.00324414832386,-14.65517241379312,64.72148541114058,25000.0,2950320.0
26000.0,25.46875,2.389459159328706E-5,26000.0,89.1,77.78248852434957,22.14285714285716,75.3393665158371,26000.0,4123392.0
27000.0,26.46875,2.5315922296916445E-5,27000.0,91.0,81.22966547092685,15.887850467289736,78.04878048780489,27000.0,5494112.0
28000.0,27.46875,2.6789322210889724E-5,28000.0,85.9,70.51566224750114,-54.94505494505502,65.60975609756098,28000.0,5695384.0
29000.0,28.40625,2.7613554330956606E-5,29000.0,85.3,67.26553662251597,-26.72413793103451,61.41732283464566,29000.0,3398448.0
30000.0,29.3125,2.876420776980619E-5,30000.0,87.9,74.42768741757685,-12.037037037037049,69.44444444444444,30000.0,4907936.0
31000.0,30.4375,2.9585073158765835E-5,31000.0,85.1,67.07677078361705,0.0,60.686015831134554,31000.0,2820472.0
32000.0,31.578125,3.0431479713620827E-5,32000.0,85.0,68.9850673437571,-4.16666666666667,64.20047732696898,32000.0,2868392.0
33000.0,32.671875,3.1697716557472536E-5,33000.0,85.9,71.34612258169403,-20.512820512820532,69.01098901098901,33000.0,4475064.0
34000.0,33.765625,3.320196743718246E-5,34000.0,89.2,77.43465452038194,23.943661971831006,71.94805194805195,34000.0,5316240.0
35000.0,34.859375,3.398618664100974E-5,35000.0,85.9,70.23884906663965,-15.573770491803293,66.5083135391924,35000.0,2771544.0
36000.0,35.75,3.491167506177186E-5,36000.0,88.9,74.35755274027667,27.922077922077943,63.72549019607844,36000.0,4016784.0
37000.0,36.78125,3.563371509598155E-5,37000.0,87.8,72.6495419919204,24.691358024691375,65.24216524216524,37000.0,2706448.0
38000.0,37.765625,3.660089795529429E-5,38000.0,89.0,75.38433996464296,22.53521126760565,67.55162241887905,38000.0,3797960.0
39000.0,38.78125,3.7596096646868525E-5,39000.0,87.8,75.41749951640982,6.8702290076335935,73.93162393162393,39000.0,3787728.0
40000.0,39.75,3.8734698706927404E-5,40000.0,90.60000000000001,80.8357254697286,35.61643835616441,79.3859649122807,40000.0,4543208.0
41000.0,40.640625,4.006355680758134E-5,41000.0,89.7,79.20922383793692,44.32432432432435,78.03837953091684,41000.0,5767480.0
42000.0,41.640625,4.170699552762219E-5,42000.0,90.10000000000001,80.20712543484346,37.7358490566038,79.95951417004049,42000.0,6352664.0
43000.0,42.65625,4.294774954258982E-5,43000.0,89.5,78.89362386427595,17.968750000000018,77.22342733188721,43000.0,4722312.0
44000.0,43.640625,4.334039834146906E-5,44000.0,88.8,74.73733596185338,38.79781420765029,69.48228882833789,44000.0,1541864.0
45000.0,44.546875,4.392485350965419E-5,45000.0,90.4,80.46747835145518,26.71755725190842,77.35849056603774,45000.0,2492904.0
