learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,1.34375,4.990396296812428E-7,1000.0,87.6,75.1928555423962,11.428571428571438,74.6938775510204,1000.0,1435968.0
2000.0,2.296875,1.1014557094313205E-6,2000.0,92.10000000000001,80.72738272978329,43.571428571428605,73.48993288590606,2000.0,2443144.0
3000.0,3.515625,2.085432546058049E-6,3000.0,89.5,78.07914888642077,43.54838709677422,74.45255474452556,3000.0,3120848.0
4000.0,4.375,3.003801167425182E-6,4000.0,92.10000000000001,83.23514931327777,53.254437869822524,79.79539641943735,4000.0,4130824.0
5000.0,5.390625,4.3397395832774535E-6,5000.0,89.3,75.81789746788526,33.12500000000002,69.77401129943503,5000.0,5084584.0
6000.0,6.984375,6.831442685021708E-6,6000.0,91.10000000000001,81.68950335349547,41.44736842105266,78.70813397129187,6000.0,6043360.0
7000.0,8.203125,8.837534017705668E-6,7000.0,92.10000000000001,83.5880304805591,58.63874345549739,81.2351543942993,7000.0,6362656.0
8000.0,9.46875,9.788945511293907E-6,8000.0,90.3,80.57280192269177,43.27485380116961,81.73258003766479,8000.0,2905800.0
9000.0,10.546875,1.0894962081996102E-5,9000.0,93.10000000000001,86.14669247263471,59.8837209302326,85.44303797468356,9000.0,3965472.0
10000.0,11.375,1.1945190684249003E-5,10000.0,93.10000000000001,86.19558258642766,51.74825174825178,85.80246913580248,10000.0,4902192.0
11000.0,12.3125,1.3246300707881648E-5,11000.0,94.6,89.18273564609115,69.83240223463685,89.17835671342684,11000.0,5364696.0
12000.0,13.453125,1.4611555573840935E-5,12000.0,90.60000000000001,80.91579806478072,31.884057971014517,79.06458797327394,12000.0,4626720.0
13000.0,14.328125,1.561182706306378E-5,13000.0,90.10000000000001,80.20475085979365,30.769230769230795,79.95951417004049,13000.0,4418880.0
14000.0,15.09375,1.6661611411513553E-5,14000.0,94.0,88.00019199692804,38.77551020408156,87.1244635193133,14000.0,5300128.0
15000.0,15.953125,1.7678068025917228E-5,15000.0,90.7,80.61385296545515,35.86206896551727,79.33333333333333,15000.0,4572024.0
16000.0,16.9375,1.8226158345997746E-5,16000.0,88.0,74.94707569741078,26.829268292682944,71.49643705463184,16000.0,2152256.0
17000.0,17.71875,1.866657206038427E-5,17000.0,89.60000000000001,77.40309403789327,35.00000000000003,71.11111111111111,17000.0,2179080.0
18000.0,18.453125,1.924216229882505E-5,18000.0,91.3,81.99935445960821,37.41007194244607,78.98550724637681,18000.0,3029688.0
19000.0,19.171875,1.9941498822946515E-5,19000.0,92.4,83.01713928180376,43.283582089552276,78.59154929577466,19000.0,3761064.0
20000.0,20.078125,2.096015455511709E-5,20000.0,91.3,82.61502062218244,29.838709677419384,83.0739299610895,20000.0,4344920.0
21000.0,21.140625,2.153413926458193E-5,21000.0,87.6,74.47971548998946,32.240437158469966,72.07207207207207,21000.0,2088208.0
22000.0,21.828125,2.199653691301743E-5,22000.0,90.10000000000001,74.50792571764052,47.05882352941179,63.86861313868615,22000.0,2599832.0
23000.0,22.65625,2.244601200800389E-5,23000.0,88.5,76.12146078520942,23.841059602649022,73.06791569086651,23000.0,2098032.0
24000.0,23.59375,2.2982787534904976E-5,24000.0,84.6,66.76679787307506,-4.054054054054057,61.11111111111111,24000.0,2213216.0
25000.0,24.4375,2.373344982819011E-5,25000.0,87.9,73.70411258986239,-4.310344827586212,67.90450928381962,25000.0,3439008.0
26000.0,25.390625,2.4898048981817233E-5,26000.0,89.7,79.08459570320433,26.428571428571452,76.69683257918552,26000.0,4723120.0
27000.0,26.3125,2.62157924589701E-5,27000.0,91.8,82.82074918293809,23.364485981308437,80.00000000000001,27000.0,5525368.0
28000.0,27.34375,2.7640121891939392E-5,28000.0,87.8,74.36328486172985,-34.06593406593411,70.2439024390244,28000.0,5338864.0
29000.0,28.296875,2.864799459025057E-5,29000.0,88.4,74.4530530803892,0.0,69.55380577427822,29000.0,4087504.0
30000.0,29.34375,3.007123977618499E-5,30000.0,90.10000000000001,78.83530015392509,8.333333333333343,75.00000000000001,30000.0,5255176.0
31000.0,30.5,3.165571426507086E-5,31000.0,88.8,75.50124024971235,24.83221476510069,70.44854881266491,31000.0,5297072.0
32000.0,31.515625,3.2751631774266974E-5,32000.0,86.6,72.21888203805598,6.94444444444445,68.01909307875896,32000.0,4171064.0
33000.0,32.515625,3.4184808901045474E-5,33000.0,88.5,76.66396103896103,1.7094017094017109,74.72527472527473,33000.0,5539904.0
34000.0,33.609375,3.592643999986144E-5,34000.0,89.0,76.7711962833914,22.53521126760565,71.42857142857143,34000.0,6155176.0
35000.0,34.828125,3.689340875199479E-5,35000.0,87.4,73.48451369335471,-3.2786885245901667,70.07125890736341,35000.0,3066904.0
36000.0,35.75,3.783899188015817E-5,36000.0,90.0,77.04273724035336,35.064935064935085,67.32026143790851,36000.0,3964880.0
37000.0,36.796875,3.8798561209761026E-5,37000.0,87.8,72.27915346896856,24.691358024691375,65.24216524216524,37000.0,3543104.0
38000.0,37.859375,4.0098309174128297E-5,38000.0,88.7,74.83991058148753,20.422535211267622,66.66666666666666,38000.0,4728600.0
39000.0,38.875,4.139980514689039E-5,39000.0,90.7,81.25846391952022,29.007633587786287,80.12820512820514,39000.0,4953496.0
