learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,3.03125,1.243926882226434E-6,1000.0,89.2,78.40207340095351,22.857142857142875,77.9591836734694,1000.0,1595456.0
2000.0,5.9375,3.086341764881379E-6,2000.0,92.0,80.50264189202365,42.8571428571429,73.1543624161074,2000.0,2450512.0
3000.0,8.875,5.190986299162938E-6,3000.0,90.4,79.93571067294792,48.38709677419358,76.64233576642336,3000.0,2769512.0
4000.0,11.421875,7.446147792506963E-6,4000.0,93.0,85.19301956636701,58.57988165680478,82.09718670076728,4000.0,3422728.0
5000.0,13.953125,9.824146109167485E-6,5000.0,91.9,81.69392238223091,49.375000000000036,77.11864406779661,5000.0,3631440.0
6000.0,15.578125,1.171311716057567E-5,6000.0,91.4,82.30073925284425,43.42105263157897,79.42583732057417,6000.0,4493392.0
7000.0,17.625,1.409186296061509E-5,7000.0,91.10000000000001,81.5589905101322,53.403141361256544,78.85985748218528,7000.0,4492200.0
8000.0,19.875,1.638172440127366E-5,8000.0,91.9,83.76428141912207,52.63157894736845,84.74576271186442,8000.0,3933952.0
9000.0,22.1875,1.862699204745392E-5,9000.0,94.1,88.15936293358806,65.69767441860462,87.55274261603374,9000.0,3753088.0
10000.0,24.609375,2.155194511740572E-5,10000.0,93.60000000000001,87.19564651981675,55.24475524475528,86.83127572016463,10000.0,4668416.0
11000.0,26.921875,2.4948337425788247E-5,11000.0,94.0,87.96982832945025,66.48044692737429,87.9759519038076,11000.0,5677256.0
12000.0,29.546875,2.8499915109326447E-5,12000.0,90.5,80.67676085559235,31.1594202898551,78.84187082405344,12000.0,5229912.0
13000.0,31.984375,3.209379928496977E-5,13000.0,92.2,84.40205892822148,45.45454545454549,84.21052631578948,13000.0,5699304.0
14000.0,34.4375,3.618563913429777E-5,14000.0,94.3,88.6000911992704,41.83673469387749,87.76824034334763,14000.0,6447648.0
15000.0,36.84375,3.850272332783789E-5,15000.0,90.7,80.6018839116614,35.86206896551727,79.33333333333333,15000.0,3722232.0
16000.0,39.34375,3.9285970787103815E-5,16000.0,91.10000000000001,81.5589905101322,45.7317073170732,78.85985748218528,16000.0,1211048.0
17000.0,41.640625,4.0685661596297814E-5,17000.0,90.5,79.16849399175511,40.62500000000003,73.61111111111111,17000.0,2355576.0
18000.0,44.0,4.2729807189769225E-5,18000.0,90.7,80.81255725285337,33.093525179856144,77.53623188405798,18000.0,3349016.0
19000.0,46.203125,4.502825600664236E-5,19000.0,93.10000000000001,84.61126722868995,48.5074626865672,80.56338028169016,19000.0,4032720.0
20000.0,48.59375,4.779610071434744E-5,20000.0,90.7,81.42199635631414,25.00000000000002,81.90661478599223,20000.0,4475408.0
21000.0,51.140625,4.89625210239966E-5,21000.0,87.2,73.75328083989501,30.054644808743188,71.17117117117117,21000.0,1770312.0
22000.0,53.328125,4.994760807474248E-5,22000.0,90.8,76.39282341831918,50.80213903743318,66.42335766423359,22000.0,1740720.0
23000.0,55.671875,5.118204219292643E-5,23000.0,87.8,74.5986799641883,19.20529801324505,71.42857142857143,23000.0,2035912.0
24000.0,58.015625,5.2154837725942756E-5,24000.0,85.7,69.37429325292122,3.3783783783783807,63.888888888888886,24000.0,1604400.0
25000.0,60.28125,5.3672552522685804E-5,25000.0,88.6,75.21211040613001,1.7241379310344844,69.76127320954907,25000.0,2589432.0
26000.0,62.65625,5.598901201867396E-5,26000.0,90.2,80.04821003941497,30.00000000000002,77.82805429864254,26000.0,3770192.0
27000.0,65.296875,5.936189493190291E-5,27000.0,93.0,85.312631137222,34.579439252336485,82.9268292682927,27000.0,4937384.0
28000.0,67.90625,6.267421102772157E-5,28000.0,89.0,76.95466353808766,-20.879120879120904,73.17073170731709,28000.0,4906792.0
29000.0,70.625,6.498834874946624E-5,29000.0,88.5,74.66000334928651,0.8620689655172422,69.81627296587926,29000.0,3290200.0
30000.0,73.296875,6.797301932238043E-5,30000.0,90.2,79.29764077604273,9.259259259259268,75.25252525252526,30000.0,4318000.0
31000.0,75.84375,7.047082727593888E-5,31000.0,88.5,74.67071935157041,22.818791946308743,69.65699208443272,31000.0,3791000.0
32000.0,78.328125,7.28803095343109E-5,32000.0,88.7,76.58050503208264,21.527777777777796,73.0310262529833,32000.0,3748944.0
