learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,2.84375,1.3474011535031927E-6,1000.0,89.3,78.59640419590491,23.57142857142859,78.16326530612245,1000.0,1831920.0
2000.0,5.15625,2.840784404219852E-6,2000.0,92.9,82.57600298416627,49.28571428571433,76.17449664429532,2000.0,2496272.0
3000.0,7.359375,4.273561223979211E-6,3000.0,90.60000000000001,80.4699673806902,49.46236559139788,77.12895377128955,3000.0,2513864.0
4000.0,9.5625,6.063459602753735E-6,4000.0,93.30000000000001,85.84718337825622,60.35502958579886,82.86445012787725,4000.0,3140448.0
5000.0,11.71875,7.781943972481207E-6,5000.0,91.10000000000001,80.09607557229374,44.37500000000003,74.85875706214689,5000.0,3080696.0
6000.0,13.890625,9.742315580499254E-6,6000.0,90.9,81.25272968496347,40.13157894736845,78.22966507177036,6000.0,3489040.0
7000.0,16.140625,1.20351386269451E-5,7000.0,91.3,81.9969705246952,54.45026178010471,79.33491686460809,7000.0,3939040.0
8000.0,18.359375,1.4602605790262006E-5,8000.0,92.10000000000001,84.1588129135753,53.801169590643305,85.12241054613938,8000.0,4473000.0
9000.0,20.40625,1.7431785074424825E-5,9000.0,93.60000000000001,87.14921369251282,62.79069767441865,86.49789029535866,9000.0,5342832.0
10000.0,22.5625,2.0876706144513768E-5,10000.0,93.60000000000001,87.2012798720128,55.24475524475528,86.83127572016463,10000.0,6175648.0
11000.0,24.8125,2.501269572854249E-5,11000.0,93.8,87.58395847434885,65.36312849162009,87.5751503006012,11000.0,7105576.0
12000.0,27.0625,2.801493977636306E-5,12000.0,90.2,80.1283949015139,28.985507246376834,78.17371937639199,12000.0,5157816.0
13000.0,29.375,3.184780714541881E-5,13000.0,90.9,81.80654964212883,36.363636363636395,81.57894736842107,13000.0,6406848.0
14000.0,31.25,3.554249573628315E-5,14000.0,93.0,85.99977599641595,28.571428571428605,84.9785407725322,14000.0,7616912.0
15000.0,32.78125,3.87210962556613E-5,15000.0,90.8,80.8518432182224,36.55172413793106,79.55555555555556,15000.0,8024024.0
16000.0,34.4375,3.974732693879762E-5,16000.0,88.9,76.89463955637709,32.31707317073173,73.63420427553444,16000.0,2395088.0
17000.0,35.875,4.09344852475139E-5,17000.0,91.3,80.80487159120996,45.625000000000036,75.83333333333334,17000.0,3192296.0
18000.0,37.5,4.2769707086133876E-5,18000.0,90.8,81.02560718057023,33.8129496402878,77.77777777777779,18000.0,4365536.0
19000.0,39.1875,4.4983154673698463E-5,19000.0,92.10000000000001,82.31237685831991,41.04477611940302,77.74647887323944,19000.0,5070232.0
20000.0,41.046875,4.683363338699565E-5,20000.0,90.5,81.01882932131326,23.38709677419357,81.51750972762648,20000.0,3846976.0
21000.0,43.1875,4.8626989624204326E-5,21000.0,86.9,73.193530432505,28.4153005464481,70.49549549549549,21000.0,3238384.0
22000.0,45.125,5.031919912047064E-5,22000.0,91.10000000000001,77.18907946402027,52.40641711229949,67.51824817518249,22000.0,3376096.0
23000.0,47.140625,5.1721686419720456E-5,23000.0,88.2,75.57997557997558,21.854304635761608,72.36533957845434,23000.0,2689624.0
24000.0,49.203125,5.343292296553652E-5,24000.0,85.39999999999999,69.10340624365138,1.3513513513513522,63.13131313131313,24000.0,3207144.0
25000.0,51.3125,5.5778026677823315E-5,25000.0,88.3,74.81574597051936,-0.8620689655172422,68.96551724137932,25000.0,4297448.0
26000.0,53.515625,5.850807812142496E-5,26000.0,89.9,79.49072005848191,27.85714285714288,77.14932126696833,26000.0,4789984.0
27000.0,55.78125,6.179768634158082E-5,27000.0,92.80000000000001,85.00624739691796,32.71028037383181,82.43902439024392,27000.0,5612528.0
28000.0,58.09375,6.581088880516794E-5,28000.0,90.9,81.14145977535541,0.0,77.8048780487805,28000.0,6708288.0
29000.0,60.421875,6.930482664352488E-5,29000.0,87.4,72.19242839550311,-8.620689655172423,66.92913385826772,29000.0,5801112.0
30000.0,62.796875,7.360441855982773E-5,30000.0,88.7,75.92794573775521,-4.629629629629634,71.46464646464646,30000.0,6997872.0
31000.0,65.1875,7.675497892907717E-5,31000.0,88.2,74.10656683797295,20.805369127516794,68.86543535620054,31000.0,5094232.0
32000.0,67.5,7.842771615186292E-5,32000.0,89.2,77.75864838482481,25.000000000000018,74.22434367541767,32000.0,2796072.0
33000.0,69.84375,8.078157090090423E-5,33000.0,90.2,80.1390268123138,16.239316239316253,78.46153846153847,33000.0,3882136.0
34000.0,72.09375,8.32843326821199E-5,34000.0,89.5,77.8162765148314,26.056338028169034,72.72727272727273,34000.0,4299712.0
35000.0,74.453125,8.601259297898247E-5,35000.0,89.1,77.31095235716309,10.655737704918042,74.10926365795724,35000.0,4469832.0
36000.0,76.71875,8.908305841032417E-5,36000.0,90.0,77.12424281243709,35.064935064935085,67.32026143790851,36000.0,5238640.0
37000.0,79.046875,9.251957173950765E-5,37000.0,87.7,72.69894258343469,24.07407407407409,64.95726495726495,37000.0,5705768.0
38000.0,81.421875,9.661793071750761E-5,38000.0,89.2,76.00479904019195,23.943661971831006,68.14159292035399,38000.0,6670352.0
39000.0,83.921875,1.006853009716401E-4,39000.0,90.2,80.30926509355109,25.190839694656507,79.05982905982907,39000.0,6288920.0
40000.0,86.359375,1.0477219511004581E-4,40000.0,91.3,82.32899750574816,40.41095890410962,80.92105263157895,40000.0,6481136.0
41000.0,88.8125,1.0954539395040939E-4,41000.0,91.0,81.88544354497846,51.35135135135138,80.81023454157783,41000.0,7521288.0
42000.0,91.171875,1.146528159410486E-4,42000.0,92.10000000000001,84.20947431541076,50.31446540880506,84.00809716599191,42000.0,8367720.0
