learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,3.0625,2.3350506348328457E-6,1000.0,88.5,77.00055198675231,17.857142857142872,76.53061224489795,1000.0,2947704.0
2000.0,6.0625,5.506290924838848E-6,2000.0,90.10000000000001,75.60783308859038,29.28571428571431,66.7785234899329,2000.0,4086112.0
3000.0,8.734375,7.873611628181405E-6,3000.0,90.5,80.09287199088044,48.924731182795725,76.88564476885645,3000.0,3424864.0
4000.0,11.015625,1.0380431453490423E-5,4000.0,93.10000000000001,85.43812257302044,59.17159763313613,82.35294117647061,4000.0,4247688.0
5000.0,13.0,1.2755013594869524E-5,5000.0,92.80000000000001,83.97121943400596,55.000000000000036,79.66101694915255,5000.0,4625576.0
6000.0,14.90625,1.5358828402693486E-5,6000.0,91.60000000000001,82.67726927772463,44.73684210526319,79.9043062200957,6000.0,5279984.0
7000.0,16.796875,1.8008695365602357E-5,7000.0,91.4,82.19808153278659,54.9738219895288,79.57244655581948,7000.0,5417776.0
8000.0,18.53125,1.9824078222478013E-5,8000.0,91.8,83.56548752379999,52.04678362573103,84.55743879472693,8000.0,4046016.0
9000.0,20.109375,2.1843433852255758E-5,9000.0,93.60000000000001,87.14652956298201,62.79069767441865,86.49789029535866,9000.0,4946224.0
10000.0,21.75,2.4338350501946277E-5,10000.0,93.8,87.5962788836651,56.64335664335661,87.24279835390945,10000.0,5878264.0
11000.0,23.5,2.7437486246021256E-5,11000.0,94.5,88.9866077149814,69.27374301675975,88.97795591182364,11000.0,6845496.0
12000.0,25.390625,3.095923363515693E-5,12000.0,90.10000000000001,79.88818644260617,28.260869565217412,77.9510022271715,12000.0,7200376.0
13000.0,27.375,3.459898344266952E-5,13000.0,90.3,80.60093115530455,32.167832167832195,80.36437246963564,13000.0,7090064.0
14000.0,29.4375,3.910539377506615E-5,14000.0,93.5,87.0007279592343,33.67346938775514,86.05150214592275,14000.0,8445768.0
15000.0,31.578125,4.2451113953979476E-5,15000.0,90.10000000000001,79.33763555763339,31.72413793103451,78.0,15000.0,6041592.0
16000.0,33.671875,4.368973074532631E-5,16000.0,88.8,76.6941481503061,31.707317073170753,73.39667458432304,16000.0,2286728.0
17000.0,35.640625,4.5443614880140455E-5,17000.0,88.5,74.7208300360503,28.12500000000002,68.05555555555556,17000.0,3443600.0
18000.0,37.546875,4.7585049954553446E-5,18000.0,91.9,83.20491660515383,41.726618705036,80.43478260869567,18000.0,4342376.0
19000.0,39.375,4.9965089613882206E-5,19000.0,92.4,83.10472845297113,43.283582089552276,78.59154929577466,19000.0,5032464.0
20000.0,41.390625,5.2999028024108464E-5,20000.0,91.4,82.81759478294227,30.64516129032261,83.26848249027238,20000.0,5818344.0
21000.0,43.5,5.46747188976345E-5,21000.0,87.4,74.11582960820405,31.147540983606575,71.62162162162163,21000.0,3070736.0
22000.0,45.421875,5.6737677368801094E-5,22000.0,90.5,75.59471818321946,49.19786096256688,65.32846715328469,22000.0,4149232.0
23000.0,47.375,5.769633329085386E-5,23000.0,86.9,72.73310076680349,13.24503311258279,69.3208430913349,23000.0,1897296.0
