learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.9375,1.5274272300302982E-7,1000.0,83.39999999999999,66.83502221653933,-18.571428571428587,66.12244897959184,1000.0,629784.0
2000.0,1.765625,3.078773928185304E-7,2000.0,89.0,74.10887453631348,21.42857142857145,63.08724832214766,2000.0,724128.0
3000.0,2.578125,4.5802340739303164E-7,3000.0,88.1,75.43027980575468,36.02150537634411,71.04622871046229,3000.0,714320.0
4000.0,3.390625,6.14804836610953E-7,4000.0,90.0,78.59048304152162,40.82840236686393,74.42455242966753,4000.0,745888.0
5000.0,3.984375,7.355335401371121E-7,5000.0,87.7,71.75452616495357,23.125000000000014,65.2542372881356,5000.0,785976.0
6000.0,4.390625,8.10527514355878E-7,6000.0,86.0,70.87265524874752,7.894736842105268,66.50717703349282,6000.0,713568.0
7000.0,4.96875,9.204646792366272E-7,7000.0,89.60000000000001,78.40145873224871,45.54973821989528,75.29691211401426,7000.0,735064.0
8000.0,5.703125,1.0500545936843586E-6,8000.0,86.4,72.693504668206,20.467836257309955,74.3879472693032,8000.0,682112.0
9000.0,6.265625,1.1521042647978497E-6,9000.0,90.10000000000001,80.04434589800444,42.44186046511631,79.11392405063292,9000.0,701280.0
10000.0,6.796875,1.244258116154621E-6,10000.0,87.0,73.99427874132309,9.090909090909099,73.25102880658436,10000.0,670528.0
11000.0,7.375,1.353612590012037E-6,11000.0,93.0,85.95623964272676,60.893854748603395,85.97194388777555,11000.0,731168.0
12000.0,8.0,1.4927107905451621E-6,12000.0,86.3,72.23753323390181,0.724637681159421,69.48775055679288,12000.0,860288.0
13000.0,8.640625,1.627953218606611E-6,13000.0,87.1,74.20742826066093,9.790209790209797,73.88663967611336,13000.0,816040.0
14000.0,9.234375,1.759586545328299E-6,14000.0,92.5,85.00083995296265,23.469387755102066,83.90557939914164,14000.0,856968.0
15000.0,9.8125,1.878265272049854E-6,15000.0,87.2,73.30975695197425,11.724137931034493,71.55555555555554,15000.0,793512.0
16000.0,10.5,2.013184550580465E-6,16000.0,86.5,72.04598538936835,17.682926829268304,67.93349168646081,16000.0,758584.0
17000.0,11.140625,2.16521610531749E-6,17000.0,84.7,66.15942670087587,4.3750000000000036,57.49999999999999,17000.0,917344.0
18000.0,11.8125,2.3402515216730533E-6,18000.0,88.8,76.76888357891943,19.42446043165469,72.94685990338165,18000.0,1007024.0
