learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.359375,3.012469581638774E-8,1000.0,85.0,70.0129544036976,-7.142857142857148,69.38775510204081,1000.0,324024.0
2000.0,0.5,4.4289239061375465E-8,2000.0,89.2,74.6278755074425,22.857142857142875,63.75838926174497,2000.0,389352.0
3000.0,0.640625,5.879400608440241E-8,3000.0,85.5,70.34546510581555,22.043010752688186,64.72019464720195,3000.0,398704.0
4000.0,0.875,8.448735267544787E-8,4000.0,86.9,72.803972696019,22.48520710059173,66.49616368286445,4000.0,423752.0
5000.0,1.0625,1.0637925394500297E-7,5000.0,86.9,69.71434384160833,18.125000000000014,62.99435028248587,5000.0,451320.0
6000.0,1.28125,1.3373342678985664E-7,6000.0,83.39999999999999,65.46329122351491,-9.21052631578948,60.28708133971291,6000.0,483368.0
7000.0,1.5625,1.7045896836659977E-7,7000.0,87.7,74.77833643648653,35.60209424083768,70.78384798099762,7000.0,504752.0
8000.0,1.828125,2.0631569592903062E-7,8000.0,79.5,58.54398382204248,-19.883040935672465,61.393596986817336,8000.0,521800.0
9000.0,2.09375,2.3974532571931684E-7,9000.0,89.9,79.7304348524135,41.27906976744189,78.69198312236287,9000.0,486480.0
10000.0,2.3125,2.6680296286940577E-7,10000.0,85.6,71.21899546299443,-0.6993006993006998,70.37037037037037,10000.0,478128.0
11000.0,2.578125,3.0263330295888917E-7,11000.0,89.9,79.86427323981852,43.57541899441343,79.75951903807615,11000.0,521416.0
12000.0,2.796875,3.342584952608579E-7,12000.0,84.7,69.1228466717254,-10.869565217391314,65.92427616926503,12000.0,558840.0
13000.0,3.0,3.59409928528799E-7,13000.0,84.39999999999999,68.79962559550714,-9.090909090909099,68.42105263157893,13000.0,478632.0
14000.0,3.265625,3.9233379842092596E-7,14000.0,88.3,76.59531906381277,-19.38775510204084,74.89270386266095,14000.0,479120.0
15000.0,3.625,4.396833375924164E-7,15000.0,84.1,67.3594403067802,-9.65517241379311,64.66666666666666,15000.0,509296.0
16000.0,3.78125,4.59369815265139E-7,16000.0,86.9,72.8919901004031,20.12195121951221,68.88361045130641,16000.0,487024.0
17000.0,4.0,4.868253987903396E-7,17000.0,83.1,62.85061109645651,-5.6250000000000036,53.05555555555554,17000.0,485160.0
18000.0,4.1875,5.105578262979785E-7,18000.0,85.9,70.80576099649669,-1.4388489208633104,65.94202898550725,18000.0,489264.0
19000.0,4.40625,5.387780644620458E-7,19000.0,90.9,79.93827160493828,32.08955223880599,74.3661971830986,19000.0,498448.0
20000.0,4.640625,5.682941991835832E-7,20000.0,84.1,68.16434406535319,-28.22580645161293,69.06614785992218,20000.0,486800.0
21000.0,4.875,6.008550796347359E-7,21000.0,80.80000000000001,60.934956702910355,-4.918032786885188,56.756756756756765,21000.0,537016.0
22000.0,5.109375,6.334867794066667E-7,22000.0,87.3,68.54286591830062,32.08556149732622,53.649635036496356,22000.0,538184.0
23000.0,5.390625,6.688875146210193E-7,23000.0,75.1,47.24218591090922,-64.9006622516556,41.68618266978923,23000.0,486544.0
24000.0,5.625,7.015842129476368E-7,24000.0,79.2,55.27420353677838,-40.5405405405405,47.47474747474749,24000.0,539256.0
25000.0,5.828125,7.293101063826018E-7,25000.0,81.10000000000001,60.03721402292047,-62.931034482758584,49.86737400530505,25000.0,527624.0
26000.0,6.078125,7.640329163728489E-7,26000.0,76.3,51.87426389960606,-69.28571428571426,46.380090497737555,26000.0,536880.0
27000.0,6.28125,7.886714754729634E-7,27000.0,82.1,62.314202703271704,-67.28971962616829,56.34146341463414,27000.0,468648.0
28000.0,6.53125,8.195142921370764E-7,28000.0,75.7,49.186566852076446,-167.0329670329671,40.73170731707318,28000.0,476888.0
29000.0,6.734375,8.458465971570047E-7,29000.0,80.10000000000001,56.515658733141635,-71.551724137931,47.769028871391086,29000.0,501104.0
30000.0,6.96875,8.759302565724485E-7,30000.0,83.3,64.64381287896751,-54.62962962962968,57.828282828282816,30000.0,496160.0
31000.0,7.21875,9.074358644688294E-7,31000.0,79.2,55.491836603684774,-39.597315436241566,45.118733509234836,31000.0,486912.0
32000.0,7.4375,9.3627950668128E-7,32000.0,76.7,53.18765922223206,-61.80555555555552,44.39140811455849,32000.0,509688.0
33000.0,7.625,9.62318897816456E-7,33000.0,83.39999999999999,66.73413358449729,-41.88034188034192,63.516483516483504,33000.0,536824.0
34000.0,7.859375,9.907067740439541E-7,34000.0,72.6,43.29587549926533,-92.95774647887323,28.83116883116883,34000.0,468192.0
35000.0,8.0625,1.0156984596202772E-6,35000.0,77.0,53.45580527527856,-88.52459016393442,45.36817102137768,35000.0,475592.0
36000.0,8.28125,1.0427728476416735E-6,36000.0,87.6,71.53299417803817,19.480519480519494,59.477124183006545,36000.0,478424.0
37000.0,8.484375,1.0674034193572073E-6,37000.0,75.5,39.00313698152667,-51.23456790123453,30.199430199430193,37000.0,468720.0
38000.0,8.765625,1.1022273166519075E-6,38000.0,82.3,58.00034169213538,-24.64788732394368,47.78761061946901,38000.0,478616.0
39000.0,8.96875,1.1278184764604604E-6,39000.0,81.6,63.04864725917356,-40.458015267175604,60.68376068376067,39000.0,487000.0
40000.0,9.203125,1.157911352088882E-6,40000.0,86.1,71.26270436558801,4.7945205479452095,69.51754385964912,40000.0,496312.0
41000.0,9.4375,1.1880881437617873E-6,41000.0,89.3,78.53612350354655,42.16216216216219,77.18550106609808,41000.0,497696.0
42000.0,9.65625,1.2150959810242058E-6,42000.0,88.3,76.61178765901985,26.41509433962266,76.31578947368422,42000.0,477248.0
43000.0,9.890625,1.244587862553696E-6,43000.0,83.3,66.69325887514958,-30.46875000000003,63.774403470715825,43000.0,486400.0
44000.0,10.125,1.2741369816164179E-6,44000.0,83.3,62.71189468231427,8.74316939890711,54.4959128065395,44000.0,487344.0
45000.0,10.359375,1.3036371092312041E-6,45000.0,78.60000000000001,54.867555255609936,-63.35877862595417,49.52830188679246,45000.0,486536.0
