learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.734375,3.2205975407527555E-8,1000.0,81.10000000000001,62.2353477145392,-34.99999999999995,61.428571428571445,1000.0,169520.0
2000.0,1.21875,5.0646324072861006E-8,2000.0,85.0,62.09900749934305,-7.142857142857148,49.664429530201346,2000.0,147160.0
3000.0,1.734375,7.321314317070775E-8,3000.0,80.2,58.18179514148494,-6.451612903225751,51.82481751824819,3000.0,169176.0
4000.0,2.40625,1.2852788333677582E-7,4000.0,91.3,81.83989045487944,48.52071005917163,77.74936061381075,4000.0,318240.0
5000.0,2.890625,1.474965312000778E-7,5000.0,87.1,70.4559404171896,19.375000000000014,63.559322033898304,5000.0,151376.0
6000.0,3.28125,1.6433956463717752E-7,6000.0,74.7,48.08893412013821,-66.44736842105262,39.47368421052632,6000.0,166672.0
7000.0,3.6875,1.8214302447934947E-7,7000.0,80.30000000000001,58.16770291849286,-3.141361256544506,53.20665083135393,7000.0,169400.0
8000.0,4.109375,2.0263328527410827E-7,8000.0,85.3,70.43443282381335,14.035087719298255,72.31638418079096,8000.0,187744.0
9000.0,4.546875,2.219791834553083E-7,9000.0,86.9,73.73717933296446,23.837209302325597,72.36286919831223,9000.0,170928.0
10000.0,4.953125,2.4206955761959156E-7,10000.0,85.8,71.61078790059777,0.6993006993006998,70.78189300411523,10000.0,191160.0
11000.0,5.375,2.6304352407654126E-7,11000.0,86.5,72.77237707232463,24.581005586592195,72.94589178356713,11000.0,192176.0
12000.0,5.78125,2.808965897808472E-7,12000.0,81.69999999999999,62.13312585872964,-32.60869565217394,59.24276169265031,12000.0,169872.0
13000.0,6.234375,2.987183526986175E-7,13000.0,85.7,71.39244760616802,0.0,71.05263157894737,13000.0,152032.0
14000.0,6.65625,3.152167321079307E-7,14000.0,85.7,71.41212126058551,-45.91836734693883,69.31330472103004,14000.0,151168.0
15000.0,7.125,3.357960506238871E-7,15000.0,82.39999999999999,63.323552947452654,-21.379310344827605,60.88888888888887,15000.0,169704.0
16000.0,7.5625,3.630148583195275E-7,16000.0,84.8,68.45360396820455,7.317073170731712,63.895486935866984,16000.0,240488.0
17000.0,8.03125,3.999466490414407E-7,17000.0,81.3,61.09677956228675,-16.87500000000001,48.05555555555554,17000.0,304552.0
18000.0,8.46875,4.4066756446328424E-7,18000.0,84.8,68.13096496083463,-9.352517985611518,63.285024154589365,18000.0,359784.0
19000.0,8.921875,4.833388892519805E-7,19000.0,87.6,71.28632627069584,7.4626865671641855,65.07042253521126,19000.0,364016.0
20000.0,9.375,5.009627784602343E-7,20000.0,78.0,55.96900217753299,-77.41935483870965,57.19844357976655,20000.0,150344.0
21000.0,9.828125,5.250011519011523E-7,21000.0,75.4,48.852295409181636,-34.426229508196684,44.59459459459459,21000.0,205064.0
22000.0,10.203125,5.395965288496678E-7,22000.0,86.0,61.77036001398113,25.13368983957221,48.9051094890511,22000.0,150448.0
23000.0,10.578125,5.523502154068813E-7,23000.0,72.0,40.360308933599725,-85.43046357615893,34.42622950819672,23000.0,131464.0
24000.0,11.0,5.708663633817598E-7,24000.0,70.19999999999999,36.376989820318364,-101.35135135135135,24.74747474747474,24000.0,169656.0
25000.0,11.4375,5.857456643651755E-7,25000.0,71.7,38.5637374088225,-143.96551724137936,24.933687002652512,25000.0,131464.0
26000.0,11.78125,5.974650007879566E-7,26000.0,72.1,43.6641332353345,-99.28571428571429,36.877828054298625,26000.0,131784.0
27000.0,12.21875,6.1461427119664E-7,27000.0,75.6,48.138071756504,-128.03738317757012,40.48780487804879,27000.0,151520.0
28000.0,12.6875,6.400044528870945E-7,28000.0,81.3,61.61898115840893,-105.49450549450563,54.39024390243902,28000.0,209376.0
29000.0,13.078125,6.572064335664939E-7,29000.0,78.9,51.470601764538124,-81.89655172413791,44.619422572178486,29000.0,170224.0
30000.0,13.515625,6.744534928455119E-7,30000.0,77.10000000000001,49.65528157866968,-112.03703703703705,42.17171717171718,30000.0,152384.0
31000.0,13.984375,6.975260395039285E-7,31000.0,80.10000000000001,55.934455270150586,-33.557046979865724,47.49340369393141,31000.0,190264.0
32000.0,14.390625,7.134528843582503E-7,32000.0,74.0,44.30043488506609,-80.55555555555554,37.947494033412895,32000.0,151544.0
33000.0,14.84375,7.336322515685524E-7,33000.0,71.1,40.220089359589586,-147.00854700854705,36.48351648351647,33000.0,172144.0
34000.0,15.265625,7.644174103107716E-7,34000.0,68.8,38.86548447144115,-119.71830985915494,18.96103896103895,34000.0,282072.0
35000.0,15.734375,7.988957481251822E-7,35000.0,81.3,61.30383319675862,-53.27868852459021,55.58194774346793,35000.0,284320.0
36000.0,16.1875,8.433076113255487E-7,36000.0,83.3,63.20191790722476,-8.441558441558447,45.424836601307184,36000.0,378864.0
37000.0,16.640625,8.610130882718495E-7,37000.0,77.8,45.25736436402374,-37.037037037036995,36.75213675213676,37000.0,151040.0
38000.0,17.09375,8.810892985719772E-7,38000.0,80.60000000000001,56.52427245386868,-36.61971830985911,42.77286135693216,38000.0,171264.0
39000.0,17.546875,8.965196967538858E-7,39000.0,68.0,34.145538360223924,-144.2748091603053,31.62393162393163,39000.0,131632.0
40000.0,18.03125,9.130353120983473E-7,40000.0,72.3,41.95451916548619,-89.72602739726027,39.25438596491227,40000.0,131800.0
41000.0,18.5,9.415299023708533E-7,41000.0,78.4,56.097739440083586,-16.756756756756708,53.94456289978679,41000.0,234976.0
42000.0,18.90625,9.705703511523702E-7,42000.0,90.9,81.81353073313456,42.767295597484306,81.57894736842107,42000.0,276320.0
43000.0,19.328125,9.871097669626274E-7,43000.0,87.0,73.65701432653144,-1.5625000000000013,71.8004338394794,43000.0,151544.0
44000.0,19.734375,1.0050561589499313E-6,44000.0,81.0,54.11536845359134,-3.8251366120217996,48.22888283378748,44000.0,170760.0
45000.0,20.109375,1.0197741600374378E-6,45000.0,77.9,51.79976619615096,-68.70229007633584,47.877358490566046,45000.0,151712.0
