learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.265625,4.107100216464864E-9,1000.0,69.6,39.577039274924466,-117.14285714285715,37.959183673469376,1000.0,59768.0
2000.0,0.375,5.798259129126867E-9,2000.0,67.7,31.70265492713543,-130.71428571428564,-8.389261744966412,2000.0,59768.0
3000.0,0.453125,7.006229781028298E-9,3000.0,76.1,49.04355390296528,-28.494623655913937,41.84914841849149,3000.0,59768.0
4000.0,0.5625,8.697388693690301E-9,4000.0,79.4,58.45584824687714,-21.893491124260304,47.3145780051151,4000.0,59768.0
5000.0,0.703125,1.0872317943722011E-8,5000.0,80.0,54.408680587216196,-24.999999999999947,43.50282485875707,5000.0,59784.0
6000.0,0.78125,1.2080611971517405E-8,6000.0,76.4,52.204274072033826,-55.263157894736814,43.54066985645934,6000.0,59784.0
7000.0,0.84375,1.304698849303855E-8,7000.0,79.9,57.28965687232795,-5.235602094240844,52.256532066508335,7000.0,59768.0
8000.0,0.921875,1.4254959144939981E-8,8000.0,74.8,50.241879751209396,-47.36842105263154,52.54237288135594,8000.0,59768.0
9000.0,1.015625,1.57045239272217E-8,9000.0,82.0,63.35982282438769,-4.651162790697677,62.02531645569619,9000.0,59768.0
10000.0,1.109375,1.7154088709503415E-8,10000.0,70.5,41.26080203894707,-106.2937062937063,39.30041152263373,10000.0,59768.0
11000.0,1.21875,1.8845247622165417E-8,11000.0,67.60000000000001,36.24180884349727,-81.0055865921787,35.07014028056113,11000.0,59768.0
12000.0,1.3125,2.0294812404447132E-8,12000.0,65.4,32.359254466048654,-150.72463768115938,22.939866369710465,12000.0,59768.0
13000.0,1.390625,2.1502783056348563E-8,13000.0,66.5,33.23554499724971,-134.2657342657342,32.18623481781377,13000.0,59768.0
14000.0,1.46875,2.2711077084143957E-8,14000.0,66.9,33.66680294030414,-237.75510204081635,28.96995708154507,14000.0,59784.0
15000.0,1.53125,2.3677712306380274E-8,15000.0,67.10000000000001,37.405346991270996,-126.89655172413788,26.88888888888889,15000.0,59784.0
16000.0,1.59375,2.4644088827901418E-8,16000.0,63.3,24.54955881022673,-123.780487804878,12.826603325415686,16000.0,59768.0
17000.0,1.6875,2.6093653610183133E-8,17000.0,68.5,34.84735666418467,-96.87499999999993,12.50000000000001,17000.0,59768.0
18000.0,1.78125,2.7543606443537608E-8,18000.0,65.5,33.625764746623574,-148.20143884892082,16.66666666666668,18000.0,59784.0
19000.0,1.921875,2.9717953616960184E-8,19000.0,85.1,66.37783193429009,-11.194029850746277,58.0281690140845,19000.0,59768.0
20000.0,2.03125,3.1409565255873736E-8,20000.0,62.4,24.924924924924927,-203.2258064516129,26.848249027237355,20000.0,59784.0
21000.0,2.09375,3.237594177739488E-8,21000.0,53.900000000000006,5.318589596135526,-151.91256830601083,-3.828828828828833,21000.0,59768.0
22000.0,2.171875,3.3583912429296305E-8,22000.0,69.0,31.429279255366204,-65.7754010695187,-13.138686131386873,22000.0,59768.0
23000.0,2.25,3.4791883081197734E-8,23000.0,61.7,18.497459163609435,-153.64238410596022,10.304449648711952,23000.0,59768.0
24000.0,2.3125,3.5758259602718875E-8,24000.0,64.9,20.73170731707317,-137.1621621621621,11.363636363636372,24000.0,59768.0
25000.0,2.390625,3.69662302546203E-8,25000.0,74.4,43.18106153757375,-120.68965517241381,32.09549071618037,25000.0,59768.0
26000.0,2.46875,3.817420090652173E-8,26000.0,75.4,47.56407414354655,-75.7142857142857,44.343891402714924,26000.0,59768.0
27000.0,2.53125,3.914057742804287E-8,27000.0,75.9,45.723165623170125,-125.23364485981313,41.21951219512196,27000.0,59768.0
28000.0,2.59375,4.0106953949564014E-8,28000.0,69.19999999999999,30.209371884346954,-238.46153846153862,24.8780487804878,28000.0,59768.0
29000.0,2.65625,4.1073330471085155E-8,29000.0,63.9,6.418498548320227,-211.20689655172416,5.249343832021002,29000.0,59768.0
30000.0,2.71875,4.2039706992606296E-8,30000.0,61.7,3.9387615875436266,-254.62962962962968,3.282828282828286,30000.0,59768.0
31000.0,2.796875,4.3247677644507724E-8,31000.0,64.1,6.471446436015,-140.9395973154362,5.277044854881271,31000.0,59768.0
32000.0,2.890625,4.4697630477862196E-8,32000.0,61.3,9.043903356209473,-168.74999999999997,7.637231503579958,32000.0,59784.0
33000.0,3.046875,4.711357178166506E-8,33000.0,55.7,3.0210157618213733,-278.63247863247864,2.63736263736264,33000.0,59768.0
34000.0,3.21875,4.977110721584821E-8,34000.0,63.1,5.063291139240487,-159.85915492957744,4.155844155844159,34000.0,59768.0
35000.0,3.3125,5.1220671998129924E-8,35000.0,58.5,1.646648402172769,-240.16393442622953,1.4251781472684097,35000.0,59768.0
36000.0,3.375,5.2187048519651065E-8,36000.0,83.1,54.23080672942553,-9.740259740259747,44.77124183006536,36000.0,59768.0
37000.0,3.453125,5.339501917155249E-8,37000.0,71.89999999999999,27.679463026447177,-73.45679012345677,19.94301994301993,37000.0,59768.0
