learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,1.515625,2.8405432304781344E-7,1000.0,50.1,-0.8773703149638157,-256.4285714285714,-1.8367346938775526,1000.0,724456.0
2000.0,3.078125,5.987184704281389E-7,2000.0,70.19999999999999,0.0,-112.85714285714288,0.0,2000.0,778448.0
3000.0,4.25,8.515094911369184E-7,3000.0,58.9,0.0,-120.96774193548383,0.0,3000.0,833840.0
4000.0,5.953125,1.238496980578121E-6,4000.0,60.9,0.0,-131.3609467455621,0.0,4000.0,878320.0
5000.0,7.328125,1.5528879400032262E-6,5000.0,64.60000000000001,0.0,-121.24999999999994,0.0,5000.0,883832.0
6000.0,8.78125,1.8851360073313117E-6,6000.0,58.199999999999996,0.0,-174.99999999999997,0.0,6000.0,883816.0
7000.0,10.21875,2.2138174649121034E-6,7000.0,57.9,0.0,-120.41884816753934,0.0,7000.0,883832.0
8000.0,11.609375,2.5317752927852175E-6,8000.0,47.5,0.0,-207.01754385964907,1.1299435028248597,8000.0,883816.0
9000.0,12.96875,2.8426105078930656E-6,9000.0,47.4,0.0,-205.81395348837202,-10.970464135021107,9000.0,883880.0
10000.0,14.3125,3.1498562182403273E-6,10000.0,50.5,0.0,-246.15384615384613,-1.8518518518518534,10000.0,883832.0
11000.0,15.640625,3.45352380665847E-6,11000.0,51.9,0.0,-168.7150837988826,3.607214428857718,11000.0,883816.0
12000.0,17.015625,3.7679090746678415E-6,12000.0,55.1,0.0,-225.36231884057963,0.0,12000.0,883816.0
13000.0,18.296875,4.060858983494756E-6,13000.0,50.3,0.0,-247.5524475524475,-0.6072874493927131,13000.0,883816.0
14000.0,19.625,4.3645265719128985E-6,14000.0,49.8,0.0,-412.24489795918385,-7.725321888412025,14000.0,883816.0
15000.0,20.96875,4.671766720194784E-6,15000.0,57.4,0.0,-193.79310344827584,5.333333333333314,15000.0,883816.0
16000.0,22.40625,5.000442227659127E-6,16000.0,57.9,0.0,-156.70731707317069,0.0,16000.0,883816.0
17000.0,23.8125,5.321972615395984E-6,17000.0,64.0,0.0,-124.99999999999996,0.0,17000.0,883816.0
18000.0,25.09375,5.614922524222898E-6,18000.0,58.599999999999994,0.0,-197.84172661870502,0.0,18000.0,883816.0
19000.0,26.34375,5.900727313322326E-6,19000.0,64.5,0.0,-164.92537313432834,0.0,19000.0,883816.0
20000.0,27.5625,6.17939707202216E-6,20000.0,49.2,0.0,-309.6774193548387,1.1673151750972772,20000.0,883848.0
21000.0,28.84375,6.472352284213735E-6,21000.0,55.60000000000001,0.0,-142.62295081967204,0.0,21000.0,883832.0
22000.0,30.1875,6.779592432495621E-6,22000.0,72.6,0.0,-46.524064171122966,0.0,22000.0,883816.0
23000.0,31.53125,7.0868325807775065E-6,23000.0,57.3,0.0,-182.78145695364236,0.0,23000.0,883816.0
24000.0,32.875,7.394072729059392E-6,24000.0,60.4,0.0,-167.56756756756755,0.0,24000.0,883816.0
