learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.953125,4.950438803967296E-5,1000.0,73.8,47.66029533976859,-87.14285714285714,46.53061224489796,1000.0,2.00768792E8
2000.0,1.984375,1.0312354719240426E-4,2000.0,81.89999999999999,57.3567800363763,-29.28571428571431,39.26174496644295,2000.0,2.00982576E8
3000.0,3.0625,1.59241526788618E-4,3000.0,78.4,55.87315984947845,-16.129032258064466,47.445255474452566,3000.0,2.01203384E8
4000.0,4.15625,2.1622603972597669E-4,4000.0,79.80000000000001,57.506426627062105,-19.52662721893486,48.337595907928396,4000.0,2.01391504E8
5000.0,5.1875,2.700088683438177E-4,5000.0,79.4,55.188556114369256,-28.749999999999947,41.807909604519786,5000.0,2.01596064E8
6000.0,6.546875,3.409839716429512E-4,6000.0,80.0,58.97738833645106,-31.578947368421,52.15311004784691,6000.0,2.01822288E8
7000.0,8.0,4.169100517174229E-4,7000.0,78.9,56.78956724034832,-10.471204188481687,49.88123515439431,7000.0,2.01971632E8
8000.0,9.484375,4.945064637771187E-4,8000.0,80.60000000000001,61.06372303060713,-13.450292397660762,63.46516007532957,8000.0,2.0206932E8
9000.0,11.078125,5.778736241821511E-4,9000.0,79.60000000000001,59.029562982005146,-18.604651162790645,56.9620253164557,9000.0,2.02198152E8
10000.0,14.0,7.329188788490785E-4,10000.0,82.1,64.19570348441812,-25.174825174825195,63.168724279835374,10000.0,2.05115848E8
11000.0,15.984375,8.379940965096467E-4,11000.0,78.8,57.551608834070855,-18.435754189944085,57.51503006012024,11000.0,2.04681656E8
12000.0,17.953125,9.420394213520923E-4,12000.0,79.0,57.75004929160916,-52.17391304347822,53.229398663697104,12000.0,2.04284008E8
13000.0,19.90625,0.0010452458039960928,13000.0,82.6,65.20459299372482,-21.678321678321698,64.77732793522266,13000.0,2.04257912E8
