learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,1.859375,1.3396375773785014E-6,1000.0,86.9,73.79811346416942,6.428571428571433,73.26530612244898,1000.0,2794176.0
2000.0,3.1875,2.816593914758414E-6,2000.0,90.8,78.0110518365552,34.28571428571431,69.1275167785235,2000.0,4298640.0
3000.0,4.921875,4.815169086214155E-6,3000.0,91.0,81.13357845706213,51.612903225806484,78.1021897810219,3000.0,4454304.0
4000.0,6.25,6.290520185656432E-6,4000.0,92.60000000000001,84.21589246330196,56.21301775147932,81.07416879795397,4000.0,4293968.0
5000.0,8.0625,8.46961800966205E-6,5000.0,91.5,81.0648251280909,46.875000000000036,75.98870056497175,5000.0,4647304.0
6000.0,9.453125,1.059177936339337E-5,6000.0,89.2,77.74297254966615,28.947368421052655,74.16267942583733,6000.0,5898896.0
7000.0,10.875,1.2237746009810104E-5,7000.0,90.3,79.84859438752193,49.21465968586387,76.95961995249408,7000.0,4474680.0
8000.0,12.15625,1.3883268693462015E-5,8000.0,90.3,80.52990766760337,43.27485380116961,81.73258003766479,8000.0,4964464.0
9000.0,13.4375,1.618449673211823E-5,9000.0,93.5,86.91700145724477,62.20930232558144,86.28691983122364,9000.0,6942696.0
10000.0,14.734375,1.9039507509053996E-5,10000.0,90.7,81.39479054135158,34.96503496503499,80.8641975308642,10000.0,8509656.0
11000.0,15.96875,2.1671146710610226E-5,11000.0,94.5,88.9832545469113,69.27374301675975,88.97795591182364,11000.0,8241032.0
12000.0,17.46875,2.506571815400902E-5,12000.0,90.2,80.10370436540968,28.985507246376834,78.17371937639199,12000.0,8747744.0
13000.0,19.171875,2.9870365752786815E-5,13000.0,90.9,81.80393035104419,36.363636363636395,81.57894736842107,13000.0,1.0904792E7
14000.0,20.71875,3.496622498561111E-5,14000.0,92.4,84.79878390271223,22.44897959183676,83.69098712446352,14000.0,1.2733992E7
15000.0,22.375,3.6456396014222674E-5,15000.0,90.9,81.11233800197594,37.241379310344854,79.77777777777779,15000.0,3477864.0
16000.0,23.734375,3.793229850190175E-5,16000.0,91.10000000000001,81.72649699000502,45.7317073170732,78.85985748218528,16000.0,4196824.0
17000.0,25.203125,4.006588433791573E-5,17000.0,88.9,75.89681229914011,30.625000000000018,69.16666666666667,17000.0,5615192.0
18000.0,26.46875,4.25469171993124E-5,18000.0,90.8,81.07930240210595,33.8129496402878,77.77777777777779,18000.0,7577568.0
19000.0,27.703125,4.5046541296566525E-5,19000.0,91.9,81.6742081447964,39.55223880597018,77.18309859154931,19000.0,7827624.0
20000.0,29.28125,4.8386164190661576E-5,20000.0,91.4,82.81759478294227,30.64516129032261,83.26848249027238,20000.0,8180096.0
21000.0,30.9375,5.1297175879072815E-5,21000.0,87.4,74.08004739648476,31.147540983606575,71.62162162162163,21000.0,6793920.0
22000.0,32.1875,5.304678175080982E-5,22000.0,89.60000000000001,73.55896351136965,44.38502673796794,62.04379562043797,22000.0,5410440.0
23000.0,33.65625,5.41161721210099E-5,23000.0,86.9,72.71651837781998,13.24503311258279,69.3208430913349,23000.0,2814432.0
24000.0,35.109375,5.620497091311134E-5,24000.0,84.5,66.77470247281956,-4.729729729729733,60.858585858585855,24000.0,5556432.0
25000.0,36.703125,5.9193612800704116E-5,25000.0,87.6,73.23814169109046,-6.896551724137938,67.10875331564988,25000.0,7248632.0
26000.0,38.03125,6.232200439424359E-5,26000.0,89.4,78.39908705575482,24.285714285714306,76.01809954751131,26000.0,9105096.0
27000.0,39.40625,6.618096069562146E-5,27000.0,92.0,83.36521666805291,25.233644859813108,80.48780487804879,27000.0,1.0848496E7
28000.0,40.96875,6.898837438913891E-5,28000.0,88.1,75.07853403141361,-30.769230769230806,70.97560975609757,28000.0,6945264.0
29000.0,42.28125,7.048836602027425E-5,29000.0,88.2,74.14809199773906,-1.7241379310344844,69.02887139107612,29000.0,4417656.0
30000.0,43.5625,7.267509971926403E-5,30000.0,89.0,76.78306092124815,-1.8518518518518539,72.22222222222223,30000.0,6597272.0
31000.0,44.9375,7.522170946079617E-5,31000.0,88.7,75.34774944586977,24.161073825503372,70.18469656992085,31000.0,7159160.0
32000.0,46.53125,7.648044139690077E-5,32000.0,86.7,72.43546167492913,7.638888888888895,68.25775656324582,32000.0,3052920.0
33000.0,47.875,7.833815176531467E-5,33000.0,88.0,75.70702674251473,-2.5641025641025665,73.62637362637362,33000.0,5343944.0
34000.0,49.28125,8.042654659624937E-5,34000.0,90.2,79.40527477146159,30.985915492957773,74.54545454545455,34000.0,5740536.0
35000.0,50.765625,8.198893738962297E-5,35000.0,86.2,71.03627182249012,-13.114754098360667,67.2209026128266,35000.0,4068632.0
