learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,1.3125,5.760878169288239E-7,1000.0,88.3,76.59157296626786,16.42857142857144,76.12244897959184,1000.0,1697064.0
2000.0,2.15625,1.1544478669141731E-6,2000.0,90.3,77.27677358296087,30.714285714285737,67.44966442953022,2000.0,2649640.0
3000.0,2.96875,1.6872736806463867E-6,3000.0,91.60000000000001,82.52177495536812,54.83870967741938,79.56204379562045,3000.0,2534920.0
4000.0,4.046875,2.5489212000846034E-6,4000.0,92.7,84.46530869346863,56.804733727810685,81.3299232736573,4000.0,3089320.0
5000.0,4.890625,3.2762119533597596E-6,5000.0,90.5,79.13573631084678,40.62500000000003,73.16384180790962,5000.0,3331936.0
6000.0,5.75,3.8337839456895985E-6,6000.0,89.7,78.86624590661754,32.23684210526318,75.35885167464116,6000.0,2507960.0
7000.0,6.890625,4.523457901086658E-6,7000.0,91.9,83.19460235524537,57.59162303664922,80.7600950118765,7000.0,2337240.0
8000.0,7.8125,5.043167071158273E-6,8000.0,90.4,80.72095591926902,43.85964912280705,81.92090395480227,8000.0,2179168.0
9000.0,8.6875,5.7867083685576084E-6,9000.0,93.89999999999999,87.73494615440293,64.53488372093021,87.13080168776371,9000.0,3284728.0
10000.0,9.515625,6.450665079885059E-6,10000.0,90.3,80.60387922415518,32.167832167832195,80.0411522633745,10000.0,3099176.0
11000.0,10.25,7.169399404018704E-6,11000.0,93.5,86.98219163816101,63.687150837988874,86.9739478957916,11000.0,3783144.0
12000.0,11.09375,8.030790130659523E-6,12000.0,89.4,78.49732839448072,23.18840579710147,76.39198218262806,12000.0,3946288.0
13000.0,12.03125,9.233168319850746E-6,13000.0,89.9,79.8096913481529,29.37062937062939,79.55465587044534,13000.0,4957608.0
14000.0,12.890625,1.0557758182080256E-5,14000.0,92.5,84.99915995295737,23.469387755102066,83.90557939914164,14000.0,5958008.0
15000.0,13.8125,1.081764520171823E-5,15000.0,89.60000000000001,78.32755401440384,28.27586206896554,76.8888888888889,15000.0,1089720.0
16000.0,14.5625,1.1146588335072417E-5,16000.0,91.8,83.10344401264358,50.000000000000036,80.5225653206651,16000.0,1695360.0
17000.0,15.359375,1.1729525544473697E-5,17000.0,89.7,77.63397898028317,35.62500000000002,71.38888888888889,17000.0,2827704.0
18000.0,16.15625,1.2461611347842136E-5,18000.0,92.30000000000001,84.19215766783003,44.604316546762625,81.4009661835749,18000.0,3551192.0
19000.0,16.859375,1.3165008729427227E-5,19000.0,91.9,81.62598675256329,39.55223880597018,77.18309859154931,19000.0,3866968.0
20000.0,17.65625,1.3687507081259458E-5,20000.0,90.9,81.80989541689321,26.612903225806477,82.29571984435799,20000.0,2534528.0
21000.0,18.53125,1.4115204814718004E-5,21000.0,88.7,76.83438842785449,38.251366120218606,74.54954954954955,21000.0,1889432.0
22000.0,19.34375,1.4669268663662179E-5,22000.0,89.1,72.06302990537313,41.711229946524085,60.218978102189794,22000.0,2635960.0
23000.0,20.25,1.5112151288323935E-5,23000.0,86.2,71.26735930375398,8.609271523178814,67.68149882903981,23000.0,1889048.0
24000.0,21.125,1.5590731830646598E-5,24000.0,86.4,70.98976109215018,8.108108108108114,65.65656565656566,24000.0,2114216.0
