learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,1.328125,5.951227245127989E-7,1000.0,91.2,82.40084475945156,37.142857142857174,82.04081632653062,1000.0,1732504.0
2000.0,2.1875,1.0229642308938006E-6,2000.0,91.5,79.93598398655476,39.28571428571432,71.4765100671141,2000.0,1924432.0
3000.0,3.34375,1.5967916503238183E-6,3000.0,91.7,82.60745658150609,55.37634408602153,79.80535279805355,3000.0,1918368.0
4000.0,4.09375,2.136268012691289E-6,4000.0,92.4,83.84937416324884,55.029585798816605,80.56265984654732,4000.0,2780440.0
5000.0,5.171875,3.075343653714905E-6,5000.0,91.4,80.80459975358464,46.25000000000003,75.70621468926555,5000.0,3366928.0
6000.0,6.3125,4.193132206435419E-6,6000.0,87.8,74.90868406331238,19.73684210526317,70.81339712918661,6000.0,3788080.0
7000.0,7.234375,4.793971764027245E-6,7000.0,91.0,81.38226350303056,52.87958115183247,78.62232779097388,7000.0,2519352.0
8000.0,7.984375,5.280370500663088E-6,8000.0,90.7,81.31779831257533,45.61403508771933,82.4858757062147,8000.0,2506880.0
9000.0,8.796875,6.08844158705324E-6,9000.0,93.60000000000001,87.11692996441053,62.79069767441865,86.49789029535866,9000.0,3844400.0
10000.0,9.6875,6.848211439015965E-6,10000.0,91.8,83.60295146873563,42.65734265734269,83.12757201646092,10000.0,3297536.0
11000.0,10.453125,7.62779970601615E-6,11000.0,93.5,86.9762446702786,63.687150837988874,86.9739478957916,11000.0,3935968.0
12000.0,11.59375,8.181259779828705E-6,12000.0,89.3,78.26298938746324,22.46376811594205,76.16926503340757,12000.0,1875624.0
13000.0,12.484375,8.563771326508787E-6,13000.0,91.9,83.80116631602526,43.356643356643396,83.60323886639677,13000.0,1660168.0
14000.0,13.234375,9.10161632216639E-6,14000.0,92.7,85.40105112431905,25.510204081632683,84.33476394849787,14000.0,2772032.0
15000.0,14.078125,9.750576444073683E-6,15000.0,90.7,80.7209134555586,35.86206896551727,79.33333333333333,15000.0,2973080.0
16000.0,15.046875,1.024472365517997E-5,16000.0,91.3,81.97339521776968,46.95121951219515,79.33491686460809,16000.0,1971728.0
17000.0,15.9375,1.0846258503281407E-5,17000.0,90.2,78.60262008733625,38.75000000000003,72.77777777777779,17000.0,2610768.0
18000.0,16.828125,1.1699501030509256E-5,18000.0,88.7,76.73575940245901,18.705035971223037,72.70531400966183,18000.0,3703224.0
19000.0,17.640625,1.2639779306482522E-5,19000.0,92.4,82.83920789396437,43.283582089552276,78.59154929577466,19000.0,4473376.0
20000.0,18.671875,1.3429286094227183E-5,20000.0,89.9,79.817437733798,18.54838709677421,80.35019455252919,20000.0,2959336.0
21000.0,19.546875,1.378856059293159E-5,21000.0,87.7,74.84209837353143,32.78688524590166,72.29729729729729,21000.0,1587160.0
22000.0,20.328125,1.4319171928541941E-5,22000.0,89.7,73.60084477296728,44.91978609625671,62.408759124087595,22000.0,2625360.0
23000.0,21.328125,1.4672718534711747E-5,23000.0,86.3,71.51885576483306,9.271523178807954,67.91569086651053,23000.0,1366624.0
24000.0,22.296875,1.5308484014692817E-5,24000.0,85.2,68.31757775037676,0.0,62.626262626262616,24000.0,2536808.0
25000.0,23.359375,1.6295549220457256E-5,25000.0,86.8,71.29823310183474,-13.793103448275875,64.9867374005305,25000.0,3591032.0
26000.0,24.34375,1.7531081038113268E-5,26000.0,89.60000000000001,78.78659312685618,25.714285714285733,76.47058823529413,26000.0,4851720.0
27000.0,25.4375,1.8830606843241386E-5,27000.0,91.10000000000001,81.44519034315975,16.822429906542073,78.29268292682929,27000.0,4592712.0
28000.0,26.421875,2.032724716829964E-5,28000.0,88.1,75.37557422505485,-30.769230769230806,70.97560975609757,28000.0,5877048.0
29000.0,27.390625,2.0657922367617074E-5,29000.0,86.8,70.74532922585935,-13.793103448275875,65.35433070866141,29000.0,1319448.0
30000.0,28.3125,2.133509008369098E-5,30000.0,89.8,78.471565581521,5.555555555555562,74.24242424242425,30000.0,2839400.0
31000.0,29.1875,2.206025069527742E-5,31000.0,87.2,71.91220809542827,14.093959731543634,66.2269129287599,31000.0,3203528.0
32000.0,30.1875,2.2660790257052413E-5,32000.0,87.0,73.28148571381594,9.722222222222229,68.97374701670644,32000.0,2321368.0
33000.0,31.109375,2.3462726255982284E-5,33000.0,88.8,77.32655829301375,4.273504273504278,75.38461538461539,33000.0,3362560.0
34000.0,32.125,2.463112507636348E-5,34000.0,88.8,76.93147411999753,21.126760563380298,70.9090909090909,34000.0,4446928.0
35000.0,33.1875,2.5228245002734988E-5,35000.0,85.39999999999999,69.3165148604742,-19.672131147541002,65.32066508313538,35000.0,2172376.0
36000.0,34.140625,2.6052889459404263E-5,36000.0,90.60000000000001,78.06853815141108,38.96103896103899,69.281045751634,36000.0,3344408.0
37000.0,35.171875,2.6508594714363826E-5,37000.0,87.1,71.09956089255309,20.370370370370384,63.24786324786324,37000.0,1708136.0
38000.0,36.046875,2.7077774834146512E-5,38000.0,88.0,73.71476135193744,15.492957746478886,64.60176991150442,38000.0,2514456.0
39000.0,36.96875,2.7634081682966397E-5,39000.0,89.2,78.26646918668298,17.55725190839696,76.92307692307693,39000.0,2332624.0
40000.0,37.921875,2.8499302376682557E-5,40000.0,91.60000000000001,82.91960828968345,42.465753424657564,81.57894736842107,40000.0,3508968.0
41000.0,38.78125,2.9510032004004136E-5,41000.0,90.4,80.6729828432458,48.10810810810814,79.53091684434969,41000.0,4546264.0
42000.0,39.625,3.0670441887600136E-5,42000.0,90.9,81.80742257159079,42.767295597484306,81.57894736842107,42000.0,5316184.0
43000.0,40.609375,3.172504392245577E-5,43000.0,90.0,79.87320116735434,21.875000000000018,78.30802603036877,43000.0,4141240.0
44000.0,41.59375,3.2345846379434484E-5,44000.0,87.1,70.42369772560528,29.508196721311492,64.85013623978202,44000.0,2437784.0
45000.0,42.453125,3.301878159012025E-5,45000.0,92.2,84.10032288575063,40.458015267175604,81.60377358490567,45000.0,3026864.0
