learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,1.453125,6.190273173463841E-7,1000.0,91.3,82.60459238760967,37.85714285714289,82.24489795918369,1000.0,1647096.0
2000.0,2.640625,1.3001054564180473E-6,2000.0,93.60000000000001,84.67374228897661,54.28571428571433,78.52348993288592,2000.0,2217000.0
3000.0,4.0,1.8127099610865116E-6,3000.0,92.2,83.69776492177017,58.0645161290323,81.02189781021899,3000.0,1457624.0
4000.0,5.0625,2.4793608786745204E-6,4000.0,93.10000000000001,85.28922659707833,59.17159763313613,82.35294117647061,4000.0,2425336.0
5000.0,6.546875,3.4188831341452895E-6,5000.0,90.5,78.83715749610158,40.62500000000003,73.16384180790962,5000.0,2446616.0
6000.0,7.75,4.51441592304036E-6,6000.0,90.3,80.04361601448382,36.184210526315816,76.79425837320575,6000.0,3519792.0
7000.0,8.984375,5.375352338887751E-6,7000.0,91.60000000000001,82.61207963667528,56.020942408376975,80.0475059382423,7000.0,2696040.0
8000.0,10.125,6.497262576077547E-6,8000.0,89.8,79.49542667604784,40.35087719298248,80.7909604519774,8000.0,3802048.0
9000.0,11.34375,8.036263429352807E-6,9000.0,91.7,83.26950211650878,51.744186046511665,82.48945147679325,9000.0,4881200.0
10000.0,12.46875,8.874335002878474E-6,10000.0,90.3,80.60543047946575,32.167832167832195,80.0411522633745,10000.0,2879592.0
11000.0,13.484375,9.854805377674184E-6,11000.0,94.0,87.9826469421845,66.48044692737429,87.9759519038076,11000.0,3731672.0
12000.0,14.703125,1.1024690692364754E-5,12000.0,90.0,79.65552738976348,27.536231884057994,77.72828507795101,12000.0,3710488.0
13000.0,15.96875,1.2405824026144625E-5,13000.0,90.8,81.60816597430743,35.664335664335695,81.37651821862349,13000.0,4218256.0
14000.0,16.96875,1.3773727858076905E-5,14000.0,92.7,85.4003503915906,25.510204081632683,84.33476394849787,14000.0,5287592.0
15000.0,18.1875,1.4388261252962465E-5,15000.0,91.7,82.83606164128611,42.75862068965521,81.55555555555556,15000.0,1949096.0
16000.0,19.515625,1.5006343827634634E-5,16000.0,90.7,80.80558743158122,43.29268292682929,77.90973871733968,16000.0,1798912.0
17000.0,20.75,1.570631562369979E-5,17000.0,90.0,78.00457504838994,37.50000000000003,72.22222222222223,17000.0,2191976.0
18000.0,21.890625,1.6632426963446453E-5,18000.0,90.60000000000001,80.57176871310703,32.37410071942449,77.29468599033818,18000.0,3138504.0
19000.0,22.859375,1.7549606499313893E-5,19000.0,91.7,81.17230741312042,38.05970149253734,76.61971830985917,19000.0,3659696.0
20000.0,23.984375,1.847278465801436E-5,20000.0,90.8,81.6129444870811,25.806451612903246,82.1011673151751,20000.0,3172016.0
21000.0,25.078125,1.90135752200149E-5,21000.0,87.8,74.96059372126625,33.33333333333336,72.52252252252251,21000.0,1911232.0
22000.0,26.171875,1.9720061326451185E-5,22000.0,88.8,71.59033259603483,40.10695187165778,59.12408759124088,22000.0,2496824.0
23000.0,27.328125,1.9992392206202365E-5,23000.0,86.8,72.69918221641275,12.58278145695365,69.08665105386417,23000.0,910432.0
24000.0,28.53125,2.0592824471855742E-5,24000.0,85.0,68.1728680065182,-1.3513513513513522,62.121212121212125,24000.0,1929104.0
25000.0,29.59375,2.1410424928439573E-5,25000.0,88.1,74.35809034571328,-2.5862068965517264,68.43501326259947,25000.0,2974504.0
26000.0,30.5625,2.2324917857379963E-5,26000.0,89.0,77.66842071071267,21.42857142857145,75.1131221719457,26000.0,3648976.0
27000.0,31.625,2.3499184592057846E-5,27000.0,91.8,82.97483597707831,23.364485981308437,80.00000000000001,27000.0,4272088.0
28000.0,32.8125,2.492121184736283E-5,28000.0,88.1,75.13477370554557,-30.769230769230806,70.97560975609757,28000.0,4628888.0
29000.0,34.078125,2.5577197924980685E-5,29000.0,86.2,69.57604885469256,-18.965517241379327,63.77952755905512,29000.0,2003512.0
30000.0,35.28125,2.6385450101871456E-5,30000.0,89.1,76.9840197303963,-0.9259259259259269,72.47474747474747,30000.0,2596800.0
31000.0,36.609375,2.7308747780302333E-5,31000.0,85.8,68.93907245945672,4.6979865771812115,62.532981530343,31000.0,2687232.0
32000.0,37.765625,2.8008455604625245E-5,32000.0,87.2,73.69253977975724,11.11111111111112,69.4510739856802,32000.0,2339200.0
33000.0,39.109375,2.9168874866122173E-5,33000.0,89.2,78.12835415865044,7.6923076923077,76.26373626373628,33000.0,3338096.0
34000.0,40.40625,3.0599368910770865E-5,34000.0,90.60000000000001,80.56526143858417,33.80281690140848,75.58441558441558,34000.0,4263736.0
35000.0,41.71875,3.134263223425175E-5,35000.0,87.1,72.89824868062792,-5.737704918032792,69.35866983372921,35000.0,2189000.0
36000.0,42.84375,3.2408603098398694E-5,36000.0,89.60000000000001,76.37695117297524,32.46753246753249,66.01307189542484,36000.0,3662648.0
37000.0,44.078125,3.297442408640765E-5,37000.0,87.6,72.31215808864575,23.456790123456805,64.67236467236467,37000.0,1771880.0
38000.0,45.1875,3.3876854641776944E-5,38000.0,88.2,74.07972023670926,16.90140845070424,65.19174041297934,38000.0,3144400.0
39000.0,46.46875,3.475762948962963E-5,39000.0,89.7,79.2913208518304,21.374045801526737,77.99145299145299,39000.0,2657256.0
40000.0,47.703125,3.5505774689631326E-5,40000.0,91.9,83.47518830124936,44.520547945205514,82.23684210526316,40000.0,2342832.0
41000.0,48.796875,3.6420145899885225E-5,41000.0,90.8,81.4690230549524,50.2702702702703,80.38379530916845,41000.0,3231520.0
42000.0,50.015625,3.766302497954004E-5,42000.0,91.0,82.00604596855457,43.39622641509437,81.78137651821864,42000.0,3942000.0
43000.0,51.3125,3.91569638870553E-5,43000.0,89.1,78.16331436813849,14.843750000000014,76.35574837310195,43000.0,4452840.0
44000.0,52.546875,3.979245837803723E-5,44000.0,88.3,73.5619509020572,36.065573770491824,68.11989100817439,44000.0,1990064.0
45000.0,53.65625,4.044506685911781E-5,45000.0,92.30000000000001,84.34781194607517,41.22137404580156,81.83962264150945,45000.0,2273928.0
