learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.5625,5.1378738135099415E-8,1000.0,82.5,65.04278762794338,-25.00000000000002,64.28571428571428,1000.0,353072.0
2000.0,0.828125,7.912461620031133E-8,2000.0,88.2,72.43557399413206,15.714285714285728,60.4026845637584,2000.0,403768.0
3000.0,1.109375,1.301605112126304E-7,3000.0,85.7,70.30040208686405,23.118279569892486,65.20681265206812,3000.0,701432.0
4000.0,1.34375,1.835388765256438E-7,4000.0,89.60000000000001,78.10203608952898,38.46153846153849,73.40153452685423,4000.0,880352.0
5000.0,1.59375,2.410863332139949E-7,5000.0,87.1,70.72998066817327,19.375000000000014,63.559322033898304,5000.0,889792.0
6000.0,1.796875,2.8379487856808635E-7,6000.0,85.8,71.01046889545803,6.5789473684210575,66.02870813397129,6000.0,812744.0
7000.0,1.984375,3.2892366612537037E-7,7000.0,89.60000000000001,78.45800761426578,45.54973821989528,75.29691211401426,7000.0,930368.0
8000.0,2.1875,3.6947856036325295E-7,8000.0,83.6,67.01196821884741,4.093567251461991,69.11487758945385,8000.0,771760.0
9000.0,2.359375,3.9300082587740486E-7,9000.0,89.2,78.14083777263234,37.20930232558142,77.21518987341773,9000.0,529016.0
10000.0,2.578125,4.149349600387116E-7,10000.0,85.39999999999999,70.82509042223688,-2.0979020979020992,69.9588477366255,10000.0,387592.0
11000.0,2.78125,4.378978499314851E-7,11000.0,90.60000000000001,81.15560259972496,47.486033519553104,81.1623246492986,11000.0,436984.0
12000.0,2.9375,4.590573048012124E-7,12000.0,83.5,66.32680549546534,-19.565217391304362,63.25167037861914,12000.0,523464.0
13000.0,3.109375,4.791636537346575E-7,13000.0,83.5,67.03481123933126,-15.384615384615397,66.5991902834008,13000.0,452192.0
14000.0,3.25,4.988710214901301E-7,14000.0,89.9,79.7927253811372,-3.0612244897959218,78.32618025751074,14000.0,541712.0
15000.0,3.421875,5.23771321038819E-7,15000.0,85.9,70.60809965730294,2.7586206896551744,68.66666666666667,15000.0,560008.0
16000.0,3.640625,5.547563584210972E-7,16000.0,83.5,65.74432393828164,-0.609756097560976,60.807600950118754,16000.0,547528.0
17000.0,3.859375,5.755211006746523E-7,17000.0,81.2,57.87020437432773,-17.499999999999943,47.77777777777779,17000.0,366928.0
18000.0,4.078125,6.065627288383742E-7,18000.0,86.7,72.30436050143683,4.316546762589931,67.8743961352657,18000.0,548528.0
19000.0,4.203125,6.275330088101327E-7,19000.0,90.7,78.73605267971465,30.597014925373163,73.80281690140845,19000.0,648480.0
20000.0,4.40625,6.507187046938472E-7,20000.0,80.0,60.06644942815157,-61.29032258064513,61.08949416342413,20000.0,441224.0
21000.0,4.625,6.816892548360758E-7,21000.0,80.0,58.628450387237706,-9.289617486338743,54.95495495495496,21000.0,547272.0
22000.0,4.765625,6.993090048328869E-7,22000.0,87.1,64.99017553763147,31.01604278074868,52.91970802919709,22000.0,484328.0
23000.0,4.96875,7.263135113235976E-7,23000.0,75.1,45.800283841083825,-64.9006622516556,41.68618266978923,23000.0,513896.0
24000.0,5.171875,7.499805522254771E-7,24000.0,73.3,40.48468205000179,-80.40540540540539,32.57575757575758,24000.0,450384.0
25000.0,5.40625,7.679371305534408E-7,25000.0,77.9,51.242112694700616,-90.51724137931033,41.379310344827594,25000.0,296152.0
26000.0,5.546875,7.786118334883616E-7,26000.0,80.10000000000001,59.986487899431374,-42.142857142857096,54.97737556561086,26000.0,293424.0
27000.0,5.734375,7.930100804919169E-7,27000.0,83.89999999999999,65.66139146013735,-50.467289719626216,60.731707317073166,27000.0,296832.0
28000.0,5.953125,8.233373066306941E-7,28000.0,77.0,51.1137561639177,-152.74725274725282,43.902439024390254,28000.0,535904.0
29000.0,6.15625,8.531352957814103E-7,29000.0,77.60000000000001,47.70777986842904,-93.10344827586206,41.20734908136484,29000.0,567056.0
30000.0,6.34375,8.842406936714218E-7,30000.0,80.60000000000001,58.43332190606789,-79.6296296296296,51.010101010101025,30000.0,641264.0
31000.0,6.53125,9.153057342498666E-7,31000.0,76.4,47.31790075228252,-58.38926174496641,37.73087071240106,31000.0,640432.0
32000.0,6.671875,9.397017290919191E-7,32000.0,74.8,46.23816492936292,-74.99999999999997,39.85680190930788,32000.0,670592.0
33000.0,6.828125,9.682852477352651E-7,33000.0,79.60000000000001,58.61145488851469,-74.35897435897434,55.16483516483517,33000.0,707128.0
34000.0,7.03125,9.87458333838731E-7,34000.0,81.10000000000001,59.19689119170985,-33.098591549295726,50.90909090909093,34000.0,364864.0
35000.0,7.234375,1.0111211708539889E-6,35000.0,73.1,41.585233441910965,-120.49180327868854,36.10451306413302,35000.0,450304.0
36000.0,7.40625,1.023863894968397E-6,36000.0,85.6,66.40286695535313,6.493506493506499,52.94117647058824,36000.0,286584.0
37000.0,7.59375,1.0376664835752712E-6,37000.0,74.3,33.856306041981945,-58.641975308641946,26.780626780626775,37000.0,284552.0
38000.0,7.734375,1.0520170002968775E-6,38000.0,84.39999999999999,62.49621356002287,-9.859154929577473,53.982300884955734,38000.0,394464.0
39000.0,7.890625,1.06578699261364E-6,39000.0,79.2,57.452379393860056,-58.77862595419844,55.55555555555556,39000.0,340656.0
40000.0,8.0625,1.0849709764847326E-6,40000.0,85.8,71.17664252541327,2.7397260273972623,68.85964912280701,40000.0,431448.0
41000.0,8.234375,1.1074680757398408E-6,41000.0,89.1,78.00911915425897,41.08108108108111,76.7590618336887,41000.0,505960.0
42000.0,8.359375,1.1248535399014753E-6,42000.0,87.4,74.80604654882829,20.75471698113209,74.49392712550608,42000.0,537624.0
43000.0,8.546875,1.1411318943525356E-6,43000.0,83.39999999999999,66.67402782517917,-29.68750000000003,63.99132321041213,43000.0,335592.0
44000.0,8.71875,1.1556627901477949E-6,44000.0,82.3,58.247232994593354,3.2786885245901662,51.77111716621252,44000.0,326800.0
45000.0,8.875,1.1676173501958453E-6,45000.0,80.60000000000001,59.500985336851606,-48.09160305343507,54.24528301886794,45000.0,295744.0
