learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,1.0625,2.0609056163165305E-7,1000.0,78.60000000000001,57.32291001914487,-52.857142857142826,56.32653061224491,1000.0,749776.0
2000.0,1.859375,3.7234153650287126E-7,2000.0,91.0,78.89662158359752,35.714285714285744,69.79865771812082,2000.0,806448.0
3000.0,2.734375,6.237712093732423E-7,3000.0,85.2,69.93983905627343,20.430107526881734,63.990267639902676,3000.0,1110736.0
4000.0,3.703125,9.74012525855667E-7,4000.0,88.6,75.77406124487325,32.544378698224875,70.84398976982098,4000.0,1397520.0
5000.0,4.3125,1.1506665679108766E-6,5000.0,88.3,73.31131326587406,26.87500000000002,66.94915254237289,5000.0,1120576.0
6000.0,4.8125,1.2864834085727733E-6,6000.0,83.89999999999999,66.87651730239065,-5.921052631578952,61.48325358851674,6000.0,1049992.0
7000.0,5.59375,1.5346081151316564E-6,7000.0,87.4,73.84969802627482,34.03141361256542,70.07125890736341,7000.0,1227672.0
8000.0,6.34375,1.7656661414851747E-6,8000.0,84.39999999999999,68.79063719115734,8.771929824561408,70.62146892655366,8000.0,1190864.0
9000.0,6.9375,1.927171057711045E-6,9000.0,87.1,73.98627120421382,25.000000000000018,72.78481012658227,9000.0,1051440.0
10000.0,7.546875,2.0852456024537483E-6,10000.0,86.5,72.98919567827132,5.594405594405599,72.22222222222221,10000.0,1002720.0
11000.0,8.171875,2.27838896939324E-6,11000.0,90.2,80.3925491686841,45.251396648044725,80.36072144288578,11000.0,1194544.0
12000.0,8.859375,2.447520770753423E-6,12000.0,83.5,66.70110915578229,-19.565217391304362,63.25167037861914,12000.0,950944.0
13000.0,9.546875,2.630999208324485E-6,13000.0,83.89999999999999,67.79768143306318,-12.587412587412597,67.4089068825911,13000.0,1031608.0
14000.0,10.140625,2.8085710558419425E-6,14000.0,90.10000000000001,80.19286943299588,-1.0204081632653073,78.75536480686695,14000.0,1156040.0
15000.0,10.78125,2.9872467146358556E-6,15000.0,84.5,67.92722998866071,-6.896551724137937,65.55555555555554,15000.0,1078112.0
16000.0,11.484375,3.1962049413575894E-6,16000.0,87.0,73.35159091002268,20.731707317073184,69.12114014251782,16000.0,1148760.0
17000.0,12.21875,3.4366022575543156E-6,17000.0,84.39999999999999,65.55987283645355,2.5000000000000018,56.66666666666666,17000.0,1265360.0
18000.0,12.921875,3.702295491368406E-6,18000.0,87.7,74.55081147737712,11.510791366906483,70.28985507246377,18000.0,1460664.0
19000.0,13.5625,3.94985390206178E-6,19000.0,90.10000000000001,77.24347186465613,26.119402985074647,72.11267605633803,19000.0,1493744.0
20000.0,14.25,4.111686462743415E-6,20000.0,80.5,61.066032009711535,-57.25806451612899,62.062256809338535,20000.0,909904.0
21000.0,14.984375,4.340604225742734E-6,21000.0,77.7,54.7821432047497,-21.857923497267713,49.77477477477478,21000.0,1204936.0
22000.0,15.65625,4.563854405811678E-6,22000.0,87.4,67.28904027082598,32.62032085561499,54.01459854014598,22000.0,1284416.0
23000.0,16.34375,4.772107576071803E-6,23000.0,76.3,48.899506675406215,-56.953642384105926,44.49648711943795,23000.0,1170904.0
24000.0,17.0625,4.913271113764495E-6,24000.0,75.2,45.99679464845655,-67.56756756756755,37.37373737373738,24000.0,759184.0
25000.0,17.671875,5.035510888167968E-6,25000.0,74.0,42.10359892936193,-124.13793103448279,31.034482758620683,25000.0,775408.0
26000.0,18.3125,5.168116218151732E-6,26000.0,79.0,57.30666016101489,-49.999999999999964,52.488687782805435,26000.0,800128.0
27000.0,18.96875,5.318376966493412E-6,27000.0,79.9,57.65033079094856,-87.85046728971962,50.975609756097576,27000.0,885072.0
28000.0,19.671875,5.5006775397083005E-6,28000.0,75.5,49.82592668441533,-169.2307692307693,40.243902439024396,28000.0,1002208.0
29000.0,20.359375,5.655111259936046E-6,29000.0,70.6,37.982272211417154,-153.448275862069,22.83464566929133,29000.0,868304.0
30000.0,21.015625,5.7910948332088696E-6,30000.0,72.7,44.263874824420995,-152.77777777777783,31.060606060606062,30000.0,800976.0
31000.0,21.671875,5.910025114038339E-6,31000.0,79.4,53.9650402470692,-38.255033557046936,45.646437994722966,31000.0,700528.0
32000.0,22.34375,6.098880872337355E-6,32000.0,77.2,52.82569923486595,-58.3333333333333,45.58472553699285,32000.0,1086536.0
33000.0,23.015625,6.28344132564962E-6,33000.0,80.80000000000001,61.20193182047811,-64.10256410256406,57.80219780219781,33000.0,1061824.0
34000.0,23.75,6.422782704855006E-6,34000.0,81.69999999999999,61.336939068706144,-28.87323943661974,52.46753246753245,34000.0,733440.0
35000.0,24.484375,6.559591986135477E-6,35000.0,72.3,43.78282717582782,-127.04918032786887,34.204275534441805,35000.0,720112.0
36000.0,25.25,6.708177647346425E-6,36000.0,86.6,69.2372679020735,12.987012987012998,56.209150326797385,36000.0,750176.0
37000.0,25.921875,6.828469825753322E-6,37000.0,76.3,45.89238749269433,-46.296296296296255,32.47863247863248,37000.0,692072.0
38000.0,26.578125,6.944621272850782E-6,38000.0,83.6,62.709135806960646,-15.492957746478886,51.62241887905603,38000.0,684160.0
39000.0,27.296875,7.061044226348815E-6,39000.0,74.1,47.37141556668184,-97.70992366412213,44.65811965811965,39000.0,626128.0
40000.0,27.984375,7.183705618242838E-6,40000.0,81.5,62.39072982313477,-26.712328767123307,59.429824561403485,40000.0,689664.0
41000.0,28.59375,7.30378753764348E-6,41000.0,86.5,72.90592938683108,27.027027027027046,71.21535181236673,41000.0,761720.0
42000.0,29.25,7.446157267420657E-6,42000.0,88.7,77.40162708285003,28.930817610062913,77.1255060728745,42000.0,838592.0
43000.0,29.9375,7.582638839570185E-6,43000.0,84.89999999999999,69.56994881302647,-17.968750000000018,67.24511930585683,43000.0,767368.0
44000.0,30.640625,7.74701872918134E-6,44000.0,82.1,57.23882237150145,2.1857923497267775,51.226158038147126,44000.0,903688.0
45000.0,31.21875,7.875921469854398E-6,45000.0,79.80000000000001,57.88437802315109,-54.198473282442706,52.35849056603775,45000.0,861872.0
