learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.8125,8.492691752811273E-8,1000.0,78.9,57.74219131772264,-50.71428571428568,56.93877551020409,1000.0,404040.0
2000.0,1.515625,1.8601907261957725E-7,2000.0,88.7,73.77679176452023,19.2857142857143,62.08053691275168,2000.0,555760.0
3000.0,2.328125,2.6798645396613415E-7,3000.0,76.6,53.4155926372747,-25.80645161290318,43.06569343065694,3000.0,389960.0
4000.0,3.125,3.490834044189089E-7,4000.0,85.5,69.02847671368643,14.201183431952671,62.9156010230179,4000.0,393384.0
5000.0,3.609375,3.996948685704006E-7,5000.0,82.39999999999999,59.28338762214982,-10.000000000000007,50.28248587570619,5000.0,403896.0
6000.0,3.96875,4.378031331321431E-7,6000.0,82.89999999999999,64.4351638478241,-12.500000000000009,59.09090909090908,6000.0,409896.0
7000.0,4.4375,4.834204769900275E-7,7000.0,84.2,68.04659534451028,17.277486910994728,62.47030878859857,7000.0,376176.0
8000.0,5.203125,5.579288052912387E-7,8000.0,81.2,62.351056373285275,-9.941520467836199,64.59510357815444,8000.0,376176.0
9000.0,5.625,6.00838037725124E-7,9000.0,88.2,76.25181130252777,31.395348837209326,75.10548523206751,9000.0,393160.0
10000.0,6.078125,6.48368990773128E-7,10000.0,84.39999999999999,68.82805475072435,-9.090909090909099,67.90123456790123,10000.0,405472.0
11000.0,6.546875,6.980569903842276E-7,11000.0,86.4,72.70249330608934,24.022346368715098,72.74549098196393,11000.0,409744.0
12000.0,7.0625,7.481037432120905E-7,12000.0,81.69999999999999,62.777339332351566,-32.60869565217394,59.24276169265031,12000.0,375184.0
13000.0,7.578125,8.096745457603699E-7,13000.0,78.5,57.03505939153652,-50.34965034965031,56.47773279352227,13000.0,461576.0
14000.0,8.09375,8.618449080838925E-7,14000.0,85.3,70.60305728204267,-50.00000000000006,68.45493562231759,14000.0,391104.0
15000.0,8.640625,9.290702291764318E-7,15000.0,83.7,66.0849084084459,-12.413793103448285,63.777777777777764,15000.0,475168.0
16000.0,9.1875,9.865958903295298E-7,16000.0,80.9,61.011496505323684,-16.463414634146282,54.631828978622345,16000.0,406608.0
17000.0,9.703125,1.038613651568691E-6,17000.0,78.10000000000001,53.241096592364855,-36.87499999999996,39.16666666666667,17000.0,389960.0
18000.0,10.21875,1.0932725854218005E-6,18000.0,87.5,74.15539842037795,10.071942446043174,69.80676328502415,18000.0,409760.0
19000.0,10.765625,1.1554556678877109E-6,19000.0,88.6,73.53084585200492,14.925373134328371,67.88732394366197,19000.0,439528.0
20000.0,11.296875,1.2069838056858215E-6,20000.0,76.0,52.11033778175085,-93.54838709677419,53.30739299610895,20000.0,374928.0
