learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.734375,3.668198284382622E-8,1000.0,81.8,63.594757645100884,-30.00000000000002,62.85714285714285,1000.0,193080.0
2000.0,1.328125,6.003955301518242E-8,2000.0,86.1,68.21985458868718,0.7142857142857149,53.35570469798658,2000.0,152064.0
3000.0,1.875,8.737629589935145E-8,3000.0,78.60000000000001,56.090134232870035,-15.053763440860166,47.931873479318746,3000.0,193224.0
4000.0,2.453125,1.3475733188291393E-7,4000.0,87.8,74.21732680172279,27.810650887573985,68.79795396419438,4000.0,316800.0
5000.0,2.921875,1.5359042057146632E-7,5000.0,86.5,68.83167256171329,15.62500000000001,61.86440677966101,5000.0,155304.0
6000.0,3.34375,1.7237112236519658E-7,6000.0,75.9,47.4757865555449,-58.552631578947334,42.344497607655505,6000.0,172080.0
7000.0,3.96875,2.1969524419142145E-7,7000.0,87.1,73.71830917047649,32.46073298429317,69.35866983372921,7000.0,292688.0
8000.0,4.4375,2.4309472387863534E-7,8000.0,80.60000000000001,61.03243948980618,-13.450292397660762,63.46516007532957,8000.0,192960.0
9000.0,4.84375,2.6151867738614484E-7,9000.0,87.4,74.69473007712082,26.744186046511647,73.41772151898735,9000.0,175304.0
10000.0,5.25,2.835310685137908E-7,10000.0,81.69999999999999,63.405855063189875,-27.972027972027995,62.34567901234567,10000.0,209448.0
11000.0,5.6875,3.011258215539986E-7,11000.0,85.39999999999999,70.81109178512165,18.435754189944145,70.74148296593185,11000.0,155456.0
12000.0,6.109375,3.2029069390975774E-7,12000.0,81.10000000000001,61.49301169471498,-36.95652173913038,57.906458797327396,12000.0,175600.0
13000.0,6.515625,3.366833294017448E-7,13000.0,81.0,62.03872050508482,-32.86713286713282,61.538461538461554,13000.0,155976.0
14000.0,6.921875,3.5712094460096627E-7,14000.0,86.1,72.1815285349472,-41.836734693877595,70.17167381974248,14000.0,194464.0
15000.0,7.34375,3.916203341860738E-7,15000.0,80.2,57.74864283519411,-36.55172413793098,56.00000000000001,15000.0,316104.0
16000.0,7.8125,4.103632010002103E-7,16000.0,78.0,52.50288221146581,-34.14634146341459,47.743467933491694,16000.0,154560.0
17000.0,8.296875,4.3190016488855086E-7,17000.0,73.1,44.297192081504186,-68.12499999999999,25.27777777777777,17000.0,171872.0
18000.0,8.765625,4.5348453568294646E-7,18000.0,86.2,71.29401584237502,0.7194244604316552,66.66666666666666,18000.0,177992.0
19000.0,9.265625,4.818474472914305E-7,19000.0,85.3,65.04494221714938,-9.701492537313442,58.591549295774634,19000.0,219272.0
20000.0,9.734375,5.004797195498315E-7,20000.0,69.89999999999999,39.959467653911204,-142.741935483871,41.4396887159533,20000.0,153648.0
21000.0,10.21875,5.196428456757632E-7,21000.0,71.1,41.76956059189528,-57.92349726775954,34.9099099099099,21000.0,152928.0
